iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
135,0.9995299622925305,2022-09-23 16:58:14.654593,2022-09-23 16:58:41.149483,0 days 00:00:26.494890,27,350,89,9,424,135,COMPLETE
182,0.9994663206471124,2022-09-23 17:17:35.202883,2022-09-23 17:17:57.866298,0 days 00:00:22.663415,21,337,90,10,262,116,COMPLETE
100,0.9994569927842695,2022-09-23 16:44:43.360742,2022-09-23 16:45:07.729031,0 days 00:00:24.368289,28,337,91,7,234,126,COMPLETE
147,0.9994561371092293,2022-09-23 17:03:45.487884,2022-09-23 17:04:08.578520,0 days 00:00:23.090636,23,343,97,10,262,119,COMPLETE
79,0.9994528205878868,2022-09-23 16:37:21.830407,2022-09-23 16:37:41.224782,0 days 00:00:19.394375,25,345,93,7,351,98,COMPLETE
105,0.9994487667027178,2022-09-23 16:46:42.153785,2022-09-23 16:47:04.871641,0 days 00:00:22.717856,13,346,98,5,221,117,COMPLETE
229,0.9994487455472247,2022-09-23 17:35:24.568655,2022-09-23 17:35:48.072693,0 days 00:00:23.504038,13,324,88,7,232,122,COMPLETE
295,0.9994359940257145,2022-09-23 18:00:37.007944,2022-09-23 18:01:02.130504,0 days 00:00:25.122560,22,341,93,5,361,128,COMPLETE
260,0.9994356993322442,2022-09-23 17:47:23.379478,2022-09-23 17:47:47.822700,0 days 00:00:24.443222,28,347,93,6,232,127,COMPLETE
2,0.9994341935686669,2022-09-23 16:07:07.897191,2022-09-23 16:07:30.695004,0 days 00:00:22.797813,27,228,100,9,390,123,COMPLETE
224,0.999432320797955,2022-09-23 17:33:28.450828,2022-09-23 17:33:52.139352,0 days 00:00:23.688524,13,333,92,7,234,122,COMPLETE
194,0.9994321784144192,2022-09-23 17:22:06.267082,2022-09-23 17:22:29.849834,0 days 00:00:23.582752,22,342,92,9,244,122,COMPLETE
286,0.9994318379866848,2022-09-23 17:57:17.647127,2022-09-23 17:57:40.781220,0 days 00:00:23.134093,27,347,93,5,355,117,COMPLETE
216,0.9994286669825255,2022-09-23 17:30:53.171447,2022-09-23 17:31:11.644526,0 days 00:00:18.473079,12,335,66,8,249,95,COMPLETE
272,0.999422387696162,2022-09-23 17:51:50.644618,2022-09-23 17:52:15.615170,0 days 00:00:24.970552,23,342,93,24,234,130,COMPLETE
61,0.9994221785955459,2022-09-23 16:31:07.100357,2022-09-23 16:31:26.498490,0 days 00:00:19.398133,28,344,66,25,390,98,COMPLETE
93,0.9994221262967347,2022-09-23 16:42:01.756394,2022-09-23 16:42:23.910007,0 days 00:00:22.153613,29,333,91,8,249,114,COMPLETE
145,0.9994120225727665,2022-09-23 17:02:57.261318,2022-09-23 17:03:21.528228,0 days 00:00:24.266910,23,344,91,9,249,125,COMPLETE
241,0.999411785179771,2022-09-23 17:39:55.846312,2022-09-23 17:40:20.950503,0 days 00:00:25.104191,13,340,91,7,253,130,COMPLETE
287,0.9994112113716336,2022-09-23 17:57:40.781612,2022-09-23 17:58:04.158019,0 days 00:00:23.376407,27,347,94,5,351,116,COMPLETE
103,0.999410539826929,2022-09-23 16:45:56.649217,2022-09-23 16:46:19.192556,0 days 00:00:22.543339,11,340,83,5,215,117,COMPLETE
56,0.9994105295467705,2022-09-23 16:29:21.720452,2022-09-23 16:29:43.165111,0 days 00:00:21.444659,29,331,75,23,288,110,COMPLETE
11,0.9994075519698897,2022-09-23 16:10:52.560962,2022-09-23 16:11:17.235809,0 days 00:00:24.674847,30,348,98,9,401,125,COMPLETE
94,0.9994070456923614,2022-09-23 16:42:23.910237,2022-09-23 16:42:46.235302,0 days 00:00:22.325065,30,335,85,9,232,115,COMPLETE
159,0.9994013518310977,2022-09-23 17:08:24.316937,2022-09-23 17:08:48.979752,0 days 00:00:24.662815,11,345,91,6,212,128,COMPLETE
110,0.9993998415860931,2022-09-23 16:48:31.990591,2022-09-23 16:48:53.936356,0 days 00:00:21.945765,11,313,97,16,219,114,COMPLETE
223,0.9993979006570888,2022-09-23 17:33:05.921661,2022-09-23 17:33:28.450323,0 days 00:00:22.528662,13,334,91,7,234,116,COMPLETE
243,0.9993978042480908,2022-09-23 17:40:45.503373,2022-09-23 17:41:09.439029,0 days 00:00:23.935656,13,339,89,7,252,124,COMPLETE
8,0.9993972629466525,2022-09-23 16:09:33.520767,2022-09-23 16:09:58.866483,0 days 00:00:25.345716,29,343,65,10,261,131,COMPLETE
225,0.9993941567462735,2022-09-23 17:33:52.139769,2022-09-23 17:34:15.716456,0 days 00:00:23.576687,13,328,91,7,234,122,COMPLETE
174,0.9993939436158578,2022-09-23 17:14:23.212094,2022-09-23 17:14:47.508356,0 days 00:00:24.296262,21,340,90,10,244,126,COMPLETE
51,0.9993939246167618,2022-09-23 16:27:18.342040,2022-09-23 16:27:43.408304,0 days 00:00:25.066264,27,345,66,11,273,130,COMPLETE
153,0.9993935063350703,2022-09-23 17:06:03.844255,2022-09-23 17:06:27.873834,0 days 00:00:24.029579,21,345,94,10,263,124,COMPLETE
281,0.999390154656779,2022-09-23 17:55:16.547271,2022-09-23 17:55:42.077005,0 days 00:00:25.529734,23,336,83,21,380,131,COMPLETE
155,0.9993867809483991,2022-09-23 17:06:52.451400,2022-09-23 17:07:14.672680,0 days 00:00:22.221280,30,337,64,8,219,115,COMPLETE
237,0.9993863276591887,2022-09-23 17:38:26.234209,2022-09-23 17:38:49.472109,0 days 00:00:23.237900,15,335,87,7,401,117,COMPLETE
136,0.9993840500276655,2022-09-23 16:58:41.149725,2022-09-23 16:59:09.536204,0 days 00:00:28.386479,28,350,89,9,424,144,COMPLETE
277,0.9993836789838015,2022-09-23 17:53:46.204993,2022-09-23 17:54:09.064132,0 days 00:00:22.859139,24,347,92,25,218,118,COMPLETE
78,0.9993802854168625,2022-09-23 16:37:02.650742,2022-09-23 16:37:21.830067,0 days 00:00:19.179325,27,335,84,8,350,98,COMPLETE
299,0.9993801386678554,2022-09-23 18:02:18.525081,2022-09-23 18:02:44.218623,0 days 00:00:25.693542,22,350,91,5,345,131,COMPLETE
259,0.9993798319971848,2022-09-23 17:47:00.054131,2022-09-23 17:47:23.379151,0 days 00:00:23.325020,28,341,90,9,247,121,COMPLETE
89,0.999376182726186,2022-09-23 16:40:32.756182,2022-09-23 16:40:53.505924,0 days 00:00:20.749742,25,346,61,9,431,105,COMPLETE
226,0.9993757432665715,2022-09-23 17:34:15.716772,2022-09-23 17:34:38.461292,0 days 00:00:22.744520,13,327,90,7,232,118,COMPLETE
95,0.999375691012392,2022-09-23 16:42:46.235524,2022-09-23 16:43:09.140617,0 days 00:00:22.905093,30,333,85,8,231,116,COMPLETE
65,0.9993755036963902,2022-09-23 16:32:18.346825,2022-09-23 16:32:39.702058,0 days 00:00:21.355233,29,287,65,24,362,110,COMPLETE
176,0.9993736559701025,2022-09-23 17:15:12.917960,2022-09-23 17:15:37.400641,0 days 00:00:24.482681,22,333,91,20,234,127,COMPLETE
218,0.9993736254558615,2022-09-23 17:31:31.018811,2022-09-23 17:31:48.983077,0 days 00:00:17.964266,11,341,100,7,243,92,COMPLETE
58,0.9993689707948528,2022-09-23 16:30:00.963037,2022-09-23 16:30:22.847862,0 days 00:00:21.884825,28,333,74,22,321,112,COMPLETE
106,0.9993663724824621,2022-09-23 16:47:04.871910,2022-09-23 16:47:27.583290,0 days 00:00:22.711380,11,347,98,5,211,117,COMPLETE
181,0.9993660016651165,2022-09-23 17:17:11.404864,2022-09-23 17:17:35.202614,0 days 00:00:23.797750,21,345,93,9,252,123,COMPLETE
122,0.9993624804041108,2022-09-23 16:53:06.737536,2022-09-23 16:53:31.636392,0 days 00:00:24.898856,28,343,97,10,244,130,COMPLETE
169,0.9993595522434815,2022-09-23 17:12:20.850657,2022-09-23 17:12:46.418151,0 days 00:00:25.567494,23,328,97,9,213,133,COMPLETE
21,0.9993590257190931,2022-09-23 16:14:44.482704,2022-09-23 16:15:10.626904,0 days 00:00:26.144200,28,348,71,11,259,136,COMPLETE
163,0.9993587576626717,2022-09-23 17:10:01.238263,2022-09-23 17:10:26.051688,0 days 00:00:24.813425,24,350,91,5,225,128,COMPLETE
42,0.9993560625837554,2022-09-23 16:23:48.368152,2022-09-23 16:24:12.822334,0 days 00:00:24.454182,29,339,60,10,271,128,COMPLETE
263,0.9993560087861287,2022-09-23 17:48:34.008768,2022-09-23 17:49:00.019113,0 days 00:00:26.010345,29,345,96,5,423,132,COMPLETE
248,0.9993557194698094,2022-09-23 17:42:46.352035,2022-09-23 17:43:08.984550,0 days 00:00:22.632515,12,338,98,7,215,117,COMPLETE
75,0.9993549669289801,2022-09-23 16:35:50.652698,2022-09-23 16:36:14.883568,0 days 00:00:24.230870,28,317,78,18,292,126,COMPLETE
256,0.9993481640535133,2022-09-23 17:45:54.549663,2022-09-23 17:46:18.700523,0 days 00:00:24.150860,11,344,85,8,255,125,COMPLETE
252,0.9993453104377714,2022-09-23 17:44:14.038126,2022-09-23 17:44:40.369929,0 days 00:00:26.331803,12,328,93,5,451,134,COMPLETE
60,0.9993446440336462,2022-09-23 16:30:44.224396,2022-09-23 16:31:07.100157,0 days 00:00:22.875761,18,319,74,22,340,117,COMPLETE
242,0.9993417157187141,2022-09-23 17:40:20.950805,2022-09-23 17:40:45.503040,0 days 00:00:24.552235,13,340,91,7,247,127,COMPLETE
102,0.9993387969584661,2022-09-23 16:45:31.076799,2022-09-23 16:45:56.648984,0 days 00:00:25.572185,29,336,88,7,271,133,COMPLETE
238,0.9993382949602455,2022-09-23 17:38:49.472516,2022-09-23 17:39:10.835887,0 days 00:00:21.363371,13,336,92,8,388,107,COMPLETE
249,0.9993381059378865,2022-09-23 17:43:08.984830,2022-09-23 17:43:29.032401,0 days 00:00:20.047571,13,333,89,8,339,102,COMPLETE
84,0.9993363216234059,2022-09-23 16:38:55.681826,2022-09-23 16:39:12.418274,0 days 00:00:16.736448,27,337,93,7,395,84,COMPLETE
80,0.9993347288933163,2022-09-23 16:37:41.225014,2022-09-23 16:38:00.549574,0 days 00:00:19.324560,24,350,96,5,350,98,COMPLETE
98,0.9993346292386904,2022-09-23 16:43:56.420437,2022-09-23 16:44:18.421159,0 days 00:00:22.000722,28,334,95,12,247,113,COMPLETE
214,0.999331285394855,2022-09-23 17:30:06.591334,2022-09-23 17:30:28.735552,0 days 00:00:22.144218,29,348,62,9,218,114,COMPLETE
23,0.9993306886237983,2022-09-23 16:15:39.936164,2022-09-23 16:16:04.543393,0 days 00:00:24.607229,27,349,66,11,274,128,COMPLETE
68,0.999329789127923,2022-09-23 16:33:15.094873,2022-09-23 16:33:38.455147,0 days 00:00:23.360274,26,291,63,25,362,120,COMPLETE
288,0.9993280271853043,2022-09-23 17:58:04.158437,2022-09-23 17:58:26.510432,0 days 00:00:22.351995,27,350,95,5,346,113,COMPLETE
212,0.9993279008218415,2022-09-23 17:29:21.889304,2022-09-23 17:29:45.320667,0 days 00:00:23.431363,30,342,65,8,212,122,COMPLETE
137,0.9993278961408005,2022-09-23 16:59:09.536502,2022-09-23 16:59:35.860661,0 days 00:00:26.324159,29,346,92,15,442,134,COMPLETE
104,0.9993274862970978,2022-09-23 16:46:19.192773,2022-09-23 16:46:42.153538,0 days 00:00:22.960765,10,342,91,5,215,122,COMPLETE
166,0.9993172920178898,2022-09-23 17:11:13.042059,2022-09-23 17:11:35.527919,0 days 00:00:22.485860,26,343,94,6,391,113,COMPLETE
116,0.9993130550915869,2022-09-23 16:50:48.718843,2022-09-23 16:51:08.731853,0 days 00:00:20.013010,13,350,89,17,221,103,COMPLETE
161,0.9993107553494783,2022-09-23 17:09:13.172431,2022-09-23 17:09:36.658171,0 days 00:00:23.485740,11,346,93,5,213,122,COMPLETE
204,0.9993107193583424,2022-09-23 17:26:04.565134,2022-09-23 17:26:28.892666,0 days 00:00:24.327532,22,350,97,10,258,125,COMPLETE
189,0.9993103928670939,2022-09-23 17:20:07.638355,2022-09-23 17:20:29.056374,0 days 00:00:21.418019,19,347,80,17,218,110,COMPLETE
233,0.9993100035545271,2022-09-23 17:36:50.013761,2022-09-23 17:37:14.204063,0 days 00:00:24.190302,14,323,90,7,247,125,COMPLETE
186,0.9993098376026965,2022-09-23 17:19:07.865835,2022-09-23 17:19:30.062005,0 days 00:00:22.196170,18,334,86,10,248,114,COMPLETE
175,0.9993075804285346,2022-09-23 17:14:47.508629,2022-09-23 17:15:12.917712,0 days 00:00:25.409083,10,339,89,9,243,135,COMPLETE
190,0.999306878620166,2022-09-23 17:20:29.056658,2022-09-23 17:20:52.082038,0 days 00:00:23.025380,27,338,90,6,460,116,COMPLETE
117,0.999306559804861,2022-09-23 16:51:08.732090,2022-09-23 16:51:35.117942,0 days 00:00:26.385852,19,338,82,6,215,137,COMPLETE
26,0.9993035896471637,2022-09-23 16:16:56.305924,2022-09-23 16:17:20.555082,0 days 00:00:24.249158,25,334,45,9,356,124,COMPLETE
197,0.9993033567753778,2022-09-23 17:23:14.936526,2022-09-23 17:23:39.742671,0 days 00:00:24.806145,22,342,65,9,239,129,COMPLETE
209,0.999302895423857,2022-09-23 17:28:14.782446,2022-09-23 17:28:36.531731,0 days 00:00:21.749285,29,337,59,14,216,112,COMPLETE
208,0.9993005386896062,2022-09-23 17:27:40.149051,2022-09-23 17:28:14.782137,0 days 00:00:34.633086,24,346,89,7,275,180,COMPLETE
285,0.9992996344858586,2022-09-23 17:56:55.668513,2022-09-23 17:57:17.646540,0 days 00:00:21.978027,12,344,95,7,241,112,COMPLETE
270,0.9992963462255245,2022-09-23 17:51:06.155380,2022-09-23 17:51:33.027412,0 days 00:00:26.872032,27,337,92,6,248,138,COMPLETE
130,0.999290437250653,2022-09-23 16:56:32.856089,2022-09-23 16:56:51.429641,0 days 00:00:18.573552,30,341,77,5,472,93,COMPLETE
92,0.9992898666759494,2022-09-23 16:41:42.422748,2022-09-23 16:42:01.756169,0 days 00:00:19.333421,25,339,55,10,453,98,COMPLETE
264,0.9992898444271934,2022-09-23 17:49:00.019489,2022-09-23 17:49:25.154956,0 days 00:00:25.135467,28,341,93,9,323,127,COMPLETE
59,0.9992897727272727,2022-09-23 16:30:22.848095,2022-09-23 16:30:44.224192,0 days 00:00:21.376097,30,331,81,22,316,109,COMPLETE
183,0.9992895426953496,2022-09-23 17:17:57.866572,2022-09-23 17:18:20.959044,0 days 00:00:23.092472,22,336,90,10,396,117,COMPLETE
206,0.9992893892579343,2022-09-23 17:26:51.480512,2022-09-23 17:27:14.957078,0 days 00:00:23.476566,23,344,75,8,252,121,COMPLETE
266,0.9992890747516989,2022-09-23 17:49:45.738535,2022-09-23 17:50:08.757885,0 days 00:00:23.019350,29,338,49,8,363,117,COMPLETE
146,0.9992888045990636,2022-09-23 17:03:21.528472,2022-09-23 17:03:45.487380,0 days 00:00:23.958908,27,331,91,7,248,124,COMPLETE
32,0.9992861247018264,2022-09-23 16:19:09.758248,2022-09-23 16:19:37.436765,0 days 00:00:27.678517,29,339,70,11,262,144,COMPLETE
273,0.9992848795632533,2022-09-23 17:52:15.615616,2022-09-23 17:52:34.846741,0 days 00:00:19.231125,23,342,77,25,231,99,COMPLETE
69,0.9992795111868129,2022-09-23 16:33:38.455374,2022-09-23 16:33:58.983114,0 days 00:00:20.527740,30,234,100,23,346,107,COMPLETE
244,0.9992788737889783,2022-09-23 17:41:09.439336,2022-09-23 17:41:34.782085,0 days 00:00:25.342749,13,330,88,7,255,132,COMPLETE
170,0.9992748014420294,2022-09-23 17:12:46.418433,2022-09-23 17:13:10.542432,0 days 00:00:24.123999,29,337,62,8,274,124,COMPLETE
296,0.9992722004965752,2022-09-23 18:01:02.130833,2022-09-23 18:01:27.435619,0 days 00:00:25.304786,22,341,93,6,358,129,COMPLETE
294,0.9992715257179305,2022-09-23 18:00:16.944561,2022-09-23 18:00:37.007524,0 days 00:00:20.062963,27,343,99,5,357,101,COMPLETE
53,0.9992651821721354,2022-09-23 16:28:05.528338,2022-09-23 16:28:33.340578,0 days 00:00:27.812240,27,337,37,13,371,142,COMPLETE
54,0.9992616250518082,2022-09-23 16:28:33.340779,2022-09-23 16:28:58.040354,0 days 00:00:24.699575,26,325,63,11,240,129,COMPLETE
292,0.9992615453209143,2022-09-23 17:59:30.357541,2022-09-23 17:59:53.143045,0 days 00:00:22.785504,26,350,94,5,354,115,COMPLETE
5,0.9992604685559602,2022-09-23 16:08:33.261647,2022-09-23 16:09:03.412127,0 days 00:00:30.150480,28,255,75,6,291,158,COMPLETE
34,0.9992580827185521,2022-09-23 16:20:07.428818,2022-09-23 16:20:32.736344,0 days 00:00:25.307526,26,328,97,10,283,132,COMPLETE
43,0.9992577724811307,2022-09-23 16:24:12.822935,2022-09-23 16:24:35.448971,0 days 00:00:22.626036,29,342,59,9,240,117,COMPLETE
36,0.9992570035266171,2022-09-23 16:21:05.002716,2022-09-23 16:21:26.875966,0 days 00:00:21.873250,23,304,87,12,399,112,COMPLETE
195,0.9992554993894399,2022-09-23 17:22:29.850103,2022-09-23 17:22:52.842285,0 days 00:00:22.992182,23,340,89,8,243,118,COMPLETE
33,0.9992551028932639,2022-09-23 16:19:37.436976,2022-09-23 16:20:07.428623,0 days 00:00:29.991647,30,349,61,13,301,155,COMPLETE
199,0.9992549005953831,2022-09-23 17:24:03.140087,2022-09-23 17:24:27.222465,0 days 00:00:24.082378,22,326,91,9,233,125,COMPLETE
149,0.9992548357330641,2022-09-23 17:04:31.323686,2022-09-23 17:04:52.825178,0 days 00:00:21.501492,23,325,97,8,236,111,COMPLETE
