iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
45,0.9764677405508677,2022-09-23 00:53:59.258499,2022-09-23 00:54:44.282223,0 days 00:00:45.023724,25.0,400.0,103.0,47.0,171.0,301.0,COMPLETE
283,0.9764627727486508,2022-09-23 05:10:46.060080,2022-09-23 05:12:07.556949,0 days 00:01:21.496869,19.0,398.0,111.0,36.0,279.0,545.0,COMPLETE
139,0.9764563016585146,2022-09-23 02:43:52.660326,2022-09-23 02:45:05.883766,0 days 00:01:13.223440,25.0,392.0,108.0,43.0,238.0,491.0,COMPLETE
165,0.9764545408842747,2022-09-23 03:12:05.338577,2022-09-23 03:13:26.530587,0 days 00:01:21.192010,19.0,397.0,110.0,45.0,223.0,545.0,COMPLETE
242,0.9764513267611051,2022-09-23 04:31:13.651344,2022-09-23 04:32:33.625918,0 days 00:01:19.974574,26.0,396.0,106.0,37.0,213.0,539.0,COMPLETE
113,0.9764513089111752,2022-09-23 02:11:52.401128,2022-09-23 02:13:08.626687,0 days 00:01:16.225559,19.0,398.0,107.0,37.0,227.0,511.0,COMPLETE
67,0.9764512695958291,2022-09-23 01:16:03.270131,2022-09-23 01:17:12.548142,0 days 00:01:09.278011,21.0,395.0,98.0,43.0,227.0,463.0,COMPLETE
28,0.9764495874217447,2022-09-23 00:34:31.830304,2022-09-23 00:35:48.049915,0 days 00:01:16.219611,23.0,400.0,99.0,44.0,191.0,513.0,COMPLETE
186,0.9764494725619274,2022-09-23 03:30:52.748463,2022-09-23 03:31:35.385402,0 days 00:00:42.636939,16.0,392.0,126.0,37.0,217.0,284.0,COMPLETE
62,0.9764461546838565,2022-09-23 01:09:24.984740,2022-09-23 01:10:40.284806,0 days 00:01:15.300066,27.0,400.0,100.0,45.0,229.0,505.0,COMPLETE
298,0.9764442545285457,2022-09-23 15:53:25.835346,2022-09-23 15:54:39.807831,0 days 00:01:13.972485,18.0,397.0,115.0,32.0,274.0,475.0,COMPLETE
224,0.9764397448314601,2022-09-23 04:09:32.011653,2022-09-23 04:10:25.386143,0 days 00:00:53.374490,16.0,398.0,119.0,37.0,227.0,356.0,COMPLETE
14,0.9764380376871588,2022-09-23 00:17:25.284632,2022-09-23 00:18:46.987799,0 days 00:01:21.703167,37.0,398.0,93.0,39.0,217.0,552.0,COMPLETE
192,0.9764378365401194,2022-09-23 03:35:28.354191,2022-09-23 03:36:11.035583,0 days 00:00:42.681392,15.0,394.0,126.0,34.0,212.0,284.0,COMPLETE
