iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
10,0.9746526452921187,2022-09-21 22:11:57.139693,2022-09-21 22:13:09.778765,0 days 00:01:12.639072,25,296,33,3,477,489,COMPLETE
75,0.9746493444424249,2022-09-21 23:17:59.269615,2022-09-21 23:18:57.270602,0 days 00:00:58.000987,26,288,83,7,336,395,COMPLETE
34,0.9746410877333196,2022-09-21 22:35:43.106073,2022-09-21 22:36:43.649818,0 days 00:01:00.543745,19,284,60,4,346,411,COMPLETE
12,0.9746261831093287,2022-09-21 22:14:22.658402,2022-09-21 22:15:25.154317,0 days 00:01:02.495915,25,297,39,2,462,420,COMPLETE
69,0.9746079629640575,2022-09-21 23:11:46.356822,2022-09-21 23:12:38.268766,0 days 00:00:51.911944,21,300,90,2,293,354,COMPLETE
28,0.97458481410181,2022-09-21 22:30:03.335016,2022-09-21 22:31:05.375684,0 days 00:01:02.040668,28,285,56,11,506,418,COMPLETE
37,0.9745847821911091,2022-09-21 22:38:21.273970,2022-09-21 22:39:10.226019,0 days 00:00:48.952049,23,284,61,7,482,329,COMPLETE
11,0.9745831660610959,2022-09-21 22:13:09.778937,2022-09-21 22:14:22.658235,0 days 00:01:12.879298,25,291,31,3,491,491,COMPLETE
39,0.9745765361189042,2022-09-21 22:40:19.053802,2022-09-21 22:41:21.405700,0 days 00:01:02.351898,25,287,50,10,350,425,COMPLETE
15,0.9745566756355017,2022-09-21 22:17:10.621704,2022-09-21 22:18:22.999818,0 days 00:01:12.378114,24,260,39,11,498,491,COMPLETE
80,0.9745517216100384,2022-09-21 23:23:18.143774,2022-09-21 23:24:21.414819,0 days 00:01:03.271045,22,295,85,28,397,427,COMPLETE
64,0.9745368455956417,2022-09-21 23:06:24.253880,2022-09-21 23:07:24.243996,0 days 00:00:59.990116,21,291,83,5,273,412,COMPLETE
73,0.9745351766479167,2022-09-21 23:15:48.475520,2022-09-21 23:16:49.333960,0 days 00:01:00.858440,24,286,87,3,219,421,COMPLETE
4,0.9745219185974812,2022-09-21 22:07:41.017000,2022-09-21 22:07:57.638002,0 days 00:00:16.621002,30,278,30,13,362,109,COMPLETE
65,0.9745086935581159,2022-09-21 23:07:24.244207,2022-09-21 23:08:30.864146,0 days 00:01:06.619939,20,294,79,17,326,452,COMPLETE
61,0.9745070293786564,2022-09-21 23:03:09.505738,2022-09-21 23:04:13.248077,0 days 00:01:03.742339,22,293,74,3,464,430,COMPLETE
19,0.9744739702647446,2022-09-21 22:21:13.546822,2022-09-21 22:21:57.763943,0 days 00:00:44.217121,27,271,57,4,453,298,COMPLETE
38,0.9744574084302979,2022-09-21 22:39:10.226210,2022-09-21 22:40:19.053622,0 days 00:01:08.827412,29,262,66,15,453,467,COMPLETE
36,0.9744491436518201,2022-09-21 22:37:36.466227,2022-09-21 22:38:21.273793,0 days 00:00:44.807566,20,275,52,5,243,309,COMPLETE
97,0.9744408730047076,2022-09-21 23:41:53.086085,2022-09-21 23:43:06.562901,0 days 00:01:13.476816,28,279,86,8,382,499,COMPLETE
44,0.9744325825509528,2022-09-21 22:45:38.700656,2022-09-21 22:46:42.931768,0 days 00:01:04.231112,18,287,33,4,462,434,COMPLETE
6,0.9744259698478753,2022-09-21 22:08:53.394257,2022-09-21 22:09:43.780996,0 days 00:00:50.386739,26,255,51,20,370,345,COMPLETE
88,0.9744143866137996,2022-09-21 23:31:39.706967,2022-09-21 23:32:39.081109,0 days 00:00:59.374142,20,277,89,2,479,400,COMPLETE
70,0.9744044781960836,2022-09-21 23:12:38.268964,2022-09-21 23:13:37.278295,0 days 00:00:59.009331,30,281,74,3,264,406,COMPLETE
50,0.9744028228195762,2022-09-21 22:51:46.469441,2022-09-21 22:52:46.647875,0 days 00:01:00.178434,25,258,71,5,410,410,COMPLETE
58,0.9744011799139174,2022-09-21 22:59:46.860902,2022-09-21 23:00:57.351753,0 days 00:01:10.490851,23,268,80,6,355,481,COMPLETE
59,0.9743912274814414,2022-09-21 23:00:57.351949,2022-09-21 23:02:04.756084,0 days 00:01:07.404135,21,277,100,8,404,458,COMPLETE
27,0.9743432230298857,2022-09-21 22:29:14.841710,2022-09-21 22:30:03.334834,0 days 00:00:48.493124,26,265,82,5,402,329,COMPLETE
48,0.9743002287226123,2022-09-21 22:49:30.751774,2022-09-21 22:50:35.725865,0 days 00:01:04.974091,26,279,41,3,449,440,COMPLETE
79,0.9742422953131193,2022-09-21 23:22:13.366809,2022-09-21 23:23:18.143562,0 days 00:01:04.776753,23,274,71,2,459,437,COMPLETE
78,0.9742191270110196,2022-09-21 23:21:06.006901,2022-09-21 23:22:13.366583,0 days 00:01:07.359682,27,265,75,20,385,459,COMPLETE
67,0.9742141792209807,2022-09-21 23:09:39.155090,2022-09-21 23:10:35.074026,0 days 00:00:55.918936,22,272,82,5,334,380,COMPLETE
45,0.9740735228348266,2022-09-21 22:46:42.932137,2022-09-21 22:47:51.577761,0 days 00:01:08.645624,21,269,36,9,414,468,COMPLETE
16,0.974038786703817,2022-09-21 22:18:22.999990,2022-09-21 22:19:14.155892,0 days 00:00:51.155902,28,282,63,22,142,353,COMPLETE
84,0.9739775927914937,2022-09-21 23:27:48.362982,2022-09-21 23:28:28.312319,0 days 00:00:39.949337,24,282,81,3,129,276,COMPLETE
