iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
237,0.9097066210726522,2022-09-29 02:44:47.401612,2022-09-29 02:46:04.798902,0 days 00:01:17.397290,27.0,377.0,86.0,21.0,297.0,504.0,COMPLETE
270,0.9097033075541595,2022-09-29 03:26:19.664228,2022-09-29 03:27:34.192363,0 days 00:01:14.528135,29.0,393.0,102.0,20.0,277.0,482.0,COMPLETE
118,0.9096964598017913,2022-09-28 22:51:55.481393,2022-09-28 22:53:27.033572,0 days 00:01:31.552179,27.0,394.0,99.0,18.0,271.0,482.0,COMPLETE
77,0.9096964598017913,2022-09-28 21:45:41.147114,2022-09-28 21:47:16.105566,0 days 00:01:34.958452,33.0,395.0,100.0,33.0,361.0,494.0,COMPLETE
185,0.9096933669986812,2022-09-29 01:39:44.005140,2022-09-29 01:41:00.266565,0 days 00:01:16.261425,26.0,384.0,92.0,23.0,324.0,489.0,COMPLETE
221,0.9096933669986812,2022-09-29 02:24:39.444948,2022-09-29 02:25:57.069073,0 days 00:01:17.624125,26.0,397.0,94.0,27.0,328.0,496.0,COMPLETE
138,0.9096865228681965,2022-09-28 23:22:25.551215,2022-09-28 23:23:55.802633,0 days 00:01:30.251418,25.0,395.0,120.0,18.0,562.0,464.0,COMPLETE
290,0.909683426443203,2022-09-29 03:51:47.085162,2022-09-29 03:53:04.168593,0 days 00:01:17.083431,31.0,384.0,89.0,19.0,316.0,494.0,COMPLETE
273,0.9096801129247102,2022-09-29 03:30:05.955133,2022-09-29 03:31:19.686003,0 days 00:01:13.730870,26.0,396.0,86.0,11.0,287.0,476.0,COMPLETE
218,0.9096767994062175,2022-09-29 02:20:55.869139,2022-09-29 02:22:11.274538,0 days 00:01:15.405399,27.0,385.0,92.0,22.0,314.0,482.0,COMPLETE
95,0.9096666490010069,2022-09-28 22:15:39.033890,2022-09-28 22:17:10.189246,0 days 00:01:31.155356,27.0,396.0,93.0,23.0,571.0,469.0,COMPLETE
131,0.9096633366898087,2022-09-28 23:11:49.798711,2022-09-28 23:13:20.772256,0 days 00:01:30.973545,26.0,396.0,112.0,15.0,562.0,468.0,COMPLETE
43,0.9096633366898087,2022-09-28 20:51:09.151173,2022-09-28 20:52:42.383396,0 days 00:01:33.232223,27.0,385.0,81.0,22.0,285.0,491.0,COMPLETE
63,0.9096600243786104,2022-09-28 21:22:30.283543,2022-09-28 21:24:07.206921,0 days 00:01:36.923378,28.0,397.0,91.0,34.0,242.0,511.0,COMPLETE
208,0.909656918295261,2022-09-29 02:08:31.108170,2022-09-29 02:09:47.735284,0 days 00:01:16.627114,30.0,389.0,79.0,21.0,308.0,489.0,COMPLETE
282,0.9096536047767683,2022-09-29 03:41:48.125685,2022-09-29 03:43:04.889494,0 days 00:01:16.763809,27.0,387.0,90.0,20.0,553.0,485.0,COMPLETE
295,0.9096536047767683,2022-09-29 03:58:18.414910,2022-09-29 03:59:36.233687,0 days 00:01:17.818777,25.0,375.0,92.0,20.0,349.0,500.0,COMPLETE
240,0.9096502912582756,2022-09-29 02:48:46.059780,2022-09-29 02:50:05.731917,0 days 00:01:19.672137,28.0,395.0,90.0,19.0,419.0,508.0,COMPLETE
106,0.9096401505114209,2022-09-28 22:32:38.897274,2022-09-28 22:34:18.554593,0 days 00:01:39.657319,28.0,390.0,94.0,34.0,589.0,512.0,COMPLETE
91,0.9096368382002226,2022-09-28 22:09:10.726086,2022-09-28 22:10:48.071564,0 days 00:01:37.345478,33.0,397.0,88.0,38.0,585.0,501.0,COMPLETE
242,0.9096337236658117,2022-09-29 02:51:23.551037,2022-09-29 02:52:39.695547,0 days 00:01:16.144510,27.0,383.0,94.0,22.0,287.0,494.0,COMPLETE
65,0.9096269012666278,2022-09-28 21:25:45.000198,2022-09-28 21:27:22.003415,0 days 00:01:37.003217,32.0,391.0,86.0,38.0,304.0,507.0,COMPLETE
288,0.9096237831103335,2022-09-29 03:49:19.882589,2022-09-29 03:50:32.359077,0 days 00:01:12.476488,30.0,382.0,103.0,17.0,298.0,470.0,COMPLETE
297,0.9096237831103335,2022-09-29 04:00:52.259656,2022-09-29 04:02:06.763769,0 days 00:01:14.504113,26.0,390.0,98.0,9.0,296.0,481.0,COMPLETE
141,0.909616964333033,2022-09-28 23:27:01.156707,2022-09-28 23:28:29.378917,0 days 00:01:28.222210,25.0,396.0,125.0,21.0,562.0,453.0,COMPLETE
174,0.9096138425548553,2022-09-29 01:25:51.362804,2022-09-29 01:27:07.350810,0 days 00:01:15.988006,26.0,389.0,110.0,19.0,335.0,485.0,COMPLETE
136,0.90960371508824,2022-09-28 23:19:24.849430,2022-09-28 23:20:55.304669,0 days 00:01:30.455239,28.0,389.0,100.0,19.0,269.0,477.0,COMPLETE
120,0.9096004027770417,2022-09-28 22:55:00.201394,2022-09-28 22:56:28.541841,0 days 00:01:28.340447,26.0,394.0,108.0,20.0,508.0,456.0,COMPLETE
220,0.9095972749623915,2022-09-29 02:23:26.006786,2022-09-29 02:24:39.444617,0 days 00:01:13.437831,28.0,390.0,88.0,20.0,276.0,475.0,COMPLETE
12,0.9095970904658435,2022-09-28 20:01:55.833344,2022-09-28 20:03:31.613864,0 days 00:01:35.780520,24.0,370.0,97.0,14.0,583.0,493.0,COMPLETE
180,0.9095939614438988,2022-09-29 01:33:26.671542,2022-09-29 01:34:40.592904,0 days 00:01:13.921362,26.0,388.0,111.0,20.0,332.0,472.0,COMPLETE
280,0.9095939614438988,2022-09-29 03:39:18.120423,2022-09-29 03:40:31.237604,0 days 00:01:13.117181,26.0,377.0,85.0,19.0,302.0,473.0,COMPLETE
251,0.9095873344069133,2022-09-29 03:02:57.534817,2022-09-29 03:04:17.467894,0 days 00:01:19.933077,29.0,397.0,104.0,20.0,551.0,504.0,COMPLETE
210,0.9095840208884206,2022-09-29 02:10:59.439583,2022-09-29 02:12:15.931446,0 days 00:01:16.491863,29.0,384.0,82.0,21.0,295.0,497.0,COMPLETE
181,0.9095807073699278,2022-09-29 01:34:40.593174,2022-09-29 01:35:55.814894,0 days 00:01:15.221720,27.0,391.0,89.0,24.0,313.0,481.0,COMPLETE
108,0.9095805289098522,2022-09-28 22:35:58.296588,2022-09-28 22:37:42.582825,0 days 00:01:44.286237,29.0,394.0,97.0,34.0,587.0,536.0,COMPLETE
272,0.9095773938514351,2022-09-29 03:28:48.931880,2022-09-29 03:30:05.954785,0 days 00:01:17.022905,31.0,382.0,105.0,19.0,504.0,489.0,COMPLETE
232,0.9095740803329423,2022-09-29 02:38:25.638482,2022-09-29 02:39:40.344097,0 days 00:01:14.705615,27.0,382.0,103.0,22.0,309.0,479.0,COMPLETE
179,0.9095707668144496,2022-09-29 01:32:10.986045,2022-09-29 01:33:26.671222,0 days 00:01:15.685177,27.0,355.0,117.0,19.0,321.0,485.0,COMPLETE
201,0.9095674532959569,2022-09-29 01:59:44.057346,2022-09-29 02:01:00.094067,0 days 00:01:16.036721,26.0,385.0,89.0,17.0,346.0,486.0,COMPLETE
101,0.9095672796650591,2022-09-28 22:24:47.550890,2022-09-28 22:26:20.665655,0 days 00:01:33.114765,32.0,392.0,85.0,36.0,542.0,479.0,COMPLETE
67,0.9095606550426626,2022-09-28 21:29:08.040552,2022-09-28 21:30:44.185403,0 days 00:01:36.144851,30.0,395.0,90.0,35.0,278.0,504.0,COMPLETE
146,0.9095573427314643,2022-09-28 23:34:32.350509,2022-09-28 23:36:03.161594,0 days 00:01:30.811085,28.0,398.0,114.0,13.0,569.0,466.0,COMPLETE
137,0.9095540304202661,2022-09-28 23:20:55.304934,2022-09-28 23:22:25.550961,0 days 00:01:30.246027,27.0,400.0,95.0,17.0,347.0,470.0,COMPLETE
150,0.9095540304202661,2022-09-28 23:40:42.459222,2022-09-28 23:42:12.243169,0 days 00:01:29.783947,26.0,396.0,97.0,21.0,560.0,463.0,COMPLETE
168,0.9095508857034931,2022-09-29 01:17:52.763701,2022-09-29 01:19:10.021934,0 days 00:01:17.258233,28.0,384.0,110.0,21.0,300.0,499.0,COMPLETE
162,0.9095442586665076,2022-09-29 01:10:10.955823,2022-09-29 01:11:26.614764,0 days 00:01:15.658941,29.0,380.0,106.0,22.0,302.0,489.0,COMPLETE
125,0.909540781175473,2022-09-28 23:02:39.776114,2022-09-28 23:04:09.104699,0 days 00:01:29.328585,28.0,387.0,115.0,18.0,515.0,461.0,COMPLETE
202,0.9095310045925367,2022-09-29 02:01:00.094404,2022-09-29 02:02:14.520347,0 days 00:01:14.425943,27.0,376.0,94.0,20.0,261.0,482.0,COMPLETE
196,0.9095310045925367,2022-09-29 01:53:31.443546,2022-09-29 01:54:46.636928,0 days 00:01:15.193382,27.0,392.0,113.0,20.0,296.0,484.0,COMPLETE
243,0.9095310045925367,2022-09-29 02:52:39.695821,2022-09-29 02:53:55.348889,0 days 00:01:15.653068,28.0,381.0,83.0,23.0,295.0,484.0,COMPLETE
33,0.9095308442418782,2022-09-28 20:35:38.087233,2022-09-28 20:37:08.352592,0 days 00:01:30.265359,35.0,376.0,60.0,23.0,345.0,472.0,COMPLETE
149,0.9095275319306799,2022-09-28 23:39:06.500658,2022-09-28 23:40:42.458947,0 days 00:01:35.958289,50.0,400.0,93.0,23.0,394.0,498.0,COMPLETE
123,0.9095242196194817,2022-09-28 22:59:33.096037,2022-09-28 23:01:07.104234,0 days 00:01:34.008197,25.0,395.0,116.0,17.0,537.0,482.0,COMPLETE
9,0.9095175949970852,2022-09-28 19:57:06.338846,2022-09-28 19:58:39.068047,0 days 00:01:32.729201,25.0,399.0,92.0,21.0,166.0,491.0,COMPLETE
