iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
56,0.9397582035304102,2022-09-30 22:08:31.572231,2022-09-30 22:09:37.009557,0 days 00:01:05.437326,22.0,399.0,102.0,16.0,203.0,427.0,COMPLETE
85,0.9395264380417772,2022-09-30 22:42:57.368440,2022-09-30 22:44:01.581829,0 days 00:01:04.213389,23.0,390.0,113.0,12.0,452.0,410.0,COMPLETE
132,0.9393775310524529,2022-09-30 23:38:59.329241,2022-09-30 23:40:09.192572,0 days 00:01:09.863331,24.0,395.0,116.0,11.0,368.0,449.0,COMPLETE
116,0.9393738599671324,2022-09-30 23:20:56.141477,2022-09-30 23:22:07.500689,0 days 00:01:11.359212,21.0,388.0,112.0,11.0,368.0,459.0,COMPLETE
156,0.9393652185882817,2022-10-01 00:06:53.616452,2022-10-01 00:08:04.164915,0 days 00:01:10.548463,21.0,398.0,114.0,13.0,302.0,456.0,COMPLETE
153,0.9393630320988384,2022-10-01 00:03:28.694828,2022-10-01 00:04:38.520843,0 days 00:01:09.826015,19.0,396.0,111.0,14.0,336.0,451.0,COMPLETE
162,0.9393380700467663,2022-10-01 00:13:46.244524,2022-10-01 00:14:58.162303,0 days 00:01:11.917779,21.0,396.0,111.0,13.0,336.0,464.0,COMPLETE
217,0.939314661547076,2022-10-01 01:17:14.985402,2022-10-01 01:18:19.996835,0 days 00:01:05.011433,23.0,392.0,113.0,28.0,357.0,417.0,COMPLETE
234,0.9393089641609655,2022-10-01 01:36:15.172683,2022-10-01 01:37:20.190550,0 days 00:01:05.017867,25.0,396.0,111.0,27.0,473.0,415.0,COMPLETE
208,0.9392998087233085,2022-10-01 01:07:35.521959,2022-10-01 01:08:37.420957,0 days 00:01:01.898998,20.0,392.0,113.0,32.0,357.0,397.0,COMPLETE
149,0.9392473442595674,2022-09-30 23:58:57.892787,2022-10-01 00:00:07.598237,0 days 00:01:09.705450,20.0,400.0,108.0,14.0,336.0,449.0,COMPLETE
197,0.9392148188680082,2022-10-01 00:55:28.563876,2022-10-01 00:56:33.541238,0 days 00:01:04.977362,18.0,400.0,109.0,14.0,341.0,418.0,COMPLETE
41,0.9392039301782819,2022-09-30 21:51:21.854525,2022-09-30 21:52:28.098875,0 days 00:01:06.244350,22.0,395.0,116.0,13.0,450.0,422.0,COMPLETE
292,0.9391759107844361,2022-10-01 02:39:34.129244,2022-10-01 02:40:43.547285,0 days 00:01:09.418041,22.0,400.0,116.0,18.0,364.0,444.0,COMPLETE
183,0.9391538401975031,2022-10-01 00:38:58.975449,2022-10-01 00:40:11.955448,0 days 00:01:12.979999,19.0,400.0,113.0,16.0,340.0,470.0,COMPLETE
