iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
124,0.9522851689354878,2022-09-23 20:19:00.053572,2022-09-23 20:19:48.194505,0 days 00:00:48.140933,21.0,349.0,117.0,5.0,456.0,319.0,COMPLETE
142,0.9522851689354878,2022-09-23 20:33:55.390685,2022-09-23 20:34:40.932858,0 days 00:00:45.542173,20.0,349.0,116.0,5.0,460.0,299.0,COMPLETE
217,0.9522719138952587,2022-09-23 21:31:23.021514,2022-09-23 21:32:05.568736,0 days 00:00:42.547222,18.0,340.0,109.0,8.0,485.0,280.0,COMPLETE
195,0.9522553450949723,2022-09-23 21:14:37.640092,2022-09-23 21:15:23.458146,0 days 00:00:45.818054,21.0,344.0,113.0,12.0,484.0,302.0,COMPLETE
228,0.9522487175748579,2022-09-23 21:39:28.859239,2022-09-23 21:40:13.602380,0 days 00:00:44.743141,21.0,343.0,107.0,5.0,490.0,295.0,COMPLETE
11,0.9522113278570647,2022-09-23 18:23:53.787553,2022-09-23 18:24:31.425578,0 days 00:00:37.638025,35.0,350.0,77.0,4.0,459.0,192.0,COMPLETE
146,0.9521691873334835,2022-09-23 20:37:07.595106,2022-09-23 20:37:56.321969,0 days 00:00:48.726863,21.0,346.0,116.0,7.0,452.0,321.0,COMPLETE
110,0.9521658735734263,2022-09-23 20:07:39.766373,2022-09-23 20:08:22.716301,0 days 00:00:42.949928,28.0,349.0,115.0,4.0,469.0,282.0,COMPLETE
107,0.9521658735734263,2022-09-23 20:04:06.550409,2022-09-23 20:05:19.004163,0 days 00:01:12.453754,27.0,350.0,74.0,5.0,429.0,482.0,COMPLETE
96,0.9521592460533118,2022-09-23 19:51:56.144767,2022-09-23 19:53:16.484572,0 days 00:01:20.339805,33.0,345.0,71.0,7.0,446.0,534.0,COMPLETE
152,0.9521559322932545,2022-09-23 20:41:47.002867,2022-09-23 20:42:31.277206,0 days 00:00:44.274339,20.0,347.0,114.0,4.0,490.0,291.0,COMPLETE
215,0.9521559322932545,2022-09-23 21:29:52.896503,2022-09-23 21:30:40.042874,0 days 00:00:47.146371,22.0,349.0,115.0,6.0,475.0,311.0,COMPLETE
226,0.95214930477314,2022-09-23 21:38:07.288402,2022-09-23 21:38:50.155407,0 days 00:00:42.867005,22.0,350.0,105.0,7.0,470.0,281.0,COMPLETE
294,0.952136049732911,2022-09-23 22:28:33.622541,2022-09-23 22:29:15.514174,0 days 00:00:41.891633,30.0,343.0,113.0,10.0,480.0,276.0,COMPLETE
221,0.9521327359728536,2022-09-23 21:34:16.502197,2022-09-23 21:34:59.811487,0 days 00:00:43.309290,20.0,344.0,116.0,8.0,450.0,285.0,COMPLETE
88,0.9520995983722811,2022-09-23 19:46:24.535706,2022-09-23 19:47:06.706478,0 days 00:00:42.170772,32.0,340.0,75.0,4.0,432.0,278.0,COMPLETE
