iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
91,0.9078294160310779,2022-09-22 05:16:46.035848,2022-09-22 05:17:59.172008,0 days 00:01:13.136160,28,289,71,22,490,477,COMPLETE
75,0.9077366857536487,2022-09-22 04:58:18.837422,2022-09-22 04:59:32.254702,0 days 00:01:13.417280,28,295,79,15,486,479,COMPLETE
44,0.9077201267755364,2022-09-22 04:23:24.255877,2022-09-22 04:24:27.560461,0 days 00:01:03.304584,25,279,92,11,500,414,COMPLETE
74,0.9073392702789526,2022-09-22 04:57:05.501841,2022-09-22 04:58:18.837228,0 days 00:01:13.335387,28,295,78,16,492,478,COMPLETE
80,0.9073028405271054,2022-09-22 05:04:29.415147,2022-09-22 05:05:43.909261,0 days 00:01:14.494114,30,300,74,19,147,498,COMPLETE
79,0.9072034866584313,2022-09-22 05:03:13.671086,2022-09-22 05:04:29.414959,0 days 00:01:15.743873,30,293,73,16,330,499,COMPLETE
42,0.9071703687022067,2022-09-22 04:21:04.482048,2022-09-22 04:22:14.667674,0 days 00:01:10.185626,27,297,77,3,496,457,COMPLETE
96,0.9071703687022067,2022-09-22 05:22:41.458094,2022-09-22 05:23:55.358501,0 days 00:01:13.900407,28,295,77,21,395,483,COMPLETE
90,0.9071571215197167,2022-09-22 05:15:33.165107,2022-09-22 05:16:46.035550,0 days 00:01:12.870443,28,290,72,21,489,476,COMPLETE
72,0.9070279614904405,2022-09-22 04:54:37.910011,2022-09-22 04:55:52.312390,0 days 00:01:14.402379,28,291,83,11,460,486,COMPLETE
77,0.9069981553298383,2022-09-22 05:00:46.423335,2022-09-22 05:02:00.196472,0 days 00:01:13.773137,29,298,79,16,234,491,COMPLETE
66,0.9069484783955013,2022-09-22 04:47:58.655673,2022-09-22 04:49:09.426936,0 days 00:01:10.771263,26,300,87,11,503,460,COMPLETE
76,0.9069418548042563,2022-09-22 04:59:32.254892,2022-09-22 05:00:46.423143,0 days 00:01:14.168251,29,294,79,16,459,484,COMPLETE
82,0.9069385430086339,2022-09-22 05:06:58.839443,2022-09-22 05:08:11.959557,0 days 00:01:13.120114,30,289,74,16,152,492,COMPLETE
37,0.9069021132567867,2022-09-22 04:15:35.092758,2022-09-22 04:16:38.818510,0 days 00:01:03.725752,28,299,94,9,467,413,COMPLETE
73,0.9069021132567867,2022-09-22 04:55:52.312575,2022-09-22 04:57:05.501503,0 days 00:01:13.188928,28,293,82,15,459,478,COMPLETE
81,0.9068954896655418,2022-09-22 05:05:43.909520,2022-09-22 05:06:58.839239,0 days 00:01:14.929719,30,300,72,19,199,500,COMPLETE
