iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
274,0.967606180330182,2022-09-28 19:16:01.542866,2022-09-28 19:17:09.718175,0 days 00:01:08.175309,35.0,400.0,146.0,31.0,473.0,436.0,COMPLETE
147,0.9676025157763958,2022-09-28 16:01:32.811581,2022-09-28 16:02:53.198202,0 days 00:01:20.386621,30.0,400.0,145.0,22.0,531.0,412.0,COMPLETE
254,0.9676020507175042,2022-09-28 18:53:38.255446,2022-09-28 18:54:47.895689,0 days 00:01:09.640243,33.0,397.0,150.0,34.0,504.0,445.0,COMPLETE
60,0.9675552567383476,2022-09-28 13:58:28.678323,2022-09-28 13:59:56.104270,0 days 00:01:27.425947,31.0,383.0,143.0,23.0,531.0,449.0,COMPLETE
292,0.9675367041555135,2022-09-28 19:30:00.636011,2022-09-28 19:31:09.638627,0 days 00:01:09.002616,43.0,400.0,142.0,31.0,444.0,442.0,COMPLETE
151,0.9675302512640612,2022-09-28 16:07:12.911566,2022-09-28 16:08:40.104232,0 days 00:01:27.192666,33.0,398.0,146.0,30.0,521.0,447.0,COMPLETE
149,0.9675079963264401,2022-09-28 16:04:15.619099,2022-09-28 16:05:42.660470,0 days 00:01:27.041371,32.0,399.0,146.0,28.0,521.0,446.0,COMPLETE
276,0.9674767489450583,2022-09-28 19:18:16.592517,2022-09-28 19:19:28.952251,0 days 00:01:12.359734,34.0,397.0,144.0,30.0,462.0,464.0,COMPLETE
234,0.9674690382825063,2022-09-28 18:29:48.992213,2022-09-28 18:30:56.938453,0 days 00:01:07.946240,32.0,397.0,150.0,31.0,475.0,435.0,COMPLETE
216,0.9674589938992211,2022-09-28 17:42:07.255156,2022-09-28 17:43:35.824865,0 days 00:01:28.569709,32.0,395.0,144.0,33.0,506.0,456.0,COMPLETE
118,0.9674547777695646,2022-09-28 15:20:43.461319,2022-09-28 15:22:04.913523,0 days 00:01:21.452204,30.0,388.0,148.0,27.0,461.0,419.0,COMPLETE
242,0.9674547757576185,2022-09-28 18:39:12.667000,2022-09-28 18:40:26.617203,0 days 00:01:13.950203,34.0,400.0,148.0,35.0,487.0,473.0,COMPLETE
83,0.9674513968995302,2022-09-28 14:31:53.344638,2022-09-28 14:33:19.551585,0 days 00:01:26.206947,29.0,400.0,141.0,21.0,546.0,441.0,COMPLETE
78,0.9674264809342902,2022-09-28 14:24:10.119168,2022-09-28 14:25:44.361584,0 days 00:01:34.242416,30.0,394.0,137.0,9.0,574.0,483.0,COMPLETE
85,0.9674193219421109,2022-09-28 14:34:45.084634,2022-09-28 14:36:09.079484,0 days 00:01:23.994850,29.0,391.0,135.0,21.0,580.0,428.0,COMPLETE
295,0.9674148503044715,2022-09-28 19:33:26.956601,2022-09-28 19:34:37.107474,0 days 00:01:10.150873,32.0,398.0,147.0,32.0,502.0,448.0,COMPLETE
291,0.9674051402841296,2022-09-28 19:29:08.341478,2022-09-28 19:30:00.635680,0 days 00:00:52.294202,37.0,400.0,146.0,30.0,459.0,333.0,COMPLETE
35,0.9673982249832032,2022-09-28 13:27:03.962246,2022-09-28 13:28:25.386100,0 days 00:01:21.423854,47.0,389.0,143.0,8.0,469.0,420.0,COMPLETE
209,0.9673970028887395,2022-09-28 17:31:39.962304,2022-09-28 17:33:06.296506,0 days 00:01:26.334202,33.0,397.0,149.0,34.0,487.0,444.0,COMPLETE
64,0.9673767605633803,2022-09-28 14:04:17.413217,2022-09-28 14:05:34.672358,0 days 00:01:17.259141,30.0,393.0,132.0,22.0,566.0,396.0,COMPLETE
131,0.9673691103162757,2022-09-28 15:38:56.679751,2022-09-28 15:40:24.575862,0 days 00:01:27.896111,31.0,397.0,145.0,23.0,566.0,449.0,COMPLETE
220,0.9673669024244343,2022-09-28 17:48:03.676709,2022-09-28 17:49:32.264924,0 days 00:01:28.588215,33.0,393.0,146.0,31.0,503.0,455.0,COMPLETE
103,0.9673592174937987,2022-09-28 14:58:54.420905,2022-09-28 15:00:22.920464,0 days 00:01:28.499559,31.0,397.0,146.0,18.0,569.0,453.0,COMPLETE
191,0.9673473837464877,2022-09-28 17:04:25.659769,2022-09-28 17:05:54.370472,0 days 00:01:28.710703,32.0,400.0,148.0,28.0,511.0,456.0,COMPLETE
132,0.9673366392037756,2022-09-28 15:40:24.576121,2022-09-28 15:41:55.611932,0 days 00:01:31.035811,30.0,390.0,144.0,23.0,556.0,467.0,COMPLETE
146,0.967311705358431,2022-09-28 16:00:04.641770,2022-09-28 16:01:32.811315,0 days 00:01:28.169545,27.0,397.0,136.0,9.0,479.0,454.0,COMPLETE
43,0.9673027497095378,2022-09-28 13:37:06.363267,2022-09-28 13:38:20.572658,0 days 00:01:14.209391,42.0,394.0,150.0,19.0,180.0,391.0,COMPLETE
