iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
36,0.952070207766469,2022-09-21 20:44:04.222713,2022-09-21 20:44:34.253518,0 days 00:00:30.030805,19.0,292.0,66.0,8.0,477.0,200.0,COMPLETE
52,0.951824957826953,2022-09-21 20:53:50.409389,2022-09-21 20:54:38.710064,0 days 00:00:48.300675,29.0,299.0,59.0,11.0,427.0,325.0,COMPLETE
22,0.9516890761037076,2022-09-21 20:33:01.496755,2022-09-21 20:33:43.950407,0 days 00:00:42.453652,26.0,298.0,70.0,17.0,418.0,284.0,COMPLETE
95,0.9515498801920903,2022-09-21 21:26:11.652912,2022-09-21 21:26:36.167845,0 days 00:00:24.514933,26.0,291.0,56.0,14.0,410.0,163.0,COMPLETE
44,0.9515432518153467,2022-09-21 20:47:50.459506,2022-09-21 20:48:37.715049,0 days 00:00:47.255543,24.0,299.0,77.0,28.0,330.0,319.0,COMPLETE
14,0.9515233666851156,2022-09-21 20:26:14.163056,2022-09-21 20:26:56.361515,0 days 00:00:42.198459,28.0,299.0,72.0,14.0,454.0,282.0,COMPLETE
81,0.9515200524967438,2022-09-21 21:15:13.029595,2022-09-21 21:15:59.544882,0 days 00:00:46.515287,28.0,288.0,77.0,17.0,471.0,311.0,COMPLETE
31,0.9515134241200002,2022-09-21 20:39:20.849404,2022-09-21 20:40:29.191480,0 days 00:01:08.342076,21.0,300.0,64.0,25.0,388.0,462.0,COMPLETE
63,0.9514835964246536,2022-09-21 21:02:56.956069,2022-09-21 21:03:38.215908,0 days 00:00:41.259839,27.0,291.0,60.0,12.0,310.0,278.0,COMPLETE
82,0.9514769680479099,2022-09-21 21:15:59.545097,2022-09-21 21:16:46.802069,0 days 00:00:47.256972,28.0,284.0,78.0,15.0,488.0,317.0,COMPLETE
187,0.9514697322467986,2022-10-04 01:53:34.947847,2022-10-04 01:54:27.852924,0 days 00:00:52.905077,27.0,296.0,61.0,13.0,336.0,288.0,COMPLETE
56,0.9513775423967548,2022-09-21 20:57:17.402708,2022-09-21 20:58:00.724137,0 days 00:00:43.321429,27.0,286.0,60.0,14.0,345.0,292.0,COMPLETE
21,0.9513278295711771,2022-09-21 20:32:14.930073,2022-09-21 20:33:01.496568,0 days 00:00:46.566495,28.0,295.0,71.0,17.0,427.0,312.0,COMPLETE
165,0.9512646840935549,2022-10-04 01:29:29.385143,2022-10-04 01:31:02.088418,0 days 00:01:32.703275,28.0,300.0,82.0,19.0,475.0,500.0,COMPLETE
127,0.9512547624087205,2022-10-04 00:56:37.303216,2022-10-04 00:57:30.721036,0 days 00:00:53.417820,29.0,290.0,77.0,23.0,336.0,290.0,COMPLETE
48,0.9512516032386249,2022-09-21 20:50:42.570996,2022-09-21 20:51:22.488226,0 days 00:00:39.917230,19.0,300.0,48.0,25.0,375.0,268.0,COMPLETE
126,0.9512349190390518,2022-10-04 00:55:42.035683,2022-10-04 00:56:37.303005,0 days 00:00:55.267322,24.0,300.0,41.0,22.0,360.0,300.0,COMPLETE
38,0.951208518789791,2022-09-21 20:45:05.156964,2022-09-21 20:45:34.285854,0 days 00:00:29.128890,18.0,286.0,66.0,5.0,401.0,194.0,COMPLETE
84,0.9512052046014191,2022-09-21 21:17:33.750599,2022-09-21 21:18:30.412734,0 days 00:00:56.662135,28.0,290.0,80.0,19.0,477.0,381.0,COMPLETE
61,0.9511588059642134,2022-09-21 21:01:23.884178,2022-09-21 21:02:07.390039,0 days 00:00:43.505861,27.0,287.0,61.0,14.0,339.0,294.0,COMPLETE
