iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
19,0.998562366094172,2022-09-21 19:33:03.776977,2022-09-21 19:33:33.765132,0 days 00:00:29.988155,18,224,41,20,162,207,COMPLETE
96,0.998560797528784,2022-09-21 20:04:09.568311,2022-09-21 20:04:32.023448,0 days 00:00:22.455137,16,129,97,23,376,158,COMPLETE
6,0.9985525249045745,2022-09-21 19:25:48.814065,2022-09-21 19:26:30.361974,0 days 00:00:41.547909,19,257,47,2,128,288,COMPLETE
25,0.9985494491733252,2022-09-21 19:35:34.168428,2022-09-21 19:36:02.934270,0 days 00:00:28.765842,23,243,45,12,194,198,COMPLETE
74,0.9985491628041614,2022-09-21 19:56:30.851288,2022-09-21 19:56:49.062087,0 days 00:00:18.210799,17,215,89,19,365,122,COMPLETE
80,0.9985114223063541,2022-09-21 19:58:52.921384,2022-09-21 19:59:16.454895,0 days 00:00:23.533511,18,214,95,14,129,164,COMPLETE
50,0.998469807453676,2022-09-21 19:47:09.434772,2022-09-21 19:47:47.654263,0 days 00:00:38.219491,22,205,57,20,437,262,COMPLETE
75,0.9984246534760439,2022-09-21 19:56:49.062356,2022-09-21 19:57:37.570631,0 days 00:00:48.508275,19,215,97,15,331,335,COMPLETE
8,0.9983905803664739,2022-09-21 19:27:34.846984,2022-09-21 19:28:27.605151,0 days 00:00:52.758167,22,244,58,2,220,367,COMPLETE
18,0.9983571047371891,2022-09-21 19:32:13.369973,2022-09-21 19:33:03.776801,0 days 00:00:50.406828,24,180,58,30,506,350,COMPLETE
29,0.9983568181580316,2022-09-21 19:37:23.492814,2022-09-21 19:38:20.676345,0 days 00:00:57.183531,30,198,35,18,339,399,COMPLETE
76,0.9983398900700315,2022-09-21 19:57:37.570917,2022-09-21 19:58:03.343560,0 days 00:00:25.772643,17,197,85,17,383,176,COMPLETE
82,0.9983000914529855,2022-09-21 19:59:31.783753,2022-09-21 19:59:52.762885,0 days 00:00:20.979132,18,194,86,17,369,142,COMPLETE
5,0.9982163840859493,2022-09-21 19:25:22.985004,2022-09-21 19:25:48.813896,0 days 00:00:25.828892,24,147,92,27,279,183,COMPLETE
1,0.9981630269968803,2022-09-21 19:22:09.760325,2022-09-21 19:23:14.577261,0 days 00:01:04.816936,29,203,92,28,344,451,COMPLETE
97,0.9981582637450033,2022-09-21 20:04:32.023667,2022-09-21 20:05:26.414806,0 days 00:00:54.391139,18,199,70,15,270,384,COMPLETE
2,0.9979452993014017,2022-09-21 19:23:14.577441,2022-09-21 19:23:33.649197,0 days 00:00:19.071756,28,111,69,12,195,136,COMPLETE
36,0.9977889073341593,2022-09-21 19:40:34.057177,2022-09-21 19:41:17.470311,0 days 00:00:43.413134,24,124,45,16,324,312,COMPLETE
4,0.9972819606357757,2022-09-21 19:24:18.813874,2022-09-21 19:25:22.984833,0 days 00:01:04.170959,29,111,33,17,301,473,COMPLETE
