iteration,f1_weighted,datetime_start,datetime_complete,duration,metric,n_neighbors,state
25,0.8374190755723063,2022-06-15 03:38:18.462196,2022-06-15 03:38:55.199379,0 days 00:00:36.737183,chebyshev,17,COMPLETE
0,0.8374190755723063,2022-06-15 03:22:54.842882,2022-06-15 03:23:31.729075,0 days 00:00:36.886193,euclidean,17,COMPLETE
69,0.8343383338213107,2022-06-15 04:05:09.507971,2022-06-15 04:05:46.027458,0 days 00:00:36.519487,chebyshev,9,COMPLETE
36,0.8343383338213107,2022-06-15 03:45:00.469080,2022-06-15 03:45:36.981406,0 days 00:00:36.512326,minkowski,9,COMPLETE
85,0.8343383338213107,2022-06-15 04:14:52.325101,2022-06-15 04:15:28.769422,0 days 00:00:36.444321,chebyshev,9,COMPLETE
58,0.8343383338213107,2022-06-15 03:58:27.676829,2022-06-15 03:59:04.200339,0 days 00:00:36.523510,minkowski,9,COMPLETE
49,0.8329020577241175,2022-06-15 03:52:58.054583,2022-06-15 03:53:34.719805,0 days 00:00:36.665222,chebyshev,15,COMPLETE
90,0.8288167392011752,2022-06-15 04:17:54.663302,2022-06-15 04:18:31.180977,0 days 00:00:36.517675,chebyshev,11,COMPLETE
44,0.8288167392011752,2022-06-15 03:49:54.446572,2022-06-15 03:50:30.975476,0 days 00:00:36.528904,chebyshev,11,COMPLETE
75,0.8288167392011752,2022-06-15 04:08:47.797751,2022-06-15 04:09:24.381093,0 days 00:00:36.583342,chebyshev,11,COMPLETE
65,0.8287740606343625,2022-06-15 04:02:43.640175,2022-06-15 04:03:20.281663,0 days 00:00:36.641488,chebyshev,13,COMPLETE
