iteration,recall,datetime_start,datetime_complete,duration,metric,n_neighbors,state
68,0.8250068649885584,2022-06-15 22:19:42.657405,2022-06-15 22:20:20.874263,0 days 00:00:38.216858,minkowski,49,COMPLETE
71,0.8250068649885584,2022-06-15 22:21:36.213671,2022-06-15 22:22:14.454067,0 days 00:00:38.240396,minkowski,49,COMPLETE
76,0.8250068649885584,2022-06-15 22:24:47.466442,2022-06-15 22:25:25.785740,0 days 00:00:38.319298,minkowski,49,COMPLETE
75,0.8250068649885584,2022-06-15 22:24:09.250967,2022-06-15 22:24:47.466222,0 days 00:00:38.215255,minkowski,49,COMPLETE
74,0.8250068649885584,2022-06-15 22:23:31.012075,2022-06-15 22:24:09.250773,0 days 00:00:38.238698,minkowski,49,COMPLETE
73,0.8250068649885584,2022-06-15 22:22:52.769274,2022-06-15 22:23:31.011933,0 days 00:00:38.242659,minkowski,49,COMPLETE
80,0.8250068649885584,2022-06-15 22:27:20.203699,2022-06-15 22:27:58.528187,0 days 00:00:38.324488,minkowski,49,COMPLETE
89,0.8250068649885584,2022-06-15 22:33:03.978620,2022-06-15 22:33:42.204581,0 days 00:00:38.225961,minkowski,49,COMPLETE
91,0.8250068649885584,2022-06-15 22:34:20.385680,2022-06-15 22:34:58.621271,0 days 00:00:38.235591,minkowski,49,COMPLETE
72,0.8250068649885584,2022-06-15 22:22:14.454202,2022-06-15 22:22:52.769045,0 days 00:00:38.314843,minkowski,49,COMPLETE
81,0.8250068649885584,2022-06-15 22:27:58.528344,2022-06-15 22:28:36.767326,0 days 00:00:38.238982,minkowski,49,COMPLETE
78,0.8250068649885584,2022-06-15 22:26:03.885351,2022-06-15 22:26:42.109493,0 days 00:00:38.224142,minkowski,49,COMPLETE
95,0.8250068649885584,2022-06-15 22:36:53.338655,2022-06-15 22:37:31.574452,0 days 00:00:38.235797,minkowski,49,COMPLETE
67,0.8250068649885584,2022-06-15 22:19:04.342003,2022-06-15 22:19:42.657202,0 days 00:00:38.315199,minkowski,49,COMPLETE
82,0.8250068649885584,2022-06-15 22:28:36.767477,2022-06-15 22:29:15.023494,0 days 00:00:38.256017,minkowski,49,COMPLETE
66,0.8250068649885584,2022-06-15 22:18:26.096568,2022-06-15 22:19:04.341850,0 days 00:00:38.245282,minkowski,49,COMPLETE
56,0.8250068649885584,2022-06-15 22:12:07.557630,2022-06-15 22:12:45.791757,0 days 00:00:38.234127,minkowski,49,COMPLETE
22,0.8243295194508009,2022-06-15 21:50:38.615610,2022-06-15 21:51:16.768550,0 days 00:00:38.152940,manhattan,47,COMPLETE
31,0.8243295194508009,2022-06-15 21:56:18.536742,2022-06-15 21:56:56.714423,0 days 00:00:38.177681,manhattan,47,COMPLETE
25,0.8243295194508009,2022-06-15 21:52:32.277819,2022-06-15 21:53:10.428660,0 days 00:00:38.150841,manhattan,47,COMPLETE
98,0.8243295194508009,2022-06-15 22:38:47.977702,2022-06-15 22:39:26.254912,0 days 00:00:38.277210,minkowski,47,COMPLETE
51,0.8243295194508009,2022-06-15 22:08:56.951576,2022-06-15 22:09:35.098865,0 days 00:00:38.147289,minkowski,47,COMPLETE
21,0.8243295194508009,2022-06-15 21:50:00.453698,2022-06-15 21:50:38.615494,0 days 00:00:38.161796,manhattan,47,COMPLETE
41,0.8243295194508009,2022-06-15 22:02:39.560903,2022-06-15 22:03:17.717273,0 days 00:00:38.156370,manhattan,47,COMPLETE
46,0.8243295194508009,2022-06-15 22:05:48.265506,2022-06-15 22:06:26.449201,0 days 00:00:38.183695,euclidean,47,COMPLETE
94,0.8243295194508009,2022-06-15 22:36:15.058620,2022-06-15 22:36:53.338504,0 days 00:00:38.279884,minkowski,47,COMPLETE
20,0.8243295194508009,2022-06-15 21:49:22.303769,2022-06-15 21:50:00.453574,0 days 00:00:38.149805,manhattan,47,COMPLETE
63,0.8241281464530893,2022-06-15 22:16:31.661578,2022-06-15 22:17:09.852380,0 days 00:00:38.190802,manhattan,45,COMPLETE
77,0.8241281464530893,2022-06-15 22:25:25.785936,2022-06-15 22:26:03.885173,0 days 00:00:38.099237,minkowski,45,COMPLETE
99,0.8241281464530893,2022-06-15 22:39:26.255077,2022-06-15 22:40:04.371725,0 days 00:00:38.116648,minkowski,45,COMPLETE
19,0.8241281464530893,2022-06-15 21:48:44.042406,2022-06-15 21:49:22.303639,0 days 00:00:38.261233,manhattan,45,COMPLETE
18,0.8241281464530893,2022-06-15 21:48:05.924871,2022-06-15 21:48:44.042256,0 days 00:00:38.117385,manhattan,45,COMPLETE
