iteration,precision,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
631,0.9999785449162178,2022-06-12 18:48:56.526228,2022-06-12 18:48:57.230377,0 days 00:00:00.704149,1.999422809689162,8410036,random,0.022093266437675275,COMPLETE
176,0.9999785449162178,2022-06-12 18:43:23.088323,2022-06-12 18:43:23.683587,0 days 00:00:00.595264,1.9987728599988823,9477704,random,0.027123652616022658,COMPLETE
540,0.9999785449162178,2022-06-12 18:47:45.918840,2022-06-12 18:47:46.954224,0 days 00:00:01.035384,1.9988257308526927,8624733,random,0.025529480405396383,COMPLETE
645,0.9999785449162178,2022-06-12 18:49:08.027948,2022-06-12 18:49:08.741267,0 days 00:00:00.713319,1.9989178882201721,7813634,random,0.024372039819523544,COMPLETE
658,0.9999785449162178,2022-06-12 18:49:18.924763,2022-06-12 18:49:19.641385,0 days 00:00:00.716622,1.9995446113294308,8583091,random,0.024991152096997035,COMPLETE
215,0.9999785449162178,2022-06-12 18:43:47.470345,2022-06-12 18:43:48.095226,0 days 00:00:00.624881,1.9988783882326298,8297779,random,0.025110942604525097,COMPLETE
530,0.9999785449162178,2022-06-12 18:47:37.858014,2022-06-12 18:47:38.538367,0 days 00:00:00.680353,1.9992358453142849,7849485,random,0.023350611756265977,COMPLETE
524,0.9999785449162178,2022-06-12 18:47:31.868186,2022-06-12 18:47:32.542778,0 days 00:00:00.674592,1.9993199171155829,9034505,random,0.022290785088011862,COMPLETE
672,0.9999785449162178,2022-06-12 18:49:30.928811,2022-06-12 18:49:31.651024,0 days 00:00:00.722213,1.9999741768362758,8833961,random,0.02246903741996339,COMPLETE
192,0.9999785449162178,2022-06-12 18:43:32.926584,2022-06-12 18:43:33.551897,0 days 00:00:00.625313,1.999751905076872,8989422,random,0.026911911343152007,COMPLETE
196,0.9999785449162178,2022-06-12 18:43:35.357813,2022-06-12 18:43:35.975348,0 days 00:00:00.617535,1.998670320255755,8588368,random,0.02709229528501839,COMPLETE
201,0.9999785449162178,2022-06-12 18:43:38.545924,2022-06-12 18:43:39.153854,0 days 00:00:00.607930,1.9991870328878008,8798847,random,0.026768085391709613,COMPLETE
508,0.9999785449162178,2022-06-12 18:47:20.712347,2022-06-12 18:47:21.384580,0 days 00:00:00.672233,1.9989499106506132,8612834,random,0.02567067576967105,COMPLETE
728,0.9999785449162178,2022-06-12 18:50:16.516447,2022-06-12 18:50:17.256419,0 days 00:00:00.739972,1.9997807976102273,8480455,random,0.026876795013311562,COMPLETE
733,0.9999785449162178,2022-06-12 18:50:20.687370,2022-06-12 18:50:21.421278,0 days 00:00:00.733908,1.9987100917664908,8319385,random,0.024333218576193347,COMPLETE
871,0.9999785449162178,2022-06-12 18:52:17.361584,2022-06-12 18:52:18.129598,0 days 00:00:00.768014,1.9988943717236112,8053336,random,0.023413229673752697,COMPLETE
464,0.9999785449162178,2022-06-12 18:46:46.400959,2022-06-12 18:46:47.085725,0 days 00:00:00.684766,1.9999484992396526,8206239,random,0.024159683761556618,COMPLETE
591,0.9999785449162178,2022-06-12 18:48:26.702627,2022-06-12 18:48:27.397042,0 days 00:00:00.694415,1.9999686577330664,3544657,random,0.027358554257153698,COMPLETE
349,0.9999785449162178,2022-06-12 18:45:21.088180,2022-06-12 18:45:21.715473,0 days 00:00:00.627293,1.9995294050442622,8462708,random,0.026346778238412017,COMPLETE
378,0.9999785449162178,2022-06-12 18:45:40.148744,2022-06-12 18:45:40.783093,0 days 00:00:00.634349,1.9989189480890088,7600114,random,0.022176902232871915,COMPLETE
384,0.9999785449162178,2022-06-12 18:45:45.223394,2022-06-12 18:45:45.837144,0 days 00:00:00.613750,1.9998644775983891,8133620,random,0.023456575492424,COMPLETE
305,0.9999785449162178,2022-06-12 18:44:50.640213,2022-06-12 18:44:51.310944,0 days 00:00:00.670731,1.9991145883871038,8779350,random,0.025775436422608718,COMPLETE
935,0.9999785449162178,2022-06-12 18:53:13.118185,2022-06-12 18:53:13.903854,0 days 00:00:00.785669,1.9999284792376248,8088040,random,0.022103716774864522,COMPLETE
388,0.9999785449162178,2022-06-12 18:45:47.984477,2022-06-12 18:45:48.625846,0 days 00:00:00.641369,1.9996136411742214,8082453,random,0.025041129043035317,COMPLETE
