iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
674,0.9304357547284399,2022-06-14 00:24:03.153338,2022-06-14 00:24:03.992372,0 days 00:00:00.839034,0.8053426686784855,True,0.2397752993265087,7452697.0,False,random,0.08270015621794279,COMPLETE
683,0.9304364200160011,2022-06-14 00:24:10.856287,2022-06-14 00:24:11.671153,0 days 00:00:00.814866,0.83197979717789,True,0.22541233708022104,7741209.0,False,random,0.08132924277385249,COMPLETE
728,0.9304364200160011,2022-06-14 00:24:50.421864,2022-06-14 00:24:51.311030,0 days 00:00:00.889166,0.8396549851314739,True,0.2233275333289891,8038774.0,False,random,0.07911342487351708,COMPLETE
1864,0.9304365296819803,2022-06-14 01:38:12.000942,2022-06-14 01:38:13.389999,0 days 00:00:01.389057,0.632426470378858,True,0.29900347288956775,8913411.0,False,random,0.08876790816539532,COMPLETE
1043,0.9304366393479596,2022-06-14 01:21:08.184628,2022-06-14 01:21:09.198170,0 days 00:00:01.013542,0.5761870955514246,True,0.33006834025099,7808936.0,False,random,0.08635353098789507,COMPLETE
1900,0.9304367417222534,2022-06-14 01:39:05.965406,2022-06-14 01:39:07.409569,0 days 00:00:01.444163,0.7133966194093175,True,0.28117895387888925,8299384.0,False,random,0.0830860616273929,COMPLETE
1783,0.9304367417222534,2022-06-14 01:36:14.390124,2022-06-14 01:36:16.115405,0 days 00:00:01.725281,0.7997241188144515,True,0.25052025067956746,9021696.0,False,random,0.08342282755024427,COMPLETE
668,0.9304367417222534,2022-06-14 00:23:57.957100,2022-06-14 00:23:58.807793,0 days 00:00:00.850693,0.7845616665004954,True,0.25542803945346626,7226838.0,False,random,0.08404922489314919,COMPLETE
1457,0.9304370780118766,2022-06-14 01:29:00.537626,2022-06-14 01:29:01.713066,0 days 00:00:01.175440,0.7759016511862996,True,0.24920908615229773,7994473.0,False,random,0.08276698741217998,COMPLETE
1369,0.9304370780118766,2022-06-14 01:27:10.972722,2022-06-14 01:27:12.116269,0 days 00:00:01.143547,0.6020381848698753,True,0.3221055958737382,8292631.0,False,random,0.08630120872905403,COMPLETE
962,0.9304371876778559,2022-06-14 00:28:33.154332,2022-06-14 00:28:34.156033,0 days 00:00:01.001701,0.5845193301238025,True,0.33287644412642925,7868162.0,False,random,0.08560837284249113,COMPLETE
1607,0.9304371876778559,2022-06-14 01:32:13.191282,2022-06-14 01:32:14.453927,0 days 00:00:01.262645,0.6592794172012723,True,0.29473283294395347,9054611.0,False,random,0.08433727054593607,COMPLETE
