iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
0,0.9430253281951559,2022-06-13 21:57:47.990217,2022-06-13 21:57:48.486985,0 days 00:00:00.496768,6.978353622955601,eig,COMPLETE
586,0.9430253281951559,2022-06-13 22:06:31.437985,2022-06-13 22:06:32.065139,0 days 00:00:00.627154,4.770808788475828,eig,COMPLETE
606,0.9430253281951559,2022-06-13 22:06:50.982867,2022-06-13 22:06:51.620120,0 days 00:00:00.637253,6.029668947646812,eig,COMPLETE
624,0.9430253281951559,2022-06-13 22:07:08.716921,2022-06-13 22:07:09.351378,0 days 00:00:00.634457,5.971539671305056,eig,COMPLETE
107,0.9430253281951559,2022-06-13 21:59:14.949007,2022-06-13 21:59:15.483451,0 days 00:00:00.534444,0.11455845944725063,eig,COMPLETE
644,0.9430253281951559,2022-06-13 22:07:28.391403,2022-06-13 22:07:29.021085,0 days 00:00:00.629682,5.853252415549347,eig,COMPLETE
683,0.9430253281951559,2022-06-13 22:08:07.148610,2022-06-13 22:08:07.788292,0 days 00:00:00.639682,6.013587220192591,eig,COMPLETE
88,0.9430253281951559,2022-06-13 21:58:58.999975,2022-06-13 21:58:59.463171,0 days 00:00:00.463196,4.0140357465072345,eig,COMPLETE
567,0.9430253281951559,2022-06-13 22:06:12.945783,2022-06-13 22:06:13.560690,0 days 00:00:00.614907,5.074593752444717,eig,COMPLETE
700,0.9430253281951559,2022-06-13 22:08:24.093328,2022-06-13 22:08:24.740277,0 days 00:00:00.646949,5.216329693294203,eig,COMPLETE
741,0.9430253281951559,2022-06-13 22:09:05.563719,2022-06-13 22:09:06.219338,0 days 00:00:00.655619,5.103823980598111,eig,COMPLETE
760,0.9430253281951559,2022-06-13 22:09:24.972141,2022-06-13 22:09:25.635632,0 days 00:00:00.663491,5.761291451022556,eig,COMPLETE
70,0.9430253281951559,2022-06-13 21:58:43.832346,2022-06-13 21:58:44.340315,0 days 00:00:00.507969,5.873833422488623,eig,COMPLETE
779,0.9430253281951559,2022-06-13 22:09:44.475392,2022-06-13 22:09:45.144392,0 days 00:00:00.669000,5.440989555145032,eig,COMPLETE
60,0.9430253281951559,2022-06-13 21:58:35.601429,2022-06-13 21:58:36.107518,0 days 00:00:00.506089,5.711577588483855,eig,COMPLETE
798,0.9430253281951559,2022-06-13 22:10:03.900724,2022-06-13 22:10:04.580935,0 days 00:00:00.680211,5.940516329167767,eig,COMPLETE
47,0.9430253281951559,2022-06-13 21:58:24.821927,2022-06-13 21:58:25.322879,0 days 00:00:00.500952,5.633582481276984,eig,COMPLETE
