iteration,recall,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
509,0.9028649885583524,2022-07-03 00:17:27.396560,2022-07-03 00:17:29.021387,0 days 00:00:01.624827,1.6,0.16266597947632436,78.0,11766297.0,l1,0.07074582447852408,COMPLETE
1322,0.9028649885583524,2022-07-03 00:42:08.661711,2022-07-03 00:42:10.682009,0 days 00:00:02.020298,1.6,0.31271982580729074,349.0,49928888.0,l1,0.06866386090249084,COMPLETE
1146,0.9028649885583524,2022-07-03 00:36:14.275565,2022-07-03 00:36:16.188787,0 days 00:00:01.913222,1.6,0.40162465401138286,384.0,47247658.0,l1,0.07079272248648609,COMPLETE
552,0.9028649885583524,2022-07-03 00:18:35.330295,2022-07-03 00:18:36.954375,0 days 00:00:01.624080,1.6,0.8942219195342106,357.0,31702990.0,l1,0.07010697711208809,COMPLETE
1173,0.9028649885583524,2022-07-03 00:37:10.633119,2022-07-03 00:37:12.594242,0 days 00:00:01.961123,1.6,0.34359958562244763,367.0,45817982.0,l1,0.07236523938057213,COMPLETE
570,0.9028649885583524,2022-07-03 00:19:04.539036,2022-07-03 00:19:06.186942,0 days 00:00:01.647906,1.6,0.38945773207737355,272.0,32606407.0,l1,0.06643994410097494,COMPLETE
1127,0.9028649885583524,2022-07-03 00:35:38.164292,2022-07-03 00:35:40.380893,0 days 00:00:02.216601,1.2000000000000002,0.33457638651256166,361.0,45114414.0,l1,0.0719301544295186,COMPLETE
1177,0.9028649885583524,2022-07-03 00:37:17.844327,2022-07-03 00:37:19.798527,0 days 00:00:01.954200,1.2000000000000002,0.388031354257796,359.0,44684110.0,l1,0.07075649506683983,COMPLETE
1336,0.9028649885583524,2022-07-03 00:42:37.092135,2022-07-03 00:42:39.114742,0 days 00:00:02.022607,1.2000000000000002,0.35356682401653916,405.0,41383209.0,l1,0.06719962196904146,COMPLETE
1122,0.9028649885583524,2022-07-03 00:35:28.526758,2022-07-03 00:35:30.457979,0 days 00:00:01.931221,1.2000000000000002,0.3851465445132073,369.0,44639127.0,l1,0.07139041124276095,COMPLETE
1120,0.9028649885583524,2022-07-03 00:35:24.393141,2022-07-03 00:35:26.312157,0 days 00:00:01.919016,1.2000000000000002,0.38786344671460354,366.0,44870792.0,l1,0.06976654137791939,COMPLETE
646,0.9028649885583524,2022-07-03 00:21:12.365932,2022-07-03 00:21:14.064497,0 days 00:00:01.698565,1.6,0.8886256762539765,334.0,48907068.0,l1,0.0714902268094811,COMPLETE
1186,0.9028649885583524,2022-07-03 00:37:35.178958,2022-07-03 00:37:37.111788,0 days 00:00:01.932830,1.6,0.31186662218153943,402.0,49170666.0,l1,0.06824828680431826,COMPLETE
1188,0.9028649885583524,2022-07-03 00:37:39.059867,2022-07-03 00:37:41.025194,0 days 00:00:01.965327,1.2000000000000002,0.338857501847706,418.0,49554558.0,l1,0.06844817546633195,COMPLETE
1306,0.9028649885583524,2022-07-03 00:41:37.241357,2022-07-03 00:41:39.240879,0 days 00:00:01.999522,1.6,0.3326594677551165,426.0,48195906.0,l1,0.06876889099732447,COMPLETE
1304,0.9028649885583524,2022-07-03 00:41:33.224320,2022-07-03 00:41:35.229085,0 days 00:00:02.004765,1.2000000000000002,0.3243465896750655,398.0,42341811.0,l1,0.07143886909918422,COMPLETE
1094,0.9028649885583524,2022-07-03 00:34:35.332498,2022-07-03 00:34:37.234875,0 days 00:00:01.902377,1.2000000000000002,0.3863065488189686,380.0,45766397.0,l1,0.07231432033762107,COMPLETE
1274,0.9028649885583524,2022-07-03 00:40:33.782761,2022-07-03 00:40:35.765087,0 days 00:00:01.982326,1.2000000000000002,0.4542049062313701,376.0,48183645.0,l1,0.06717091957607652,COMPLETE
1153,0.9028649885583524,2022-07-03 00:36:27.229378,2022-07-03 00:36:29.167242,0 days 00:00:01.937864,1.6,0.3302656339011208,405.0,42727010.0,l1,0.07151556217970861,COMPLETE
999,0.9028649885583524,2022-07-03 00:31:39.637837,2022-07-03 00:31:41.812192,0 days 00:00:02.174355,1.6,0.9112332827039437,381.0,47972346.0,l1,0.0718908481025025,COMPLETE
991,0.9028649885583524,2022-07-03 00:31:23.516589,2022-07-03 00:31:25.385302,0 days 00:00:01.868713,1.2000000000000002,0.8405862838586715,380.0,33090170.0,l1,0.06762807229525368,COMPLETE
1362,0.9028649885583524,2022-07-03 00:43:31.426784,2022-07-03 00:43:33.477910,0 days 00:00:02.051126,1.6,0.333281644273032,431.0,46798492.0,l1,0.07227411452247115,COMPLETE
1020,0.9028649885583524,2022-07-03 00:32:18.306398,2022-07-03 00:32:20.165549,0 days 00:00:01.859151,1.6,0.9342769226492236,293.0,42057749.0,l1,0.06875314833523488,COMPLETE
1033,0.9028649885583524,2022-07-03 00:32:42.440306,2022-07-03 00:32:44.327147,0 days 00:00:01.886841,1.2000000000000002,0.3887887200511394,378.0,47278099.0,l1,0.07032636738864904,COMPLETE
