iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
317,0.9195943977103406,2022-06-12 14:52:53.838875,2022-06-12 14:52:54.366106,0 days 00:00:00.527231,6.639999630908084,eig,COMPLETE
435,0.9195943977103406,2022-06-12 14:54:38.043431,2022-06-12 14:54:38.594588,0 days 00:00:00.551157,8.014128650612182,eig,COMPLETE
67,0.9195943977103406,2022-06-12 14:49:21.587788,2022-06-12 14:49:22.084194,0 days 00:00:00.496406,5.298869540100377,eig,COMPLETE
415,0.9195943977103406,2022-06-12 14:54:20.255996,2022-06-12 14:54:20.798564,0 days 00:00:00.542568,8.687728006260317,eig,COMPLETE
611,0.9195943977103406,2022-06-12 14:57:19.111454,2022-06-12 14:57:19.697376,0 days 00:00:00.585922,8.410138144323774,eig,COMPLETE
396,0.9195943977103406,2022-06-12 14:54:03.250153,2022-06-12 14:54:03.787546,0 days 00:00:00.537393,8.698181719278004,eig,COMPLETE
632,0.9195943977103406,2022-06-12 14:57:38.912470,2022-06-12 14:57:39.501191,0 days 00:00:00.588721,8.793138079098878,eig,COMPLETE
375,0.9195943977103406,2022-06-12 14:53:44.685829,2022-06-12 14:53:45.230054,0 days 00:00:00.544225,0.7716395638440257,eig,COMPLETE
650,0.9195943977103406,2022-06-12 14:57:55.613883,2022-06-12 14:57:56.453211,0 days 00:00:00.839328,7.657426601791293,eig,COMPLETE
357,0.9195943977103406,2022-06-12 14:53:28.894180,2022-06-12 14:53:29.432834,0 days 00:00:00.538654,1.5562259054254268,eig,COMPLETE
671,0.9195943977103406,2022-06-12 14:58:15.426610,2022-06-12 14:58:16.018556,0 days 00:00:00.591946,6.994853653463209,eig,COMPLETE
336,0.9195943977103406,2022-06-12 14:53:10.321048,2022-06-12 14:53:10.847933,0 days 00:00:00.526885,2.654659484575227,eig,COMPLETE
689,0.9195943977103406,2022-06-12 14:58:32.484040,2022-06-12 14:58:33.079787,0 days 00:00:00.595747,6.7064285889136945,eig,COMPLETE
594,0.9195943977103406,2022-06-12 14:57:03.207233,2022-06-12 14:57:03.792057,0 days 00:00:00.584824,8.579115034820054,eig,COMPLETE
882,0.9195963443234663,2022-06-12 15:01:39.969220,2022-06-12 15:01:40.850415,0 days 00:00:00.881195,9.136462322150999,eig,COMPLETE
863,0.9195982909441779,2022-06-12 15:01:21.163398,2022-06-12 15:01:21.800032,0 days 00:00:00.636634,9.779637305497731,eig,COMPLETE
277,0.9195982909441779,2022-06-12 14:52:19.272248,2022-06-12 14:52:19.808357,0 days 00:00:00.536109,8.90937862010401,eig,COMPLETE
573,0.9195982909441779,2022-06-12 14:56:43.564233,2022-06-12 14:56:44.156237,0 days 00:00:00.592004,9.77613181415673,eig,COMPLETE
257,0.9195982909441779,2022-06-12 14:52:01.411168,2022-06-12 14:52:01.923884,0 days 00:00:00.512716,9.373993125044144,eig,COMPLETE
3,0.9195982909441779,2022-06-12 14:48:32.493572,2022-06-12 14:48:32.920823,0 days 00:00:00.427251,9.183511510127968,eig,COMPLETE
952,0.9648692737989603,2022-06-12 15:02:50.017928,2022-06-12 15:02:51.038189,0 days 00:00:01.020261,7.782081673906841,svd,COMPLETE
655,0.9648692737989603,2022-06-12 14:58:00.230650,2022-06-12 14:58:01.174465,0 days 00:00:00.943815,7.466568876242559,svd,COMPLETE
656,0.9648692737989603,2022-06-12 14:58:01.174995,2022-06-12 14:58:02.120808,0 days 00:00:00.945813,7.300949734771874,svd,COMPLETE
657,0.9648692737989603,2022-06-12 14:58:02.121368,2022-06-12 14:58:03.070435,0 days 00:00:00.949067,7.122726961026524,svd,COMPLETE
658,0.9648692737989603,2022-06-12 14:58:03.070965,2022-06-12 14:58:04.018509,0 days 00:00:00.947544,7.1496491484620375,svd,COMPLETE
659,0.9648692737989603,2022-06-12 14:58:04.019055,2022-06-12 14:58:04.965239,0 days 00:00:00.946184,7.240805114722878,svd,COMPLETE
660,0.9648692737989603,2022-06-12 14:58:04.965769,2022-06-12 14:58:05.914150,0 days 00:00:00.948381,7.235802999298268,svd,COMPLETE
661,0.9648692737989603,2022-06-12 14:58:05.914700,2022-06-12 14:58:06.868052,0 days 00:00:00.953352,7.399585299310681,svd,COMPLETE
662,0.9648692737989603,2022-06-12 14:58:06.868579,2022-06-12 14:58:07.815746,0 days 00:00:00.947167,7.45235097772209,svd,COMPLETE
663,0.9648692737989603,2022-06-12 14:58:07.816301,2022-06-12 14:58:08.762402,0 days 00:00:00.946101,7.1109133737492245,svd,COMPLETE
