iteration,recall,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
320,0.0,2022-06-14 00:39:04.556955,2022-06-14 00:39:05.165763,0 days 00:00:00.608808,1.480413316045175,True,0.12395411970275842,9528104.0,True,cyclic,0.06587209775159233,COMPLETE
341,0.0,2022-06-14 00:39:19.621324,2022-06-14 00:39:20.272723,0 days 00:00:00.651399,1.5086625342353788,True,0.17456408698650255,5636523.0,True,cyclic,0.0654527038569506,COMPLETE
360,0.0,2022-06-14 00:39:33.543787,2022-06-14 00:39:34.192111,0 days 00:00:00.648324,1.5600933778522885,True,0.028239623068857828,5963020.0,True,cyclic,0.06559087514891296,COMPLETE
118,0.0,2022-06-14 00:36:52.666159,2022-06-14 00:36:53.178568,0 days 00:00:00.512409,1.3864096831750972,True,0.20232732978064272,4933571.0,True,cyclic,0.07077759371142028,COMPLETE
380,0.0,2022-06-14 00:39:48.172167,2022-06-14 00:39:48.796723,0 days 00:00:00.624556,1.4667783795902152,True,0.18691513129003673,9190378.0,True,cyclic,0.07462981532461484,COMPLETE
400,0.0,2022-06-14 00:40:02.680166,2022-06-14 00:40:03.332504,0 days 00:00:00.652338,1.6259127385066692,True,0.13961409227333665,5239908.0,True,cyclic,0.07239932740810169,COMPLETE
420,0.0,2022-06-14 00:40:17.813724,2022-06-14 00:40:18.484364,0 days 00:00:00.670640,1.4295743338243903,True,0.16142844525446864,5982710.0,True,cyclic,0.06756799685595027,COMPLETE
440,0.0,2022-06-14 00:40:33.612423,2022-06-14 00:40:34.270031,0 days 00:00:00.657608,1.3075289789903457,True,0.15115914660394,4827271.0,True,cyclic,0.06944750677176165,COMPLETE
459,0.0,2022-06-14 00:40:48.135331,2022-06-14 00:40:48.817588,0 days 00:00:00.682257,1.2832943778882864,True,0.1369799709687625,5945084.0,True,cyclic,0.07207404703713968,COMPLETE
480,0.0,2022-06-14 00:41:04.274417,2022-06-14 00:41:04.954030,0 days 00:00:00.679613,1.4762636512409095,True,0.1670963969163189,5269845.0,True,cyclic,0.06993369293055923,COMPLETE
498,0.0,2022-06-14 00:41:18.695754,2022-06-14 00:41:19.389558,0 days 00:00:00.693804,1.5069579771177748,True,0.03985558174419729,9168151.0,True,cyclic,0.07081529155864544,COMPLETE
823,0.0,2022-06-14 00:46:08.805799,2022-06-14 00:46:09.647787,0 days 00:00:00.841988,1.5697584606633743,True,0.15221600034136853,9266950.0,True,cyclic,0.06662457473303464,COMPLETE
842,0.0,2022-06-14 00:46:27.178995,2022-06-14 00:46:28.032054,0 days 00:00:00.853059,1.479175431837192,True,0.1202478576333366,3593365.0,True,cyclic,0.07385226719102976,COMPLETE
710,0.0,2022-06-14 00:44:20.468975,2022-06-14 00:44:21.258812,0 days 00:00:00.789837,1.6730745458067253,True,0.1734524801843763,554847.0,True,cyclic,0.07693863397931322,COMPLETE
919,0.0,2022-06-14 00:47:45.043775,2022-06-14 00:47:45.949492,0 days 00:00:00.905717,1.3962120867164853,True,0.17847599804374048,5905094.0,True,cyclic,0.0640938159591076,COMPLETE
29,0.0,2022-06-14 00:35:58.567959,2022-06-14 00:35:59.026111,0 days 00:00:00.458152,0.8969087541750822,True,0.1845463874116895,9823270.0,True,cyclic,0.03456117342650796,COMPLETE
26,0.0,2022-06-14 00:35:56.525944,2022-06-14 00:35:57.010797,0 days 00:00:00.484853,1.5398509551817492,True,0.31015609512745157,4365686.0,True,random,0.03407887493128949,COMPLETE
900,0.0,2022-06-14 00:47:25.551064,2022-06-14 00:47:26.434677,0 days 00:00:00.883613,1.5487679809777815,True,0.13805849325931385,5226239.0,True,cyclic,0.06933697690732282,COMPLETE
36,0.0,2022-06-14 00:36:02.965554,2022-06-14 00:36:03.455698,0 days 00:00:00.490144,1.795097386140435,False,0.826481296984535,2658794.0,True,random,0.02214728255048857,COMPLETE
40,0.0,2022-06-14 00:36:05.340231,2022-06-14 00:36:05.827287,0 days 00:00:00.487056,1.0377911962934685,True,0.41186493652604517,4335943.0,True,cyclic,0.07132066204534647,COMPLETE
18,0.0,2022-06-14 00:35:50.843626,2022-06-14 00:35:51.317535,0 days 00:00:00.473909,1.978943715111142,True,0.25753943139581503,6163032.0,True,random,0.04179679784602655,COMPLETE
880,0.0,2022-06-14 00:47:05.671087,2022-06-14 00:47:06.552166,0 days 00:00:00.881079,1.6138768285152574,True,0.16195614567862454,5543228.0,True,cyclic,0.07358950714703519,COMPLETE
940,0.0,2022-06-14 00:48:06.899145,2022-06-14 00:48:07.775917,0 days 00:00:00.876772,1.7135964887624704,True,0.07277042044916955,6362153.0,True,cyclic,0.06761636386444302,COMPLETE
978,0.0,2022-06-14 00:48:46.616287,2022-06-14 00:48:47.557487,0 days 00:00:00.941200,1.2839876135126784,True,0.14241300389831166,5684748.0,True,cyclic,0.08012270133487065,COMPLETE
9,0.0,2022-06-14 00:35:45.571815,2022-06-14 00:35:46.023996,0 days 00:00:00.452181,0.9650401197412838,False,0.4801242228497459,8677138.0,True,random,0.09454427422791632,COMPLETE
7,0.0,2022-06-14 00:35:44.481998,2022-06-14 00:35:44.950902,0 days 00:00:00.468904,1.4427586218028836,False,0.5769153392505282,3581787.0,True,cyclic,0.09127768934293705,COMPLETE
996,0.0,2022-06-14 00:49:05.700343,2022-06-14 00:49:06.649760,0 days 00:00:00.949417,1.3959182473281742,True,0.14901840759531604,9476877.0,True,cyclic,0.08394653371690412,COMPLETE
1,0.0,2022-06-14 00:35:41.031126,2022-06-14 00:35:41.488141,0 days 00:00:00.457015,1.6890423600299407,False,0.6442283113559139,3565746.0,True,cyclic,0.022078677816656178,COMPLETE
957,0.0,2022-06-14 00:48:24.447321,2022-06-14 00:48:25.372868,0 days 00:00:00.925547,1.33804850708992,True,0.15657973441787254,5720019.0,True,cyclic,0.07260292419445444,COMPLETE
861,0.0,2022-06-14 00:46:46.064248,2022-06-14 00:46:46.954174,0 days 00:00:00.889926,1.5530005168282275,True,0.1063168337806338,6492671.0,True,cyclic,0.06826696208131433,COMPLETE
4,0.6477070938215103,2022-06-14 00:35:42.691698,2022-06-14 00:35:43.194638,0 days 00:00:00.502940,1.4013098484589113,False,0.9650317137622508,6780830.0,False,random,0.03996972809941359,COMPLETE
676,0.6625171624713959,2022-06-14 00:43:49.590775,2022-06-14 00:43:50.719132,0 days 00:00:01.128357,1.6715902052970866,False,0.5534625606261385,7241067.0,False,cyclic,0.07036788728202686,COMPLETE
148,0.6635972540045767,2022-06-14 00:37:11.133666,2022-06-14 00:37:11.732977,0 days 00:00:00.599311,1.5679482884527296,False,0.5821977711077502,9969229.0,False,cyclic,0.08689711461361167,COMPLETE
325,0.676741418764302,2022-06-14 00:39:08.270003,2022-06-14 00:39:08.976239,0 days 00:00:00.706236,1.5029668808708774,False,0.5297255971316228,9169965.0,False,cyclic,0.06729213672448106,COMPLETE
444,0.679487414187643,2022-06-14 00:40:36.509030,2022-06-14 00:40:37.228137,0 days 00:00:00.719107,1.6690126784797936,False,0.46129177958803635,9278322.0,False,cyclic,0.07062270877901924,COMPLETE
658,0.7017482837528604,2022-06-14 00:43:33.564021,2022-06-14 00:43:34.574258,0 days 00:00:01.010237,1.6196465575884995,False,0.9657029776409591,7088454.0,False,cyclic,0.04708350791605949,COMPLETE
286,0.7122013729977117,2022-06-14 00:38:40.745390,2022-06-14 00:38:41.567533,0 days 00:00:00.822143,1.5170658231722984,False,0.7867483814231486,9666938.0,False,cyclic,0.07162021824278639,COMPLETE
3,0.7276887871853547,2022-06-14 00:35:42.123360,2022-06-14 00:35:42.691562,0 days 00:00:00.568202,0.8044341864555556,False,0.8647875396785418,4234477.0,False,random,0.04889871337175794,COMPLETE
600,0.7408146453089245,2022-06-14 00:42:42.813879,2022-06-14 00:42:43.828264,0 days 00:00:01.014385,1.308839863604299,False,0.3209945879405687,7473904.0,False,cyclic,0.07709079745761956,COMPLETE
5,0.7425171624713959,2022-06-14 00:35:43.194764,2022-06-14 00:35:43.769373,0 days 00:00:00.574609,1.3468401201028728,False,0.47384531086967663,1505293.0,False,random,0.06940735995430958,COMPLETE
752,0.743578947368421,2022-06-14 00:44:59.107556,2022-06-14 00:45:00.271708,0 days 00:00:01.164152,1.7383881923033506,False,0.20267460484815436,9984005.0,False,cyclic,0.06147038696931968,COMPLETE
120,0.7436521739130435,2022-06-14 00:36:53.804795,2022-06-14 00:36:54.669888,0 days 00:00:00.865093,1.4520416997572791,False,0.2372624882758999,6119747.0,False,cyclic,0.05716408473087639,COMPLETE
86,0.7437254004576659,2022-06-14 00:36:33.294697,2022-06-14 00:36:34.137427,0 days 00:00:00.842730,1.5779156298564299,False,0.2234343040337773,2061636.0,False,cyclic,0.06374266837314832,COMPLETE
847,0.7472951945080092,2022-06-14 00:46:31.810663,2022-06-14 00:46:33.379567,0 days 00:00:01.568904,1.6122166361346484,False,0.1870746614606586,8813397.0,False,cyclic,0.04994391939318367,COMPLETE
50,0.747441647597254,2022-06-14 00:36:11.751559,2022-06-14 00:36:12.660255,0 days 00:00:00.908696,1.6528781610645977,False,0.17309826703299644,2236244.0,False,cyclic,0.03199833979044103,COMPLETE
809,0.7488878718535469,2022-06-14 00:45:54.530812,2022-06-14 00:45:55.814819,0 days 00:00:01.284007,1.559721286970682,False,0.17787722371525735,8698204.0,False,cyclic,0.030024337413410082,COMPLETE
790,0.7507734553775743,2022-06-14 00:45:35.583833,2022-06-14 00:45:36.462360,0 days 00:00:00.878527,1.6542256795809487,False,0.17562368908840037,8053117.0,False,cyclic,0.07270990777395077,COMPLETE
618,0.7517803203661327,2022-06-14 00:42:58.649141,2022-06-14 00:42:59.444271,0 days 00:00:00.795130,1.5856579157214563,False,0.17886659260378773,7901032.0,False,cyclic,0.06806823141557605,COMPLETE
907,0.7530434782608696,2022-06-14 00:47:32.576510,2022-06-14 00:47:33.501326,0 days 00:00:00.924816,1.4169484393190273,False,0.1933948697736119,9384786.0,False,cyclic,0.0687131459242551,COMPLETE
34,0.7535560640732265,2022-06-14 00:36:01.358074,2022-06-14 00:36:02.268698,0 days 00:00:00.910624,0.6245986508763429,False,0.4037949300439656,3233440.0,False,cyclic,0.02805412957745938,COMPLETE
405,0.7538123569794051,2022-06-14 00:40:06.589371,2022-06-14 00:40:07.247781,0 days 00:00:00.658410,1.388741592787356,False,0.19260969826840615,6931334.0,False,cyclic,0.059514691533632424,COMPLETE
733,0.7546361556064073,2022-06-14 00:44:41.579961,2022-06-14 00:44:42.432724,0 days 00:00:00.852763,1.5114594174079798,False,0.17348703168194368,1117604.0,False,cyclic,0.07611085326452252,COMPLETE
39,0.754837528604119,2022-06-14 00:36:04.849951,2022-06-14 00:36:05.340096,0 days 00:00:00.490145,1.3965145564122432,False,0.1860724013346991,5458126.0,False,cyclic,0.06193700642920837,COMPLETE
541,0.7552036613272312,2022-06-14 00:41:53.654014,2022-06-14 00:41:54.412154,0 days 00:00:00.758140,1.4548727360000697,False,0.17608517422664943,9991574.0,False,cyclic,0.0761826553844087,COMPLETE
99,0.7556796338672769,2022-06-14 00:36:41.052924,2022-06-14 00:36:41.610067,0 days 00:00:00.557143,1.4677769826239784,False,0.1708872493625717,5981682.0,False,cyclic,0.05447590920460069,COMPLETE
580,0.7559908466819222,2022-06-14 00:42:26.154842,2022-06-14 00:42:26.923678,0 days 00:00:00.768836,1.564526220037654,False,0.15893536078528525,5305431.0,False,cyclic,0.07321056954737527,COMPLETE
266,0.7565949656750572,2022-06-14 00:38:26.781595,2022-06-14 00:38:27.417135,0 days 00:00:00.635540,1.6210285491049041,False,0.15051546126795176,8821084.0,False,cyclic,0.06757402526283074,COMPLETE
365,0.7566132723112128,2022-06-14 00:39:37.025365,2022-06-14 00:39:37.699485,0 days 00:00:00.674120,1.63144734545645,False,0.14971857877732908,5098638.0,False,cyclic,0.07385235037321192,COMPLETE
502,0.757254004576659,2022-06-14 00:41:22.165645,2022-06-14 00:41:22.900507,0 days 00:00:00.734862,1.3292167139654911,False,0.17948296770911126,9829481.0,False,cyclic,0.07698467038529049,COMPLETE
345,0.7592128146453089,2022-06-14 00:39:22.477065,2022-06-14 00:39:23.143406,0 days 00:00:00.666341,1.381608760201532,False,0.15979375913104904,9994127.0,False,cyclic,0.0637709649486084,COMPLETE
384,0.7593226544622426,2022-06-14 00:39:51.019107,2022-06-14 00:39:51.700498,0 days 00:00:00.681391,1.715504600496404,False,0.12693044082812077,9798053.0,False,cyclic,0.06382080796384,COMPLETE
208,0.7606224256292906,2022-06-14 00:37:48.773966,2022-06-14 00:37:49.386354,0 days 00:00:00.612388,1.5171175836591853,False,0.13699400112112073,9032131.0,False,cyclic,0.06804720552834972,COMPLETE
867,0.7607505720823798,2022-06-14 00:46:52.064844,2022-06-14 00:46:52.980756,0 days 00:00:00.915912,1.6528869597500053,False,0.1249564029595507,6268360.0,False,cyclic,0.07949439767111992,COMPLETE
714,0.7608054919908467,2022-06-14 00:44:23.898010,2022-06-14 00:44:24.753985,0 days 00:00:00.855975,1.5998348000484979,False,0.1292828701838934,2674402.0,False,cyclic,0.07802424966187647,COMPLETE
827,0.7609702517162471,2022-06-14 00:46:12.472959,2022-06-14 00:46:13.374412,0 days 00:00:00.901453,1.4325193545601584,False,0.14296716702952977,5988413.0,False,cyclic,0.07024250301638736,COMPLETE
695,0.76120823798627,2022-06-14 00:44:06.615920,2022-06-14 00:44:07.438888,0 days 00:00:00.822968,1.5790174376724389,False,0.12827636500855794,4976800.0,False,cyclic,0.07150551914232386,COMPLETE
463,0.7619221967963387,2022-06-14 00:40:51.137385,2022-06-14 00:40:52.177991,0 days 00:00:01.040606,1.7054733642233062,False,0.11532249068546477,5104721.0,False,cyclic,0.07366490540548673,COMPLETE
522,0.7642471395881006,2022-06-14 00:41:38.105108,2022-06-14 00:41:38.860973,0 days 00:00:00.755865,1.6381984285680096,False,0.11012272820754423,5359182.0,False,cyclic,0.0705265161088648,COMPLETE
424,0.7660778032036614,2022-06-14 00:40:20.664828,2022-06-14 00:40:22.127447,0 days 00:00:01.462619,1.6773892964187187,False,0.0932266768846912,9815206.0,False,cyclic,0.02653830589513945,COMPLETE
963,0.7811807780320366,2022-06-14 00:48:30.707748,2022-06-14 00:48:31.745037,0 days 00:00:01.037289,1.577699223892408,False,0.10717796940496493,9251662.0,False,random,0.07012247898242312,COMPLETE
561,0.7830663615560641,2022-06-14 00:42:09.912199,2022-06-14 00:42:11.072313,0 days 00:00:01.160114,1.556718888227971,False,0.12355834558555916,1549062.0,False,cyclic,0.06075721662058321,COMPLETE
943,0.7842013729977116,2022-06-14 00:48:09.732429,2022-06-14 00:48:10.709753,0 days 00:00:00.977324,1.5303410208445285,False,0.11802551347861326,5085187.0,False,cyclic,0.06509731025132795,COMPLETE
