iteration,f1_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
632,0.961637378286501,2022-07-02 22:20:30.650639,2022-07-02 22:20:39.057944,0 days 00:00:08.407305,4.5,0.5433884120105107,77,22554069,l1,8.409562558631665e-05,COMPLETE
813,0.961637378286501,2022-07-02 22:40:39.635591,2022-07-02 22:40:48.255312,0 days 00:00:08.619721,6.1,0.0895031031314712,457,35135091,l1,0.000184382598388668,COMPLETE
438,0.961637378286501,2022-07-02 21:59:52.734483,2022-07-02 22:00:00.260732,0 days 00:00:07.526249,4.5,0.8242032172159298,448,8473058,l1,0.0018287822989711462,COMPLETE
581,0.961637378286501,2022-07-02 22:14:52.726398,2022-07-02 22:15:00.424101,0 days 00:00:07.697703,4.5,0.7907718317291099,452,44351682,l1,0.0015877562915993324,COMPLETE
88,0.961637378286501,2022-07-02 21:22:25.036735,2022-07-02 21:22:32.923686,0 days 00:00:07.886951,3.5000000000000004,0.708754826524632,455,12375786,l1,0.00035639837708981246,COMPLETE
870,0.961637378286501,2022-07-02 22:46:59.207241,2022-07-02 22:47:07.081330,0 days 00:00:07.874089,6.6,0.12912005904392698,108,26805911,l1,0.0016458622583632762,COMPLETE
823,0.961637378286501,2022-07-02 22:41:41.786269,2022-07-02 22:41:50.348221,0 days 00:00:08.561952,5.9,0.040678552000996,441,2431870,l1,6.437918138491657e-05,COMPLETE
998,0.961637378286501,2022-07-02 23:00:47.221914,2022-07-02 23:00:55.138635,0 days 00:00:07.916721,6.4,0.06479026067547877,493,33490794,l1,0.0016237964627227766,COMPLETE
828,0.961637378286501,2022-07-02 22:42:20.544485,2022-07-02 22:42:28.710941,0 days 00:00:08.166456,5.4,0.5766722627335956,73,3114531,l1,2.254722397160223e-05,COMPLETE
863,0.961637378286501,2022-07-02 22:46:11.459466,2022-07-02 22:46:19.919853,0 days 00:00:08.460387,6.1,0.05447616398034959,433,33841397,l1,3.017624336417571e-05,COMPLETE
585,0.961637378286501,2022-07-02 22:15:21.672786,2022-07-02 22:15:29.871396,0 days 00:00:08.198610,4.5,0.8337237350667586,456,44868869,l1,0.001987799511686003,COMPLETE
592,0.961637378286501,2022-07-02 22:16:12.625194,2022-07-02 22:16:20.509212,0 days 00:00:07.884018,3.5000000000000004,0.7080142705430856,469,28563111,l1,0.0016458881102313222,COMPLETE
636,0.961637378286501,2022-07-02 22:21:01.970246,2022-07-02 22:21:09.944053,0 days 00:00:07.973807,3.5000000000000004,0.6929493223214276,250,27303850,l1,0.0016623174791106658,COMPLETE
542,0.961637378286501,2022-07-02 22:10:53.249224,2022-07-02 22:11:00.787575,0 days 00:00:07.538351,4.5,0.7360933147803232,457,41463300,l1,0.0018698459663063058,COMPLETE
432,0.961637378286501,2022-07-02 21:59:15.167679,2022-07-02 21:59:22.965353,0 days 00:00:07.797674,5.4,0.0754571037256936,406,10357965,l1,0.0018036300564183724,COMPLETE
540,0.961637378286501,2022-07-02 22:10:36.686906,2022-07-02 22:10:44.975723,0 days 00:00:08.288817,3.4000000000000004,0.789312386724561,436,41651589,l1,0.00018341582943238506,COMPLETE
144,0.961637378286501,2022-07-02 21:28:04.716762,2022-07-02 21:28:12.190181,0 days 00:00:07.473419,3.5000000000000004,0.17802880968730253,447,13238756,l1,0.0017343005695924262,COMPLETE
715,0.961637378286501,2022-07-02 22:29:52.372048,2022-07-02 22:29:59.981083,0 days 00:00:07.609035,3.5000000000000004,0.7162644398250668,88,28862003,l1,0.0019331828621107577,COMPLETE
709,0.961637378286501,2022-07-02 22:29:12.906880,2022-07-02 22:29:21.186674,0 days 00:00:08.279794,3.6,0.575000675121078,72,1559024,l1,1.6844323806264557e-05,COMPLETE
939,0.961637378286501,2022-07-02 22:54:23.121311,2022-07-02 22:54:31.095592,0 days 00:00:07.974281,6.4,0.11852789992672608,121,26622937,l1,0.002076810599023878,COMPLETE
193,0.961637378286501,2022-07-02 21:33:22.214602,2022-07-02 21:33:29.796175,0 days 00:00:07.581573,3.5000000000000004,0.17702090454496505,145,3314804,l1,0.0019959429905415473,COMPLETE
196,0.961637378286501,2022-07-02 21:33:43.568928,2022-07-02 21:33:51.107965,0 days 00:00:07.539037,4.9,0.5691618964205988,481,6257927,l1,0.0016632792342470152,COMPLETE
163,0.961637378286501,2022-07-02 21:30:01.751679,2022-07-02 21:30:09.955917,0 days 00:00:08.204238,3.6,0.05344167909933312,488,14642175,l1,9.629392215025796e-05,COMPLETE
387,0.961637378286501,2022-07-02 21:54:23.857448,2022-07-02 21:54:32.056978,0 days 00:00:08.199530,3.8000000000000003,0.8286585290204174,459,27619832,l1,0.00013828418531553524,COMPLETE
738,0.961637378286501,2022-07-02 22:32:20.583787,2022-07-02 22:32:28.624849,0 days 00:00:08.041062,6.0,0.06337466588896933,412,23323642,l1,5.560400379292339e-05,COMPLETE
739,0.961637378286501,2022-07-02 22:32:28.625498,2022-07-02 22:32:36.376118,0 days 00:00:07.750620,3.5000000000000004,0.03186883714498301,93,1483313,l1,0.001744058434042293,COMPLETE
655,0.961637378286501,2022-07-02 22:22:57.766638,2022-07-02 22:23:06.035103,0 days 00:00:08.268465,5.7,0.04701774031504164,450,25742275,l1,0.00010816882545219906,COMPLETE
132,0.961637378286501,2022-07-02 21:26:50.002101,2022-07-02 21:26:58.203006,0 days 00:00:08.200905,4.3,0.1712238955952534,256,16827921,l1,0.0002517944142199657,COMPLETE
