iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
246,0.9330856080928891,2022-07-02 23:36:50.656043,2022-07-02 23:36:52.133692,0 days 00:00:01.477649,6.4,0.1422110621061738,191.0,13143667.0,l1,0.03661240576819311,COMPLETE
232,0.9330856080928891,2022-07-02 23:36:30.422227,2022-07-02 23:36:31.891440,0 days 00:00:01.469213,6.4,0.03675508512560284,190.0,11870069.0,l1,0.03622401459887202,COMPLETE
231,0.9330856080928891,2022-07-02 23:36:28.953546,2022-07-02 23:36:30.421902,0 days 00:00:01.468356,9.6,0.05874095665714177,192.0,13181874.0,l1,0.03633301156275039,COMPLETE
948,0.9330856080928891,2022-07-02 23:57:20.325531,2022-07-02 23:57:22.127055,0 days 00:00:01.801524,9.3,0.0369861909232843,346.0,6492160.0,l1,0.03692607714590469,COMPLETE
196,0.9330856080928891,2022-07-02 23:35:37.138081,2022-07-02 23:35:38.591799,0 days 00:00:01.453718,6.4,0.9907918410995644,204.0,16336829.0,l1,0.037097862604316925,COMPLETE
193,0.9330856080928891,2022-07-02 23:35:32.788092,2022-07-02 23:35:34.244517,0 days 00:00:01.456425,6.4,0.9924208813481764,207.0,16527517.0,l1,0.03659086717182393,COMPLETE
569,0.9330856080928891,2022-07-02 23:45:45.546528,2022-07-02 23:45:47.180044,0 days 00:00:01.633516,9.3,0.09500542795710781,330.0,46051889.0,l1,0.0367648703600022,COMPLETE
937,0.9330856080928891,2022-07-02 23:57:00.832544,2022-07-02 23:57:02.629676,0 days 00:00:01.797132,9.3,0.020248201796006105,106.0,35043601.0,l1,0.03625080808446502,COMPLETE
816,0.9330856080928891,2022-07-02 23:53:14.659540,2022-07-02 23:53:16.688000,0 days 00:00:02.028460,9.4,0.017825019740631012,301.0,20964046.0,l1,0.03592778014440585,COMPLETE
623,0.9330856080928891,2022-07-02 23:47:17.900274,2022-07-02 23:47:19.516172,0 days 00:00:01.615898,9.6,0.029219765501064886,349.0,6392769.0,l1,0.03637971237079515,COMPLETE
749,0.9330856080928891,2022-07-02 23:50:57.513194,2022-07-02 23:50:59.237562,0 days 00:00:01.724368,9.4,0.002767943176577455,298.0,22971445.0,l1,0.03605655276665027,COMPLETE
740,0.9330856080928891,2022-07-02 23:50:42.204238,2022-07-02 23:50:43.927625,0 days 00:00:01.723387,9.3,0.034030659161768256,330.0,6321912.0,l1,0.036981731727188855,COMPLETE
735,0.9330856080928891,2022-07-02 23:50:32.735679,2022-07-02 23:50:34.743913,0 days 00:00:02.008234,9.6,0.14470915439150145,325.0,33138153.0,l1,0.036369586011319434,COMPLETE
724,0.9330856080928891,2022-07-02 23:50:13.599638,2022-07-02 23:50:15.297107,0 days 00:00:01.697469,9.4,0.010315593070646934,140.0,5913214.0,l1,0.03584612816546426,COMPLETE
780,0.9330856080928891,2022-07-02 23:52:00.796896,2022-07-02 23:52:02.515249,0 days 00:00:01.718353,9.4,0.12719355114305128,235.0,6092082.0,l1,0.03703350540766437,COMPLETE
721,0.9330856080928891,2022-07-02 23:50:09.339192,2022-07-02 23:50:11.036799,0 days 00:00:01.697607,9.4,0.10885462877947263,316.0,43904579.0,l1,0.03582211587525584,COMPLETE
686,0.9330856080928891,2022-07-02 23:49:06.159028,2022-07-02 23:49:07.860287,0 days 00:00:01.701259,9.700000000000001,0.0667171507890152,317.0,35227811.0,l1,0.036656272405999196,COMPLETE
786,0.9330856080928891,2022-07-02 23:52:12.328401,2022-07-02 23:52:14.059922,0 days 00:00:01.731521,9.3,0.0017883882509389954,346.0,23877843.0,l1,0.037067368181966195,COMPLETE
684,0.9330856080928891,2022-07-02 23:49:03.428596,2022-07-02 23:49:05.397619,0 days 00:00:01.969023,9.4,0.017220118224005064,346.0,7873504.0,l1,0.03670953193076478,COMPLETE
667,0.9330856080928891,2022-07-02 23:48:33.096201,2022-07-02 23:48:34.772608,0 days 00:00:01.676407,9.6,0.17899874203856586,295.0,42034362.0,l1,0.037118620053910506,COMPLETE
665,0.9330856080928891,2022-07-02 23:48:29.726059,2022-07-02 23:48:31.402417,0 days 00:00:01.676358,9.6,0.06756659014139854,320.0,45874998.0,l1,0.036337869854132024,COMPLETE
662,0.9330856080928891,2022-07-02 23:48:25.362183,2022-07-02 23:48:27.319959,0 days 00:00:01.957776,9.3,0.04126547971597075,291.0,36847479.0,l1,0.03574767089964901,COMPLETE
795,0.9330856080928891,2022-07-02 23:52:27.177261,2022-07-02 23:52:28.937826,0 days 00:00:01.760565,9.700000000000001,0.06756896543118482,357.0,45505516.0,l1,0.03602478946195413,COMPLETE
638,0.9330856080928891,2022-07-02 23:47:43.290129,2022-07-02 23:47:44.938224,0 days 00:00:01.648095,9.3,0.15346942584241546,311.0,33063322.0,l1,0.0365790297034819,COMPLETE
714,0.9330856080928891,2022-07-02 23:49:56.978506,2022-07-02 23:49:58.683611,0 days 00:00:01.705105,9.3,0.1542416412706682,329.0,23042503.0,l1,0.03676999679648952,COMPLETE
803,0.9330856080928891,2022-07-02 23:52:45.902606,2022-07-02 23:52:47.644517,0 days 00:00:01.741911,9.3,0.033593921572119434,334.0,34432961.0,l1,0.03603351399530488,COMPLETE
597,0.9330856080928891,2022-07-02 23:46:33.614594,2022-07-02 23:46:35.258692,0 days 00:00:01.644098,9.700000000000001,0.06063625354638158,351.0,48149110.0,l1,0.03656978665435649,COMPLETE
