iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
452,0.9314803004823607,2022-06-12 18:18:02.199302,2022-06-12 18:18:02.796623,0 days 00:00:00.597321,0.28851004511467293,1872297,random,0.08021338892659703,COMPLETE
783,0.9314801908163814,2022-06-12 18:21:37.948079,2022-06-12 18:21:38.627501,0 days 00:00:00.679422,0.28642585342189547,7826804,random,0.06739126751627993,COMPLETE
931,0.9314790868649032,2022-06-12 18:23:30.204147,2022-06-12 18:23:30.944476,0 days 00:00:00.740329,0.2902373092564833,1608224,random,0.06578359031588935,COMPLETE
511,0.9314790868649032,2022-06-12 18:18:39.297374,2022-06-12 18:18:39.883195,0 days 00:00:00.585821,0.28995374363157017,1575395,random,0.07023874713666428,COMPLETE
966,0.9314769959196116,2022-06-12 18:23:56.738752,2022-06-12 18:23:57.772005,0 days 00:00:01.033253,0.2768885454214748,1687769,random,0.08185583525625964,COMPLETE
21,0.9314757823021541,2022-06-12 18:14:03.051075,2022-06-12 18:14:03.528590,0 days 00:00:00.477515,0.27886964189735786,4907567,random,0.04615257849156263,COMPLETE
99,0.9314757823021541,2022-06-12 18:14:42.474745,2022-06-12 18:14:42.967022,0 days 00:00:00.492277,0.2788784001334538,3731019,random,0.09670278664751625,COMPLETE
935,0.9314711544559683,2022-06-12 18:23:33.259760,2022-06-12 18:23:34.000274,0 days 00:00:00.740514,0.26255601858183203,1854997,random,0.07447314957884299,COMPLETE
122,0.9314710374983036,2022-06-12 18:14:55.823176,2022-06-12 18:14:56.438509,0 days 00:00:00.615333,0.2866016074624953,380407,random,0.07283154308215643,COMPLETE
503,0.9314705177537521,2022-06-12 18:18:34.419338,2022-06-12 18:18:35.044763,0 days 00:00:00.625425,0.20031198682709372,1410348,cyclic,0.09501849245254052,COMPLETE
560,0.9314678426015337,2022-06-12 18:19:11.166644,2022-06-12 18:19:11.779046,0 days 00:00:00.612402,0.27635484632940394,2730721,random,0.05786925140062625,COMPLETE
237,0.9314678426015337,2022-06-12 18:15:55.834230,2022-06-12 18:15:56.375738,0 days 00:00:00.541508,0.276612776788235,494277,random,0.0813323715344041,COMPLETE
31,0.9314651960346604,2022-06-12 18:14:08.685491,2022-06-12 18:14:09.163596,0 days 00:00:00.478105,0.2754029688220507,5001862,random,0.05113055584421558,COMPLETE
187,0.9314638727512237,2022-06-12 18:15:29.349510,2022-06-12 18:15:29.862888,0 days 00:00:00.513378,0.2750275018879597,1295560,random,0.09831642679212414,COMPLETE
334,0.9314638727512237,2022-06-12 18:16:50.935222,2022-06-12 18:16:51.474352,0 days 00:00:00.539130,0.2751753476530758,536394,random,0.07378977990086015,COMPLETE
260,0.9314624398018077,2022-06-12 18:16:08.452482,2022-06-12 18:16:09.006302,0 days 00:00:00.553820,0.273064440938426,1629834,random,0.06780072987550449,COMPLETE
686,0.9314621035121843,2022-06-12 18:20:31.546950,2022-06-12 18:20:32.511662,0 days 00:00:00.964712,0.2908483515023603,2867316,random,0.09282251262448118,COMPLETE
631,0.9314620011378905,2022-06-12 18:19:56.756678,2022-06-12 18:19:57.376664,0 days 00:00:00.619986,0.2625056261917991,5139179,random,0.07472767236186885,COMPLETE
605,0.9314612261843501,2022-06-12 18:19:39.826689,2022-06-12 18:19:40.436114,0 days 00:00:00.609425,0.2743778905257417,1347188,random,0.062187037632407294,COMPLETE
384,0.9314597932349342,2022-06-12 18:17:20.121710,2022-06-12 18:17:20.696777,0 days 00:00:00.575067,0.27225662796108996,936357,random,0.06718093560857234,COMPLETE
79,0.9314571466680608,2022-06-12 18:14:32.429161,2022-06-12 18:14:32.926109,0 days 00:00:00.496948,0.27139795902191,726579,random,0.08042980393038963,COMPLETE
507,0.9314558233846241,2022-06-12 18:18:36.833891,2022-06-12 18:18:37.430332,0 days 00:00:00.596441,0.2712058835993536,1797652,random,0.06616325196133242,COMPLETE
269,0.9314545001011872,2022-06-12 18:16:13.380176,2022-06-12 18:16:13.906285,0 days 00:00:00.526109,0.27081375524670404,4889369,random,0.09763694101105201,COMPLETE
667,0.9314545001011872,2022-06-12 18:20:19.262665,2022-06-12 18:20:19.886696,0 days 00:00:00.624031,0.2710325556825982,2355315,random,0.09753701498140392,COMPLETE
304,0.9314545001011872,2022-06-12 18:16:33.540934,2022-06-12 18:16:34.084847,0 days 00:00:00.543913,0.2708602985203997,2307590,random,0.06440956804194548,COMPLETE
471,0.9314545001011872,2022-06-12 18:18:14.010816,2022-06-12 18:18:14.643897,0 days 00:00:00.633081,0.2708213804832956,1325555,random,0.07429478184016784,COMPLETE
983,0.9314532864837298,2022-06-12 18:24:09.763644,2022-06-12 18:24:10.497773,0 days 00:00:00.734129,0.2729168429197862,1712358,random,0.06422776955433661,COMPLETE
835,0.9314532864837298,2022-06-12 18:22:15.951113,2022-06-12 18:22:16.627906,0 days 00:00:00.676793,0.2728552816473216,1910297,random,0.057100395034338045,COMPLETE
90,0.9314526570731989,2022-06-12 18:14:37.808102,2022-06-12 18:14:38.250505,0 days 00:00:00.442403,0.18634292463381621,4677572,cyclic,0.061012861999669314,COMPLETE
489,0.931451963200293,2022-06-12 18:18:25.176541,2022-06-12 18:18:25.772390,0 days 00:00:00.595849,0.2724650259715176,1725818,random,0.06784342269693065,COMPLETE
787,0.9314493166334197,2022-06-12 18:21:40.617314,2022-06-12 18:21:41.293730,0 days 00:00:00.676416,0.27168913380573156,9333673,random,0.08433109030221807,COMPLETE
583,0.9314493166334197,2022-06-12 18:19:25.848055,2022-06-12 18:19:26.486142,0 days 00:00:00.638087,0.27174935978856396,983523,random,0.07531271271925928,COMPLETE
354,0.9314489876354818,2022-06-12 18:17:02.430942,2022-06-12 18:17:03.008318,0 days 00:00:00.577376,0.26397562876509995,1211785,random,0.06366959735923151,COMPLETE
403,0.9314451201594656,2022-06-12 18:17:31.577500,2022-06-12 18:17:32.348094,0 days 00:00:00.770594,0.2912756852364088,4846578,random,0.060091711872361286,COMPLETE
640,0.9314435037551212,2022-06-12 18:20:02.309796,2022-06-12 18:20:02.916065,0 days 00:00:00.606269,0.1867740608518445,2828150,cyclic,0.09369923076809715,COMPLETE
741,0.9314411576008407,2022-06-12 18:21:09.332669,2022-06-12 18:21:09.984408,0 days 00:00:00.651739,0.26447751033009176,1959728,random,0.07573819388038266,COMPLETE
468,0.931439834317404,2022-06-12 18:18:12.230225,2022-06-12 18:18:12.843237,0 days 00:00:00.613012,0.2641853109333479,1566156,random,0.0935362341501091,COMPLETE
114,0.931439834317404,2022-06-12 18:14:50.796765,2022-06-12 18:14:51.385898,0 days 00:00:00.589133,0.2643241828885376,3637040,random,0.07853892273838006,COMPLETE
228,0.9314372901248245,2022-06-12 18:15:51.000909,2022-06-12 18:15:51.534706,0 days 00:00:00.533797,0.29178219218127827,2076319,random,0.07371861671420726,COMPLETE
378,0.9314372901248245,2022-06-12 18:17:16.469741,2022-06-12 18:17:17.108458,0 days 00:00:00.638717,0.291571753590787,3007052,random,0.07072271251298545,COMPLETE
528,0.9314322236147216,2022-06-12 18:18:50.054830,2022-06-12 18:18:50.722399,0 days 00:00:00.667569,0.2696592522753909,2309245,random,0.0904851821348406,COMPLETE
317,0.9314322236147216,2022-06-12 18:16:40.933435,2022-06-12 18:16:41.503113,0 days 00:00:00.569678,0.2698514939790296,4192824,random,0.06729348619049415,COMPLETE
223,0.9314322236147216,2022-06-12 18:15:48.333870,2022-06-12 18:15:48.876114,0 days 00:00:00.542244,0.2697671901118732,1854818,random,0.0759395246634448,COMPLETE
134,0.9314322236147216,2022-06-12 18:15:02.018621,2022-06-12 18:15:02.530358,0 days 00:00:00.511737,0.26971802784816784,1711765,random,0.06873031633633875,COMPLETE
804,0.9314322236147216,2022-06-12 18:21:52.099249,2022-06-12 18:21:52.772482,0 days 00:00:00.673233,0.2696375158262807,1169878,random,0.07638431433910443,COMPLETE
637,0.9314228509646851,2022-06-12 18:20:00.464890,2022-06-12 18:20:01.083277,0 days 00:00:00.618387,0.2651013607951651,2544350,random,0.07256473620859587,COMPLETE
867,0.9314228509646851,2022-06-12 18:22:41.618743,2022-06-12 18:22:42.330031,0 days 00:00:00.711288,0.2649629515286307,5207218,random,0.07639278877621873,COMPLETE
281,0.9314217397215215,2022-06-12 18:16:20.116542,2022-06-12 18:16:20.662708,0 days 00:00:00.546166,0.2948296721470466,4603254,random,0.0839947790923177,COMPLETE
351,0.9314139096868805,2022-06-12 18:17:00.731200,2022-06-12 18:17:01.292812,0 days 00:00:00.561612,0.2950259477551912,1297945,random,0.0625499189597094,COMPLETE
412,0.9314136976466072,2022-06-12 18:17:37.572464,2022-06-12 18:17:38.144792,0 days 00:00:00.572328,0.26526280603489866,909909,random,0.062301607218139474,COMPLETE
801,0.9314125864034437,2022-06-12 18:21:50.151518,2022-06-12 18:21:50.824080,0 days 00:00:00.672562,0.29456408722884314,3249585,random,0.07322902435274216,COMPLETE
387,0.9314125864034437,2022-06-12 18:17:21.802425,2022-06-12 18:17:22.386050,0 days 00:00:00.583625,0.2945720503316446,5231561,random,0.06949131692146229,COMPLETE
959,0.9314125864034437,2022-06-12 18:23:51.696428,2022-06-12 18:23:52.418263,0 days 00:00:00.721835,0.29451277504180684,623022,random,0.07913572288315768,COMPLETE
971,0.9314125864034437,2022-06-12 18:24:00.655108,2022-06-12 18:24:01.374845,0 days 00:00:00.719737,0.2946745793172323,4657759,random,0.0782080997975581,COMPLETE
810,0.9314058676119663,2022-06-12 18:21:56.264758,2022-06-12 18:21:57.173856,0 days 00:00:00.909098,0.2659010430543447,2534455,random,0.07210881900512507,COMPLETE
432,0.9314058676119663,2022-06-12 18:17:49.827394,2022-06-12 18:17:50.429744,0 days 00:00:00.602350,0.265615134567006,1723379,random,0.06944813879784369,COMPLETE
989,0.9314058676119663,2022-06-12 18:24:14.380696,2022-06-12 18:24:15.145803,0 days 00:00:00.765107,0.26552469208214,1492999,random,0.08225067865074054,COMPLETE
