iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
549,0.980779471098087,2022-06-13 23:06:22.401154,2022-06-13 23:06:23.113389,0 days 00:00:00.712235,1.9976167532491438,8360992.0,random,0.07303554564696209,COMPLETE
538,0.980779471098087,2022-06-13 23:06:14.545085,2022-06-13 23:06:15.232626,0 days 00:00:00.687541,1.9996107086329908,604673.0,random,0.0968712528435158,COMPLETE
532,0.980779471098087,2022-06-13 23:06:09.952361,2022-06-13 23:06:10.670558,0 days 00:00:00.718197,1.9994697786676805,262926.0,random,0.07736543672737975,COMPLETE
530,0.980779471098087,2022-06-13 23:06:08.544755,2022-06-13 23:06:09.242484,0 days 00:00:00.697729,1.9148484944556319,347516.0,random,0.07646142571269307,COMPLETE
527,0.980779471098087,2022-06-13 23:06:06.413999,2022-06-13 23:06:07.116779,0 days 00:00:00.702780,1.998735380977634,8700420.0,random,0.07459723048828261,COMPLETE
526,0.980779471098087,2022-06-13 23:06:05.698861,2022-06-13 23:06:06.413533,0 days 00:00:00.714672,1.9998953422793566,9046224.0,random,0.07827879720690772,COMPLETE
524,0.980779471098087,2022-06-13 23:06:04.223245,2022-06-13 23:06:04.944737,0 days 00:00:00.721492,1.9992601578934222,8840965.0,random,0.08264079532184457,COMPLETE
521,0.980779471098087,2022-06-13 23:06:02.081832,2022-06-13 23:06:02.790614,0 days 00:00:00.708782,1.9180479461091053,9288739.0,random,0.09194547063922204,COMPLETE
516,0.980779471098087,2022-06-13 23:05:58.235242,2022-06-13 23:05:58.941706,0 days 00:00:00.706464,1.9264289397750554,8005657.0,random,0.05433450617146698,COMPLETE
514,0.980779471098087,2022-06-13 23:05:56.820063,2022-06-13 23:05:57.530129,0 days 00:00:00.710066,1.9262464983828227,9165188.0,random,0.09366155503167892,COMPLETE
512,0.980779471098087,2022-06-13 23:05:55.413173,2022-06-13 23:05:56.117686,0 days 00:00:00.704513,1.997724964784506,7306188.0,random,0.0758251873743323,COMPLETE
509,0.980779471098087,2022-06-13 23:05:53.285581,2022-06-13 23:05:53.991806,0 days 00:00:00.706225,1.9953223869356604,8223348.0,random,0.063298270082923,COMPLETE
501,0.980779471098087,2022-06-13 23:05:47.599537,2022-06-13 23:05:48.300045,0 days 00:00:00.700508,1.9513727647494201,9474306.0,random,0.08267291355935835,COMPLETE
500,0.980779471098087,2022-06-13 23:05:46.901772,2022-06-13 23:05:47.599107,0 days 00:00:00.697335,1.9480841321646714,9111929.0,random,0.08729252991248154,COMPLETE
497,0.980779471098087,2022-06-13 23:05:44.781453,2022-06-13 23:05:45.454573,0 days 00:00:00.673120,1.9962540144754248,8977746.0,random,0.09504065552183329,COMPLETE
492,0.980779471098087,2022-06-13 23:05:40.861782,2022-06-13 23:05:41.555867,0 days 00:00:00.694085,1.992468433945916,7737243.0,random,0.07868239061735424,COMPLETE
490,0.980779471098087,2022-06-13 23:05:39.447007,2022-06-13 23:05:40.163220,0 days 00:00:00.716213,1.999351864857516,8830680.0,random,0.08480068839972615,COMPLETE
489,0.980779471098087,2022-06-13 23:05:38.741018,2022-06-13 23:05:39.446587,0 days 00:00:00.705569,1.998786959585245,8929177.0,random,0.08352974119990561,COMPLETE
481,0.980779471098087,2022-06-13 23:05:33.057829,2022-06-13 23:05:33.762786,0 days 00:00:00.704957,1.9474576807539394,7376980.0,random,0.07938954056896484,COMPLETE
477,0.980779471098087,2022-06-13 23:05:30.200517,2022-06-13 23:05:30.890493,0 days 00:00:00.689976,1.998789640494014,9891318.0,random,0.07918546411339876,COMPLETE
475,0.980779471098087,2022-06-13 23:05:28.809524,2022-06-13 23:05:29.501574,0 days 00:00:00.692050,1.927214084009159,8893603.0,random,0.0732942130087431,COMPLETE
474,0.980779471098087,2022-06-13 23:05:28.147726,2022-06-13 23:05:28.809109,0 days 00:00:00.661383,1.9983566436579756,2720559.0,random,0.08314264663587571,COMPLETE
969,0.980779471098087,2022-06-13 23:12:05.162023,2022-06-13 23:12:05.999724,0 days 00:00:00.837701,1.9963915121661187,4957938.0,random,0.07665609239752376,COMPLETE
379,0.980779471098087,2022-06-13 23:04:21.960333,2022-06-13 23:04:22.617189,0 days 00:00:00.656856,1.9285099678062765,7355369.0,random,0.09514769577328355,COMPLETE
970,0.980779471098087,2022-06-13 23:12:06.000486,2022-06-13 23:12:06.859904,0 days 00:00:00.859418,1.9981475019819597,7666646.0,random,0.07219667351638305,COMPLETE
290,0.980779471098087,2022-06-13 23:03:23.273487,2022-06-13 23:03:23.899887,0 days 00:00:00.626400,1.9982348012590494,9896162.0,random,0.06989854579378318,COMPLETE
280,0.980779471098087,2022-06-13 23:03:16.914365,2022-06-13 23:03:17.555073,0 days 00:00:00.640708,1.994504356555873,8463712.0,random,0.095595278943707,COMPLETE
273,0.980779471098087,2022-06-13 23:03:12.549131,2022-06-13 23:03:13.165128,0 days 00:00:00.615997,1.997708663013775,3295445.0,random,0.09840125389088569,COMPLETE
268,0.980779471098087,2022-06-13 23:03:09.430268,2022-06-13 23:03:10.051006,0 days 00:00:00.620738,1.923295568015918,8239328.0,random,0.09495568652103453,COMPLETE
266,0.980779471098087,2022-06-13 23:03:08.193045,2022-06-13 23:03:08.810028,0 days 00:00:00.616983,1.9975486003735212,7858263.0,random,0.07266580002559064,COMPLETE
265,0.980779471098087,2022-06-13 23:03:07.570092,2022-06-13 23:03:08.192800,0 days 00:00:00.622708,1.9996802868481478,7885621.0,random,0.07370950359300404,COMPLETE
257,0.980779471098087,2022-06-13 23:03:02.330143,2022-06-13 23:03:02.945491,0 days 00:00:00.615348,1.9977687172812535,7899854.0,random,0.07530557867584718,COMPLETE
255,0.980779471098087,2022-06-13 23:03:01.103289,2022-06-13 23:03:01.711778,0 days 00:00:00.608489,1.9174605342839812,8455059.0,random,0.07025678720651153,COMPLETE
251,0.980779471098087,2022-06-13 23:02:58.654585,2022-06-13 23:02:59.269958,0 days 00:00:00.615373,1.9992775258428566,8581322.0,random,0.092283306688388,COMPLETE
247,0.980779471098087,2022-06-13 23:02:56.165849,2022-06-13 23:02:56.800939,0 days 00:00:00.635090,1.9994111023478385,6204580.0,random,0.07364972094498429,COMPLETE
243,0.980779471098087,2022-06-13 23:02:53.698869,2022-06-13 23:02:54.328649,0 days 00:00:00.629780,1.9980195373411276,9137129.0,random,0.07879100749512367,COMPLETE
242,0.980779471098087,2022-06-13 23:02:53.088323,2022-06-13 23:02:53.698625,0 days 00:00:00.610302,1.921222911549695,9274853.0,random,0.08845062362902492,COMPLETE
241,0.980779471098087,2022-06-13 23:02:52.475307,2022-06-13 23:02:53.088049,0 days 00:00:00.612742,1.9239259370056936,7476489.0,random,0.06373132159194536,COMPLETE
240,0.980779471098087,2022-06-13 23:02:51.855938,2022-06-13 23:02:52.475063,0 days 00:00:00.619125,1.920674456471264,7560456.0,random,0.0645135597003104,COMPLETE
239,0.980779471098087,2022-06-13 23:02:51.250907,2022-06-13 23:02:51.855669,0 days 00:00:00.604762,1.9981164727125105,8944813.0,random,0.08397561437809943,COMPLETE
237,0.980779471098087,2022-06-13 23:02:49.972621,2022-06-13 23:02:50.581962,0 days 00:00:00.609341,1.9983132334845386,8423302.0,random,0.09726404236575788,COMPLETE
231,0.980779471098087,2022-06-13 23:02:46.336162,2022-06-13 23:02:46.937907,0 days 00:00:00.601745,1.9992743590416486,9576535.0,random,0.09426600416056417,COMPLETE
