iteration,recall,datetime_start,datetime_complete,duration,alpha,solver,state
354,0.8325675057208238,2022-06-12 15:57:07.187477,2022-06-12 15:57:07.728787,0 days 00:00:00.541310,7.950083754650631,eig,COMPLETE
842,0.8325675057208238,2022-06-12 16:04:41.238401,2022-06-12 16:04:41.856876,0 days 00:00:00.618475,3.763491167019957,eig,COMPLETE
649,0.8325675057208238,2022-06-12 16:01:35.625295,2022-06-12 16:01:36.218374,0 days 00:00:00.593079,6.508705664301354,eig,COMPLETE
374,0.8325675057208238,2022-06-12 15:57:25.479629,2022-06-12 15:57:26.046470,0 days 00:00:00.566841,8.10011663139075,eig,COMPLETE
687,0.8325675057208238,2022-06-12 16:02:11.541251,2022-06-12 16:02:12.153674,0 days 00:00:00.612423,2.1831400265307406,eig,COMPLETE
47,0.8325675057208238,2022-06-12 15:52:46.582925,2022-06-12 15:52:47.073888,0 days 00:00:00.490963,2.4697038711238037,eig,COMPLETE
745,0.8325675057208238,2022-06-12 16:03:06.695410,2022-06-12 16:03:07.311614,0 days 00:00:00.616204,8.475581569787277,eig,COMPLETE
9,0.8325675057208238,2022-06-12 15:52:17.194417,2022-06-12 15:52:17.624606,0 days 00:00:00.430189,2.4715355733042355,eig,COMPLETE
531,0.8325675057208238,2022-06-12 15:59:46.729050,2022-06-12 15:59:47.295832,0 days 00:00:00.566782,4.720697097508025,eig,COMPLETE
3,0.8325675057208238,2022-06-12 15:52:12.719182,2022-06-12 15:52:13.137832,0 days 00:00:00.418650,2.506993375428511,eig,COMPLETE
2,0.8325675057208238,2022-06-12 15:52:12.242042,2022-06-12 15:52:12.719076,0 days 00:00:00.477034,0.19694527919236204,eig,COMPLETE
5,0.8325675057208238,2022-06-12 15:52:13.987970,2022-06-12 15:52:14.429744,0 days 00:00:00.441774,6.127435922714359,eig,COMPLETE
996,0.8325675057208238,2022-06-12 16:07:14.563589,2022-06-12 16:07:15.216208,0 days 00:00:00.652619,0.6983161544456292,eig,COMPLETE
1,0.8325675057208238,2022-06-12 15:52:11.778810,2022-06-12 15:52:12.241934,0 days 00:00:00.463124,6.818863685027504,eig,COMPLETE
36,0.8325675057208238,2022-06-12 15:52:38.114965,2022-06-12 15:52:38.589381,0 days 00:00:00.474416,6.919936781353811,eig,COMPLETE
511,0.8325675057208238,2022-06-12 15:59:28.650248,2022-06-12 15:59:29.219371,0 days 00:00:00.569123,0.29157796839307604,eig,COMPLETE
976,0.8325675057208238,2022-06-12 16:06:54.115844,2022-06-12 16:06:54.768671,0 days 00:00:00.652827,0.5547898193643359,eig,COMPLETE
38,0.8325675057208238,2022-06-12 15:52:39.482715,2022-06-12 15:52:39.954776,0 days 00:00:00.472061,3.7382920514351605,eig,COMPLETE
34,0.8325675057208238,2022-06-12 15:52:36.810468,2022-06-12 15:52:37.283713,0 days 00:00:00.473245,5.316746165945565,eig,COMPLETE
492,0.8325675057208238,2022-06-12 15:59:11.349594,2022-06-12 15:59:11.911371,0 days 00:00:00.561777,8.821582413220147,eig,COMPLETE
29,0.8325675057208238,2022-06-12 15:52:33.111038,2022-06-12 15:52:33.563191,0 days 00:00:00.452153,7.299751876489989,eig,COMPLETE
673,0.8570251716247139,2022-06-12 16:01:57.949486,2022-06-12 16:01:58.912787,0 days 00:00:00.963301,1.8866483876837048,svd,COMPLETE
522,0.8570251716247139,2022-06-12 15:59:38.425174,2022-06-12 15:59:39.347072,0 days 00:00:00.921898,5.6601199018467065,svd,COMPLETE
674,0.8570251716247139,2022-06-12 16:01:58.913340,2022-06-12 16:01:59.856993,0 days 00:00:00.943653,1.1331651705157741,svd,COMPLETE
675,0.8570251716247139,2022-06-12 16:01:59.857534,2022-06-12 16:02:00.807801,0 days 00:00:00.950267,1.5729139570009085,svd,COMPLETE
676,0.8570251716247139,2022-06-12 16:02:00.808398,2022-06-12 16:02:02.039932,0 days 00:00:01.231534,1.9798274981450568,svd,COMPLETE
677,0.8570251716247139,2022-06-12 16:02:02.040486,2022-06-12 16:02:02.969848,0 days 00:00:00.929362,1.2815745127378206,svd,COMPLETE
678,0.8570251716247139,2022-06-12 16:02:02.970411,2022-06-12 16:02:03.922542,0 days 00:00:00.952131,2.0606699287229926,svd,COMPLETE
679,0.8570251716247139,2022-06-12 16:02:03.923102,2022-06-12 16:02:04.870276,0 days 00:00:00.947174,0.4488039659510972,svd,COMPLETE
683,0.8570251716247139,2022-06-12 16:02:07.724568,2022-06-12 16:02:08.676882,0 days 00:00:00.952314,1.863905975354832,svd,COMPLETE
688,0.8570251716247139,2022-06-12 16:02:12.154272,2022-06-12 16:02:13.115161,0 days 00:00:00.960889,0.2622838620781732,svd,COMPLETE
520,0.8570251716247139,2022-06-12 15:59:36.577537,2022-06-12 15:59:37.502611,0 days 00:00:00.925074,5.519705540430564,svd,COMPLETE
521,0.8570251716247139,2022-06-12 15:59:37.503085,2022-06-12 15:59:38.424649,0 days 00:00:00.921564,8.306608232703145,svd,COMPLETE
686,0.8570251716247139,2022-06-12 16:02:10.585920,2022-06-12 16:02:11.540699,0 days 00:00:00.954779,9.680924936882779,svd,COMPLETE
680,0.8570251716247139,2022-06-12 16:02:04.870833,2022-06-12 16:02:05.824572,0 days 00:00:00.953739,2.428874038681119,svd,COMPLETE
685,0.8570251716247139,2022-06-12 16:02:09.631948,2022-06-12 16:02:10.585350,0 days 00:00:00.953402,9.684197411326231,svd,COMPLETE
681,0.8570251716247139,2022-06-12 16:02:05.825128,2022-06-12 16:02:06.769891,0 days 00:00:00.944763,2.2098663057355084,svd,COMPLETE
682,0.8570251716247139,2022-06-12 16:02:06.770449,2022-06-12 16:02:07.723974,0 days 00:00:00.953525,2.3926196887419913,svd,COMPLETE
684,0.8570251716247139,2022-06-12 16:02:08.677489,2022-06-12 16:02:09.631400,0 days 00:00:00.953911,2.010777927871955,svd,COMPLETE
689,0.8570251716247139,2022-06-12 16:02:13.115710,2022-06-12 16:02:14.071835,0 days 00:00:00.956125,9.887386084637047,svd,COMPLETE
548,0.8570251716247139,2022-06-12 16:00:02.294433,2022-06-12 16:00:03.222870,0 days 00:00:00.928437,4.140850799743334,svd,COMPLETE
671,0.8570251716247139,2022-06-12 16:01:56.061116,2022-06-12 16:01:57.007708,0 days 00:00:00.946592,2.2171213337399407,svd,COMPLETE
527,0.8570251716247139,2022-06-12 15:59:43.021183,2022-06-12 15:59:43.943064,0 days 00:00:00.921881,5.3001411051843,svd,COMPLETE
650,0.8570251716247139,2022-06-12 16:01:36.218913,2022-06-12 16:01:37.168899,0 days 00:00:00.949986,6.47142872106619,svd,COMPLETE
651,0.8570251716247139,2022-06-12 16:01:37.169471,2022-06-12 16:01:38.398083,0 days 00:00:01.228612,7.401567357410294,svd,COMPLETE
652,0.8570251716247139,2022-06-12 16:01:38.398614,2022-06-12 16:01:39.320045,0 days 00:00:00.921431,7.2531181834902885,svd,COMPLETE
653,0.8570251716247139,2022-06-12 16:01:39.320593,2022-06-12 16:01:40.261103,0 days 00:00:00.940510,0.4224507131986639,svd,COMPLETE
654,0.8570251716247139,2022-06-12 16:01:40.261671,2022-06-12 16:01:41.208610,0 days 00:00:00.946939,0.41503119002194344,svd,COMPLETE
655,0.8570251716247139,2022-06-12 16:01:41.209141,2022-06-12 16:01:42.155513,0 days 00:00:00.946372,0.537136095721026,svd,COMPLETE
656,0.8570251716247139,2022-06-12 16:01:42.156064,2022-06-12 16:01:43.101379,0 days 00:00:00.945315,0.7183673296479447,svd,COMPLETE
526,0.8570251716247139,2022-06-12 15:59:42.101263,2022-06-12 15:59:43.020694,0 days 00:00:00.919431,5.2686627836640225,svd,COMPLETE
657,0.8570251716247139,2022-06-12 16:01:43.101913,2022-06-12 16:01:44.043463,0 days 00:00:00.941550,0.6162835188218422,svd,COMPLETE
658,0.8570251716247139,2022-06-12 16:01:44.044008,2022-06-12 16:01:44.992166,0 days 00:00:00.948158,0.652202251716496,svd,COMPLETE
659,0.8570251716247139,2022-06-12 16:01:44.992710,2022-06-12 16:01:45.937160,0 days 00:00:00.944450,0.9681980504230283,svd,COMPLETE
660,0.8570251716247139,2022-06-12 16:01:45.937699,2022-06-12 16:01:46.882854,0 days 00:00:00.945155,0.9248072831969953,svd,COMPLETE
661,0.8570251716247139,2022-06-12 16:01:46.883407,2022-06-12 16:01:47.846970,0 days 00:00:00.963563,1.0357696161656216,svd,COMPLETE
662,0.8570251716247139,2022-06-12 16:01:47.847544,2022-06-12 16:01:48.804369,0 days 00:00:00.956825,0.6206494509927045,svd,COMPLETE
663,0.8570251716247139,2022-06-12 16:01:48.804929,2022-06-12 16:01:49.751876,0 days 00:00:00.946947,0.8166060310325665,svd,COMPLETE
664,0.8570251716247139,2022-06-12 16:01:49.752435,2022-06-12 16:01:50.716633,0 days 00:00:00.964198,0.5576830568860027,svd,COMPLETE
665,0.8570251716247139,2022-06-12 16:01:50.717168,2022-06-12 16:01:51.667602,0 days 00:00:00.950434,1.5304863543413232,svd,COMPLETE
666,0.8570251716247139,2022-06-12 16:01:51.668229,2022-06-12 16:01:52.613804,0 days 00:00:00.945575,1.7157485289605798,svd,COMPLETE
667,0.8570251716247139,2022-06-12 16:01:52.614409,2022-06-12 16:01:53.563539,0 days 00:00:00.949130,1.8359776163524302,svd,COMPLETE
525,0.8570251716247139,2022-06-12 15:59:41.186328,2022-06-12 15:59:42.100762,0 days 00:00:00.914434,3.2851104536684663,svd,COMPLETE
524,0.8570251716247139,2022-06-12 15:59:40.270165,2022-06-12 15:59:41.185853,0 days 00:00:00.915688,2.755255943333834,svd,COMPLETE
