iteration,precision,datetime_start,datetime_complete,duration,alpha,solver,state
0,0.7370258996992919,2022-06-13 22:44:31.234479,2022-06-13 22:44:31.694184,0 days 00:00:00.459705,1.9302889023442527,eig,COMPLETE
374,0.7370258996992919,2022-06-13 22:49:55.130512,2022-06-13 22:49:55.723486,0 days 00:00:00.592974,5.696077065391037,eig,COMPLETE
917,0.7370258996992919,2022-06-13 22:58:52.601548,2022-06-13 22:58:53.315081,0 days 00:00:00.713533,6.2410687302699355,eig,COMPLETE
765,0.7370258996992919,2022-06-13 22:56:13.926694,2022-06-13 22:56:14.593717,0 days 00:00:00.667023,4.802738459444224,eig,COMPLETE
129,0.7370258996992919,2022-06-13 22:46:16.618144,2022-06-13 22:46:17.134586,0 days 00:00:00.516442,4.259229308949026,eig,COMPLETE
255,0.7370258996992919,2022-06-13 22:48:07.444518,2022-06-13 22:48:07.995385,0 days 00:00:00.550867,5.54403199648667,eig,COMPLETE
610,0.7370258996992919,2022-06-13 22:53:38.953806,2022-06-13 22:53:39.578304,0 days 00:00:00.624498,6.880641971696758,eig,COMPLETE
315,0.7370258996992919,2022-06-13 22:49:01.197668,2022-06-13 22:49:01.754827,0 days 00:00:00.557159,4.4104499057326,eig,COMPLETE
511,0.7370258996992919,2022-06-13 22:52:03.151531,2022-06-13 22:52:03.753797,0 days 00:00:00.602266,1.9644270211659052,eig,COMPLETE
491,0.7370258996992919,2022-06-13 22:51:44.112492,2022-06-13 22:51:44.708162,0 days 00:00:00.595670,4.963769124906063,eig,COMPLETE
110,0.7370258996992919,2022-06-13 22:46:00.406058,2022-06-13 22:46:00.917340,0 days 00:00:00.511282,5.334469788041015,eig,COMPLETE
726,0.7370258996992919,2022-06-13 22:55:34.202283,2022-06-13 22:55:35.125352,0 days 00:00:00.923069,4.594202394261096,eig,COMPLETE
89,0.7370258996992919,2022-06-13 22:45:42.461838,2022-06-13 22:45:43.002061,0 days 00:00:00.540223,3.727044496102747,eig,COMPLETE
956,0.7370258996992919,2022-06-13 22:59:34.353275,2022-06-13 22:59:35.067564,0 days 00:00:00.714289,5.776926409543251,eig,COMPLETE
77,0.7370258996992919,2022-06-13 22:45:32.503519,2022-06-13 22:45:32.972985,0 days 00:00:00.469466,3.365122785537335,eig,COMPLETE
590,0.7370258996992919,2022-06-13 22:53:19.337330,2022-06-13 22:53:19.956796,0 days 00:00:00.619466,6.360592022634684,eig,COMPLETE
532,0.7370258996992919,2022-06-13 22:52:23.348428,2022-06-13 22:52:23.961759,0 days 00:00:00.613331,3.923739144956378,eig,COMPLETE
67,0.7370258996992919,2022-06-13 22:45:24.239665,2022-06-13 22:45:24.744324,0 days 00:00:00.504659,5.2061120852924665,eig,COMPLETE
334,0.7370258996992919,2022-06-13 22:49:18.439147,2022-06-13 22:49:18.998237,0 days 00:00:00.559090,5.195142171519046,eig,COMPLETE
935,0.7370258996992919,2022-06-13 22:59:11.678472,2022-06-13 22:59:12.618037,0 days 00:00:00.939565,4.638328647173174,eig,COMPLETE
975,0.7370258996992919,2022-06-13 22:59:55.147867,2022-06-13 22:59:55.876409,0 days 00:00:00.728542,5.239231814308304,eig,COMPLETE
900,0.7370258996992919,2022-06-13 22:58:34.497823,2022-06-13 22:58:35.179949,0 days 00:00:00.682126,4.368286920244633,eig,COMPLETE
628,0.7370258996992919,2022-06-13 22:53:56.511396,2022-06-13 22:53:57.135155,0 days 00:00:00.623759,5.523423489338799,eig,COMPLETE
413,0.7370258996992919,2022-06-13 22:50:30.927049,2022-06-13 22:50:31.512585,0 days 00:00:00.585536,6.248188252388755,eig,COMPLETE
821,0.7370258996992919,2022-06-13 22:57:11.372260,2022-06-13 22:57:12.053517,0 days 00:00:00.681257,5.478702607068052,eig,COMPLETE
802,0.7370258996992919,2022-06-13 22:56:51.800200,2022-06-13 22:56:52.479201,0 days 00:00:00.679001,4.307649460015666,eig,COMPLETE
433,0.7370258996992919,2022-06-13 22:50:49.792858,2022-06-13 22:50:50.392041,0 days 00:00:00.599183,4.146365639381648,eig,COMPLETE
667,0.7370258996992919,2022-06-13 22:54:34.884957,2022-06-13 22:54:35.758120,0 days 00:00:00.873163,5.701303668986678,eig,COMPLETE
841,0.7370258996992919,2022-06-13 22:57:32.381425,2022-06-13 22:57:33.061240,0 days 00:00:00.679815,5.892184659543168,eig,COMPLETE
220,0.7370258996992919,2022-06-13 22:47:36.310499,2022-06-13 22:47:36.848849,0 days 00:00:00.538350,5.169664790352888,eig,COMPLETE
275,0.7370258996992919,2022-06-13 22:48:25.207601,2022-06-13 22:48:25.747352,0 days 00:00:00.539751,1.4800910732433787,eig,COMPLETE
158,0.7370258996992919,2022-06-13 22:46:41.688081,2022-06-13 22:46:42.215120,0 days 00:00:00.527039,4.551032684550865,eig,COMPLETE
393,0.7370258996992919,2022-06-13 22:50:12.504122,2022-06-13 22:50:13.099358,0 days 00:00:00.595236,5.265472291102468,eig,COMPLETE
860,0.7370258996992919,2022-06-13 22:57:52.195217,2022-06-13 22:57:52.884881,0 days 00:00:00.689664,5.5547473791188215,eig,COMPLETE
705,0.7370258996992919,2022-06-13 22:55:13.046015,2022-06-13 22:55:13.687360,0 days 00:00:00.641345,6.5083047432623635,eig,COMPLETE
648,0.7370258996992919,2022-06-13 22:54:16.202798,2022-06-13 22:54:16.823852,0 days 00:00:00.621054,6.288046895701744,eig,COMPLETE
188,0.7370258996992919,2022-06-13 22:47:07.902206,2022-06-13 22:47:08.685231,0 days 00:00:00.783025,5.716484511678636,eig,COMPLETE
783,0.7370258996992919,2022-06-13 22:56:32.282161,2022-06-13 22:56:32.948807,0 days 00:00:00.666646,4.445959143131901,eig,COMPLETE
295,0.7370258996992919,2022-06-13 22:48:43.020892,2022-06-13 22:48:43.570937,0 days 00:00:00.550045,4.244828592990524,eig,COMPLETE
879,0.7370258996992919,2022-06-13 22:58:12.185757,2022-06-13 22:58:12.873186,0 days 00:00:00.687429,5.678728380429779,eig,COMPLETE
473,0.7370258996992919,2022-06-13 22:51:27.315028,2022-06-13 22:51:27.900826,0 days 00:00:00.585798,4.513770964804098,eig,COMPLETE
451,0.7370258996992919,2022-06-13 22:51:06.489014,2022-06-13 22:51:07.079964,0 days 00:00:00.590950,6.018445507960532,eig,COMPLETE
47,0.7370258996992919,2022-06-13 22:45:07.531113,2022-06-13 22:45:07.990125,0 days 00:00:00.459012,6.9762471182953,eig,COMPLETE
686,0.7370258996992919,2022-06-13 22:54:53.888719,2022-06-13 22:54:54.533618,0 days 00:00:00.644899,4.833442824525983,eig,COMPLETE
994,0.7370258996992919,2022-06-13 23:00:15.792192,2022-06-13 23:00:16.529849,0 days 00:00:00.737657,6.554796976236099,eig,COMPLETE
