iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
651,0.9019147150184057,2022-07-03 01:18:39.387855,2022-07-03 01:18:43.634919,0 days 00:00:04.247064,7.5,0.20937261660200482,482,9693468,l1,6.773665799529339e-05,COMPLETE
617,0.9014343575833794,2022-07-03 01:17:10.771806,2022-07-03 01:17:16.885455,0 days 00:00:06.113649,7.2,0.3907111515763658,485,6769690,l1,0.005745700364117338,COMPLETE
779,0.9012269092066952,2022-07-03 01:24:08.587589,2022-07-03 01:24:16.265890,0 days 00:00:07.678301,9.1,0.40611753303622034,328,12181303,l1,3.6731205566094445e-05,COMPLETE
948,0.9010208634498915,2022-07-03 01:31:37.363289,2022-07-03 01:31:41.358065,0 days 00:00:03.994776,4.8,0.3741695435043705,469,6668799,l1,6.523933282844463e-05,COMPLETE
108,0.9009998236187331,2022-07-03 00:58:02.047190,2022-07-03 00:58:06.164670,0 days 00:00:04.117480,2.4000000000000004,0.14752829085543,142,9839604,l1,0.005807574664833302,COMPLETE
220,0.9005337049799595,2022-07-03 01:01:17.654072,2022-07-03 01:01:21.084330,0 days 00:00:03.430258,2.8000000000000003,0.8054632386740634,55,32829337,l1,0.0037091099471410678,COMPLETE
430,0.9003013110934829,2022-07-03 01:08:34.861486,2022-07-03 01:08:37.754470,0 days 00:00:02.892984,8.9,0.4001109849500497,372,39764464,l1,0.00257415856244155,COMPLETE
882,0.8994437277624792,2022-07-03 01:28:37.298367,2022-07-03 01:28:45.045371,0 days 00:00:07.747004,9.700000000000001,0.28007569823868916,471,6596376,l1,8.756856417512122e-05,COMPLETE
224,0.8987668520902694,2022-07-03 01:01:27.330546,2022-07-03 01:01:32.657143,0 days 00:00:05.326597,3.0000000000000004,0.5140127004363079,64,28079730,l1,0.007376525498611865,COMPLETE
408,0.8970077379559163,2022-07-03 01:07:36.643893,2022-07-03 01:07:39.555285,0 days 00:00:02.911392,8.6,0.4504214613409964,64,42365546,l1,0.0109464182783338,COMPLETE
816,0.896915327447304,2022-07-03 01:25:53.135589,2022-07-03 01:25:56.130719,0 days 00:00:02.995130,9.1,0.10488377492149861,352,8254238,l1,0.0019103769375483312,COMPLETE
606,0.896776661514683,2022-07-03 01:16:43.827604,2022-07-03 01:16:49.012007,0 days 00:00:05.184403,4.7,0.379258116462856,487,6219582,l1,0.0077569443060192264,COMPLETE
993,0.8946108942285559,2022-07-03 01:33:27.295501,2022-07-03 01:33:29.908089,0 days 00:00:02.612588,9.0,0.357928289275471,409,8114074,l1,0.010234899846297451,COMPLETE
378,0.8940551306405972,2022-07-03 01:06:28.648722,2022-07-03 01:06:32.292395,0 days 00:00:03.643673,9.1,0.4188658760061023,66,7115328,l1,0.005871401757704566,COMPLETE
439,0.893865857359033,2022-07-03 01:08:57.793312,2022-07-03 01:09:03.443957,0 days 00:00:05.650645,9.0,0.3987004146210422,413,39800951,l1,0.0023413183128070444,COMPLETE
431,0.8938385070707788,2022-07-03 01:08:37.754846,2022-07-03 01:08:43.772707,0 days 00:00:06.017861,9.0,0.3973915633591485,378,39626863,l1,0.002003872457357182,COMPLETE
508,0.893832029486316,2022-07-03 01:11:35.434854,2022-07-03 01:11:40.578031,0 days 00:00:05.143177,9.1,0.3303060132599355,380,9211814,l1,0.002175850375843972,COMPLETE
