iteration,recall,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
562,0.888091533180778,2022-06-12 18:33:26.959797,2022-06-12 18:33:27.599072,0 days 00:00:00.639275,0.3316620455826491,9216596,cyclic,0.09637806981848981,COMPLETE
92,0.8880732265446224,2022-06-12 18:28:35.830261,2022-06-12 18:28:36.329373,0 days 00:00:00.499112,0.33249801341807006,7385574,cyclic,0.09975979111996723,COMPLETE
191,0.8880732265446224,2022-06-12 18:29:32.680068,2022-06-12 18:29:33.216305,0 days 00:00:00.536237,0.33223008689696804,9007514,cyclic,0.09614612221675393,COMPLETE
73,0.8880732265446224,2022-06-12 18:28:25.278909,2022-06-12 18:28:25.770308,0 days 00:00:00.491399,0.3327053747330538,7900028,cyclic,0.08265980956129854,COMPLETE
224,0.8880732265446224,2022-06-12 18:29:51.083105,2022-06-12 18:29:51.629737,0 days 00:00:00.546632,0.3324290510331016,4672265,cyclic,0.0949488561467815,COMPLETE
216,0.8880732265446224,2022-06-12 18:29:46.521811,2022-06-12 18:29:47.068011,0 days 00:00:00.546200,0.3320394535351314,4278107,cyclic,0.09394579211091349,COMPLETE
470,0.8880549199084669,2022-06-12 18:32:22.996585,2022-06-12 18:32:23.597264,0 days 00:00:00.600679,0.3378160151933078,8390044,cyclic,0.08658603043740341,COMPLETE
352,0.8880549199084669,2022-06-12 18:31:06.940652,2022-06-12 18:31:07.513904,0 days 00:00:00.573252,0.33797571285973843,9398289,cyclic,0.08214755965558657,COMPLETE
791,0.8880549199084669,2022-06-12 18:36:21.266877,2022-06-12 18:36:21.979621,0 days 00:00:00.712744,0.3371627991347548,9618480,cyclic,0.09817983861698877,COMPLETE
321,0.8880549199084669,2022-06-12 18:30:47.781879,2022-06-12 18:30:48.340413,0 days 00:00:00.558534,0.33735032095009587,2686041,cyclic,0.09315197124569469,COMPLETE
517,0.8880549199084669,2022-06-12 18:32:54.035239,2022-06-12 18:32:54.694807,0 days 00:00:00.659568,0.3333259020855475,8715621,cyclic,0.09570095104846785,COMPLETE
430,0.8880549199084669,2022-06-12 18:31:56.095802,2022-06-12 18:31:56.694965,0 days 00:00:00.599163,0.33757281040298664,9059230,cyclic,0.08436427354176258,COMPLETE
724,0.8880549199084669,2022-06-12 18:35:26.206037,2022-06-12 18:35:26.897604,0 days 00:00:00.691567,0.3375013884943225,8635528,cyclic,0.08960411001528072,COMPLETE
922,0.8880549199084669,2022-06-12 18:38:09.719477,2022-06-12 18:38:10.484438,0 days 00:00:00.764961,0.3377046811275964,9121412,cyclic,0.09624411416925148,COMPLETE
213,0.8880549199084669,2022-06-12 18:29:44.813717,2022-06-12 18:29:45.376560,0 days 00:00:00.562843,0.3378656188144549,9109690,cyclic,0.09407866331851877,COMPLETE
646,0.8880549199084669,2022-06-12 18:34:26.682231,2022-06-12 18:34:27.376583,0 days 00:00:00.694352,0.33770808144119646,3177452,cyclic,0.09994410370944386,COMPLETE
229,0.8880549199084669,2022-06-12 18:29:54.092271,2022-06-12 18:29:54.633649,0 days 00:00:00.541378,0.33388987291686656,5261759,cyclic,0.09749946438337682,COMPLETE
676,0.8880366132723112,2022-06-12 18:34:49.458160,2022-06-12 18:34:50.139623,0 days 00:00:00.681463,0.3370756732580022,9494553,cyclic,0.09662593759455874,COMPLETE
967,0.8880366132723112,2022-06-12 18:38:48.753151,2022-06-12 18:38:49.559642,0 days 00:00:00.806491,0.3363775685335964,3186534,cyclic,0.09465548612236706,COMPLETE
304,0.8880366132723112,2022-06-12 18:30:38.030766,2022-06-12 18:30:38.590924,0 days 00:00:00.560158,0.3341842876464247,9040337,cyclic,0.09068942223157735,COMPLETE
293,0.8880366132723112,2022-06-12 18:30:31.689020,2022-06-12 18:30:32.242014,0 days 00:00:00.552994,0.3368002179766981,9303120,cyclic,0.08550462419465366,COMPLETE
828,0.8880366132723112,2022-06-12 18:36:51.171706,2022-06-12 18:36:51.921413,0 days 00:00:00.749707,0.3343041035501138,1940877,cyclic,0.09205559394456489,COMPLETE
