iteration,recall,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
983,0.8735926773455378,2022-06-13 23:40:37.448196,2022-06-13 23:40:38.331020,0 days 00:00:00.882824,0.22757158402015423,650287,cyclic,0.0812086520319249,COMPLETE
762,0.8735926773455378,2022-06-13 23:37:20.068047,2022-06-13 23:37:20.876441,0 days 00:00:00.808394,0.22064629164593333,1429171,cyclic,0.08665440670647875,COMPLETE
784,0.8735926773455378,2022-06-13 23:37:38.924298,2022-06-13 23:37:39.744650,0 days 00:00:00.820352,0.22488510508634849,1097906,cyclic,0.08678166123213796,COMPLETE
698,0.8735743707093822,2022-06-13 23:36:26.752873,2022-06-13 23:36:27.525282,0 days 00:00:00.772409,0.22502961709846458,1805469,cyclic,0.08797731068141464,COMPLETE
909,0.8735743707093822,2022-06-13 23:39:28.770016,2022-06-13 23:39:29.618996,0 days 00:00:00.848980,0.22867921549434572,1728037,cyclic,0.09170768189774221,COMPLETE
988,0.8735743707093822,2022-06-13 23:40:41.964066,2022-06-13 23:40:42.852306,0 days 00:00:00.888240,0.22859440950989607,1895179,cyclic,0.08913517119550943,COMPLETE
804,0.8735743707093822,2022-06-13 23:37:56.314813,2022-06-13 23:37:57.125729,0 days 00:00:00.810916,0.22510322588160817,1230047,cyclic,0.08898867415199958,COMPLETE
663,0.8735743707093822,2022-06-13 23:35:58.299441,2022-06-13 23:35:59.066698,0 days 00:00:00.767257,0.22558166767709462,2443246,cyclic,0.08606300812574204,COMPLETE
723,0.8735560640732265,2022-06-13 23:36:47.168528,2022-06-13 23:36:47.950406,0 days 00:00:00.781878,0.22522690310014915,1246265,cyclic,0.08865307588874614,COMPLETE
661,0.8735560640732265,2022-06-13 23:35:56.787222,2022-06-13 23:35:57.540523,0 days 00:00:00.753301,0.22517362325903684,2503404,cyclic,0.08701788787138026,COMPLETE
774,0.8735560640732265,2022-06-13 23:37:30.242710,2022-06-13 23:37:31.055389,0 days 00:00:00.812679,0.22584647895878282,831440,cyclic,0.08710464295363586,COMPLETE
722,0.8735560640732265,2022-06-13 23:36:46.377991,2022-06-13 23:36:47.167833,0 days 00:00:00.789842,0.22520204202298424,1298117,cyclic,0.08870536663254318,COMPLETE
712,0.8735560640732265,2022-06-13 23:36:37.988685,2022-06-13 23:36:38.774217,0 days 00:00:00.785532,0.22851246840945633,1661802,cyclic,0.0887136754110734,COMPLETE
733,0.8735560640732265,2022-06-13 23:36:55.525785,2022-06-13 23:36:56.328475,0 days 00:00:00.802690,0.22669484955415017,1325473,cyclic,0.08561355116654847,COMPLETE
724,0.8735560640732265,2022-06-13 23:36:47.950968,2022-06-13 23:36:48.727824,0 days 00:00:00.776856,0.22636383976210123,1261404,cyclic,0.0885634434283165,COMPLETE
845,0.8735194508009153,2022-06-13 23:38:31.709260,2022-06-13 23:38:32.549109,0 days 00:00:00.839849,0.2297064415187023,457420,cyclic,0.0903013701697711,COMPLETE
725,0.8735194508009153,2022-06-13 23:36:48.728362,2022-06-13 23:36:49.507991,0 days 00:00:00.779629,0.2295136311715091,1191399,cyclic,0.08873766003448533,COMPLETE
998,0.8734828375286041,2022-06-13 23:40:51.467516,2022-06-13 23:40:52.359360,0 days 00:00:00.891844,0.2301678893692596,158753,cyclic,0.09034681420586595,COMPLETE
662,0.8734645308924485,2022-06-13 23:35:57.541150,2022-06-13 23:35:58.298874,0 days 00:00:00.757724,0.2309504902486068,2440512,cyclic,0.08692167209443163,COMPLETE
778,0.8734645308924485,2022-06-13 23:37:33.671365,2022-06-13 23:37:34.489800,0 days 00:00:00.818435,0.23135782879348174,1710083,cyclic,0.09190410558454963,COMPLETE
728,0.8734645308924485,2022-06-13 23:36:51.476834,2022-06-13 23:36:52.260094,0 days 00:00:00.783260,0.23177510613289723,1104253,cyclic,0.08594081076068609,COMPLETE
972,0.8734462242562929,2022-06-13 23:40:26.629223,2022-06-13 23:40:27.795291,0 days 00:00:01.166068,0.23114528228539447,125608,cyclic,0.08479345066629304,COMPLETE
660,0.8734462242562929,2022-06-13 23:35:56.018082,2022-06-13 23:35:56.786601,0 days 00:00:00.768519,0.23249523793634294,2402220,cyclic,0.08748910610616492,COMPLETE
782,0.8734462242562929,2022-06-13 23:37:37.273116,2022-06-13 23:37:38.092467,0 days 00:00:00.819351,0.23549502288246293,1643191,cyclic,0.0847766635991814,COMPLETE
719,0.8734279176201373,2022-06-13 23:36:43.934186,2022-06-13 23:36:44.716621,0 days 00:00:00.782435,0.2322913265758141,1295396,cyclic,0.08871288096008928,COMPLETE
713,0.8734279176201373,2022-06-13 23:36:38.774882,2022-06-13 23:36:39.875816,0 days 00:00:01.100934,0.23260757559101486,1379710,cyclic,0.08867882169356357,COMPLETE
716,0.8734279176201373,2022-06-13 23:36:41.445856,2022-06-13 23:36:42.273894,0 days 00:00:00.828038,0.23204185819887094,1366737,cyclic,0.08885922015754501,COMPLETE
795,0.8734096109839817,2022-06-13 23:37:48.588601,2022-06-13 23:37:49.403075,0 days 00:00:00.814474,0.24192162793512118,954178,cyclic,0.0876242934983342,COMPLETE
800,0.8734096109839817,2022-06-13 23:37:52.721955,2022-06-13 23:37:53.532500,0 days 00:00:00.810545,0.24201554002932513,782645,cyclic,0.0872449426510076,COMPLETE
889,0.8733913043478261,2022-06-13 23:39:10.760169,2022-06-13 23:39:11.603118,0 days 00:00:00.842949,0.23475335532886776,1172197,cyclic,0.08899323971133401,COMPLETE
656,0.8733913043478261,2022-06-13 23:35:52.998182,2022-06-13 23:35:53.747732,0 days 00:00:00.749550,0.24241098690307117,2521439,cyclic,0.08917948806469478,COMPLETE
837,0.8733913043478261,2022-06-13 23:38:24.716325,2022-06-13 23:38:25.820698,0 days 00:00:01.104373,0.2425746517194866,873614,cyclic,0.0840489695111834,COMPLETE
915,0.8733729977116704,2022-06-13 23:39:34.285019,2022-06-13 23:39:35.145164,0 days 00:00:00.860145,0.24076108152481776,512685,cyclic,0.08275150151058575,COMPLETE
848,0.8733729977116704,2022-06-13 23:38:34.533317,2022-06-13 23:38:35.361553,0 days 00:00:00.828236,0.24078502659114953,1185857,cyclic,0.08198787033465194,COMPLETE
659,0.8733546910755149,2022-06-13 23:35:55.264302,2022-06-13 23:35:56.017496,0 days 00:00:00.753194,0.23952403966195476,2460429,cyclic,0.08804433342562049,COMPLETE
866,0.8733546910755149,2022-06-13 23:38:50.279647,2022-06-13 23:38:51.116142,0 days 00:00:00.836495,0.23900065008819935,701603,cyclic,0.08182072109025905,COMPLETE
658,0.8733546910755149,2022-06-13 23:35:54.510017,2022-06-13 23:35:55.263658,0 days 00:00:00.753641,0.23911098562077296,2506949,cyclic,0.08830101944777653,COMPLETE
717,0.8733546910755149,2022-06-13 23:36:42.274442,2022-06-13 23:36:43.101093,0 days 00:00:00.826651,0.23861352248070763,1248878,cyclic,0.08855958396609248,COMPLETE
657,0.8733546910755149,2022-06-13 23:35:53.748243,2022-06-13 23:35:54.509491,0 days 00:00:00.761248,0.24338528775457224,2514400,cyclic,0.08720291947313627,COMPLETE
978,0.8733546910755149,2022-06-13 23:40:32.316481,2022-06-13 23:40:33.201578,0 days 00:00:00.885097,0.24333210621825668,1452275,cyclic,0.09191488586669731,COMPLETE
881,0.8733546910755149,2022-06-13 23:39:03.898998,2022-06-13 23:39:04.718420,0 days 00:00:00.819422,0.23754133504429364,877885,cyclic,0.09262614299649392,COMPLETE
960,0.8733363844393592,2022-06-13 23:40:15.688554,2022-06-13 23:40:16.560869,0 days 00:00:00.872315,0.24383127552912595,708742,cyclic,0.08137485789582098,COMPLETE
820,0.8733363844393592,2022-06-13 23:38:09.944543,2022-06-13 23:38:10.780470,0 days 00:00:00.835927,0.2438282194272639,532793,cyclic,0.08241522696200905,COMPLETE
