iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
921,0.9817620274661353,2022-06-12 17:04:52.216210,2022-06-12 17:04:52.984923,0 days 00:00:00.768713,0.594421749673348,4536386,random,0.09809525530102202,COMPLETE
914,0.9817611967950368,2022-06-12 17:04:46.456790,2022-06-12 17:04:47.211720,0 days 00:00:00.754930,0.5737183349271725,4435483,random,0.09999173000719369,COMPLETE
906,0.9817605296106539,2022-06-12 17:04:40.356349,2022-06-12 17:04:41.114083,0 days 00:00:00.757734,0.5564354546022322,4323416,random,0.09961663317712781,COMPLETE
895,0.9817605296106539,2022-06-12 17:04:31.750555,2022-06-12 17:04:32.506712,0 days 00:00:00.756157,0.5569270594207648,4295248,random,0.09917010302673993,COMPLETE
968,0.9817597107699176,2022-06-12 17:05:31.951308,2022-06-12 17:05:32.724789,0 days 00:00:00.773481,0.5672703577876909,3952501,random,0.09999295041425935,COMPLETE
911,0.9817592193759022,2022-06-12 17:04:44.164316,2022-06-12 17:04:44.929207,0 days 00:00:00.764891,0.5706566268015355,4436655,random,0.09986564749413711,COMPLETE
909,0.9817585522741892,2022-06-12 17:04:42.648664,2022-06-12 17:04:43.408014,0 days 00:00:00.759350,0.5553852109623588,4235681,random,0.09962337935927687,COMPLETE
892,0.9817584002365488,2022-06-12 17:04:29.210360,2022-06-12 17:04:29.969729,0 days 00:00:00.759369,0.5760118436737578,4284341,random,0.09994433034739793,COMPLETE
902,0.9817572420172814,2022-06-12 17:04:37.088623,2022-06-12 17:04:37.847141,0 days 00:00:00.758518,0.5684069115885577,4224884,random,0.09982532277202374,COMPLETE
898,0.9817572420172814,2022-06-12 17:04:34.024830,2022-06-12 17:04:34.811691,0 days 00:00:00.786861,0.569247219076748,4276660,random,0.0998882739832403,COMPLETE
908,0.9817572420172814,2022-06-12 17:04:41.880915,2022-06-12 17:04:42.648018,0 days 00:00:00.767103,0.568164075755913,4337799,random,0.09987565744167234,COMPLETE
980,0.9817564112394517,2022-06-12 17:05:42.074335,2022-06-12 17:05:42.860005,0 days 00:00:00.785670,0.5535737600243413,4818775,random,0.09993831929224908,COMPLETE
885,0.9817557674071021,2022-06-12 17:04:23.875089,2022-06-12 17:04:24.646223,0 days 00:00:00.771134,0.577858272622828,4302085,random,0.0993095248275293,COMPLETE
913,0.9817557674071021,2022-06-12 17:04:45.691545,2022-06-12 17:04:46.456155,0 days 00:00:00.764610,0.5772067394223855,4416232,random,0.09991207582058989,COMPLETE
915,0.9817557674071021,2022-06-12 17:04:47.212369,2022-06-12 17:04:47.973699,0 days 00:00:00.761330,0.5772843007522123,4417663,random,0.09980160974337174,COMPLETE
973,0.9817551118306022,2022-06-12 17:05:35.954108,2022-06-12 17:05:36.743846,0 days 00:00:00.789738,0.5820173691153266,4353904,random,0.0952732861013588,COMPLETE
887,0.981755089022501,2022-06-12 17:04:25.417543,2022-06-12 17:04:26.171549,0 days 00:00:00.754006,0.5444511255142114,3943882,random,0.09980534066814646,COMPLETE
896,0.981754281696324,2022-06-12 17:04:32.507373,2022-06-12 17:04:33.272664,0 days 00:00:00.765291,0.5713443282770342,4198764,random,0.09996640328717177,COMPLETE
978,0.9817528066579142,2022-06-12 17:05:40.374377,2022-06-12 17:05:41.162162,0 days 00:00:00.787785,0.5816408741546669,4325291,random,0.0953913027890908,COMPLETE
901,0.9817527959954245,2022-06-12 17:04:36.329030,2022-06-12 17:04:37.087969,0 days 00:00:00.758939,0.5598837641357817,4307607,random,0.09998249959450904,COMPLETE
972,0.9817481751671007,2022-06-12 17:05:35.181789,2022-06-12 17:05:35.953423,0 days 00:00:00.771634,0.5427599398458111,4117903,random,0.096076433080035,COMPLETE
879,0.9817473561314823,2022-06-12 17:04:18.893589,2022-06-12 17:04:19.673680,0 days 00:00:00.780091,0.5489700103502634,6560874,random,0.09716989002501325,COMPLETE
971,0.9817434307176771,2022-06-12 17:05:34.407011,2022-06-12 17:05:35.181090,0 days 00:00:00.774079,0.6266947575152458,3855986,random,0.0999820284002737,COMPLETE
963,0.9817429384078062,2022-06-12 17:05:27.721694,2022-06-12 17:05:28.767784,0 days 00:00:01.046090,0.6367893089229668,4730030,random,0.09999823398135435,COMPLETE
966,0.9817414253254304,2022-06-12 17:05:30.401887,2022-06-12 17:05:31.176380,0 days 00:00:00.774493,0.5419140188617744,4778505,random,0.09561021164173714,COMPLETE
917,0.9817379992860966,2022-06-12 17:04:48.738103,2022-06-12 17:04:49.788429,0 days 00:00:01.050326,0.6401321415260743,4479387,random,0.09993333492810384,COMPLETE
