iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
188,0.742864989,43:45.3,46:08.2,0 days 00:02:22.860324,26,494,98,15,314,496,COMPLETE
241,0.742334096,51:23.5,53:46.6,0 days 00:02:23.058928,24,500,97,16,314,496,COMPLETE
266,0.742297483,51:31.2,53:50.8,0 days 00:02:19.590810,25,497,98,15,327,482,COMPLETE
208,0.74220595,31:44.5,34:06.0,0 days 00:02:21.448983,25,500,100,18,315,491,COMPLETE
181,0.74220595,26:43.5,29:07.0,0 days 00:02:23.546959,25,500,98,14,323,497,COMPLETE
185,0.742059497,36:26.6,38:51.8,0 days 00:02:25.201485,26,495,98,14,314,504,COMPLETE
225,0.74198627,12:21.2,14:42.7,0 days 00:02:21.477003,24,496,100,19,314,490,COMPLETE
257,0.74198627,29:28.7,31:56.0,0 days 00:02:27.330295,23,492,97,14,327,510,COMPLETE
91,0.741967963,00:05.6,02:30.1,0 days 00:02:24.568210,24,486,96,15,353,500,COMPLETE
173,0.741967963,07:23.2,09:45.9,0 days 00:02:22.739602,24,500,100,12,314,495,COMPLETE
171,0.741967963,02:39.1,05:01.5,0 days 00:02:22.394019,24,500,97,12,313,494,COMPLETE
295,0.74193135,00:30.4,02:54.0,0 days 00:02:23.565651,24,496,99,15,311,497,COMPLETE
177,0.741913043,17:01.6,19:24.8,0 days 00:02:23.298141,25,500,100,13,314,497,COMPLETE
182,0.741913043,29:07.0,31:31.4,0 days 00:02:24.325245,25,500,98,14,323,500,COMPLETE
175,0.741839817,12:11.9,14:35.7,0 days 00:02:23.747011,24,500,100,13,314,499,COMPLETE
191,0.74176659,50:53.9,53:16.9,0 days 00:02:23.057033,26,495,98,15,315,497,COMPLETE
194,0.74176659,58:02.8,00:25.8,0 days 00:02:23.045593,26,495,98,16,315,497,COMPLETE
193,0.74176659,55:39.7,58:02.8,0 days 00:02:23.029732,26,495,98,15,315,497,COMPLETE
