iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
205,0.8722891848268797,2022-06-11 12:25:23.909692,2022-06-11 12:26:43.062138,0 days 00:01:19.152446,43.0,490.0,140.0,7.0,176.0,288.0,COMPLETE
191,0.8722740803791793,2022-06-11 12:05:55.132972,2022-06-11 12:07:16.237590,0 days 00:01:21.104618,48.0,495.0,142.0,8.0,179.0,288.0,COMPLETE
71,0.8722537851720258,2022-06-11 09:20:44.835273,2022-06-11 09:22:03.080735,0 days 00:01:18.245462,47.0,493.0,132.0,3.0,325.0,272.0,COMPLETE
142,0.872247826750718,2022-06-11 11:00:43.321013,2022-06-11 11:02:00.518148,0 days 00:01:17.197135,48.0,496.0,133.0,7.0,226.0,277.0,COMPLETE
264,0.8722389000562841,2022-06-11 13:42:47.980732,2022-06-11 13:44:06.039104,0 days 00:01:18.058372,39.0,485.0,148.0,10.0,174.0,282.0,COMPLETE
101,0.8721448299746117,2022-06-11 10:03:07.962020,2022-06-11 10:04:27.657574,0 days 00:01:19.695554,21.0,478.0,131.0,16.0,351.0,278.0,COMPLETE
209,0.8721432873592165,2022-06-11 12:30:41.947350,2022-06-11 12:32:01.364573,0 days 00:01:19.417223,44.0,485.0,135.0,9.0,154.0,290.0,COMPLETE
186,0.8720521928423557,2022-06-11 11:59:08.618155,2022-06-11 12:00:31.015366,0 days 00:01:22.397211,47.0,480.0,139.0,7.0,186.0,299.0,COMPLETE
254,0.8720294776919727,2022-06-11 13:29:54.362378,2022-06-11 13:31:21.055119,0 days 00:01:26.692741,40.0,500.0,144.0,7.0,206.0,312.0,COMPLETE
229,0.8720251715520394,2022-06-11 12:57:08.957699,2022-06-11 12:58:23.215063,0 days 00:01:14.257364,42.0,500.0,148.0,9.0,189.0,263.0,COMPLETE
241,0.8719959496504521,2022-06-11 13:12:58.537741,2022-06-11 13:14:17.205571,0 days 00:01:18.667830,37.0,494.0,145.0,10.0,183.0,279.0,COMPLETE
105,0.8719933030835786,2022-06-11 10:08:08.114588,2022-06-11 10:09:27.593796,0 days 00:01:19.479208,21.0,487.0,73.0,17.0,367.0,278.0,COMPLETE
162,0.8719436763088589,2022-06-11 11:25:59.204682,2022-06-11 11:27:23.071702,0 days 00:01:23.867020,48.0,495.0,138.0,9.0,181.0,299.0,COMPLETE
165,0.8719335287052821,2022-06-11 11:30:10.997309,2022-06-11 11:31:33.615452,0 days 00:01:22.618143,47.0,497.0,146.0,10.0,186.0,299.0,COMPLETE
243,0.8719229497294736,2022-06-11 13:15:37.552087,2022-06-11 13:16:54.063146,0 days 00:01:16.511059,41.0,500.0,146.0,9.0,205.0,271.0,COMPLETE
152,0.8718678031973629,2022-06-11 11:13:16.675789,2022-06-11 11:14:35.774400,0 days 00:01:19.098611,48.0,500.0,142.0,6.0,216.0,285.0,COMPLETE
172,0.8718650469645102,2022-06-11 11:39:56.359216,2022-06-11 11:41:15.535568,0 days 00:01:19.176352,46.0,486.0,140.0,10.0,187.0,282.0,COMPLETE
175,0.8718413375286284,2022-06-11 11:43:54.561149,2022-06-11 11:45:16.940758,0 days 00:01:22.379609,46.0,475.0,150.0,11.0,173.0,293.0,COMPLETE
167,0.8718051629202342,2022-06-11 11:32:56.593728,2022-06-11 11:34:20.649194,0 days 00:01:24.055466,47.0,495.0,139.0,10.0,192.0,307.0,COMPLETE
273,0.8717772643020838,2022-06-11 13:56:28.591217,2022-06-11 13:57:51.397661,0 days 00:01:22.806444,40.0,499.0,142.0,6.0,210.0,296.0,COMPLETE
140,0.8717687689798816,2022-06-11 10:58:05.537896,2022-06-11 10:59:22.451229,0 days 00:01:16.913333,48.0,496.0,134.0,6.0,219.0,273.0,COMPLETE
292,0.8717661224130082,2022-06-11 14:23:46.591735,2022-06-11 14:25:06.038685,0 days 00:01:19.446950,39.0,485.0,140.0,7.0,176.0,289.0,COMPLETE
225,0.8717613849008431,2022-06-11 12:51:45.273927,2022-06-11 12:53:05.103432,0 days 00:01:19.829505,41.0,483.0,145.0,11.0,209.0,282.0,COMPLETE
288,0.8717611655688845,2022-06-11 14:18:15.090736,2022-06-11 14:19:35.855157,0 days 00:01:20.764421,40.0,488.0,140.0,5.0,221.0,285.0,COMPLETE
226,0.8717489197283308,2022-06-11 12:53:05.103711,2022-06-11 12:54:19.580129,0 days 00:01:14.476418,43.0,489.0,141.0,10.0,194.0,268.0,COMPLETE
233,0.8717108735066036,2022-06-11 13:02:18.047582,2022-06-11 13:03:37.770379,0 days 00:01:19.722797,40.0,495.0,143.0,8.0,235.0,281.0,COMPLETE
163,0.8717028241400038,2022-06-11 11:27:23.071917,2022-06-11 11:28:47.517188,0 days 00:01:24.445271,48.0,496.0,137.0,10.0,209.0,298.0,COMPLETE
166,0.8716745892322302,2022-06-11 11:31:33.615660,2022-06-11 11:32:56.593530,0 days 00:01:22.977870,45.0,500.0,146.0,9.0,184.0,301.0,COMPLETE
222,0.8716636739667984,2022-06-11 12:47:40.085406,2022-06-11 12:48:59.085372,0 days 00:01:18.999966,40.0,489.0,145.0,10.0,209.0,279.0,COMPLETE
