iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
190,0.9648361905994096,2022-06-11 02:32:59.845705,2022-06-11 02:34:15.778011,0 days 00:01:15.932306,30,491,134,15,147,273,COMPLETE
111,0.9648242360337296,2022-06-11 00:49:38.992368,2022-06-11 00:50:58.159151,0 days 00:01:19.166783,37,495,88,27,178,284,COMPLETE
286,0.9648203275559024,2022-06-11 04:43:23.899549,2022-06-11 04:44:42.289017,0 days 00:01:18.389468,28,472,45,11,142,285,COMPLETE
298,0.9648132649069979,2022-06-11 05:00:21.471640,2022-06-11 05:01:37.233696,0 days 00:01:15.762056,27,465,142,12,156,275,COMPLETE
211,0.9648123284146117,2022-06-11 03:00:02.084767,2022-06-11 03:01:21.392518,0 days 00:01:19.307751,32,500,148,12,155,283,COMPLETE
179,0.964809218459561,2022-06-11 02:19:36.657630,2022-06-11 02:20:55.687562,0 days 00:01:19.029932,31,495,60,12,157,282,COMPLETE
184,0.9647997093435056,2022-06-11 02:26:05.348092,2022-06-11 02:27:14.257365,0 days 00:01:08.909273,32,491,135,14,142,250,COMPLETE
230,0.9647900785621699,2022-06-11 03:27:06.787431,2022-06-11 03:28:25.941127,0 days 00:01:19.153696,33,472,149,16,420,278,COMPLETE
224,0.9647855491989963,2022-06-11 03:19:08.593247,2022-06-11 03:20:27.428256,0 days 00:01:18.835009,45,481,142,12,161,284,COMPLETE
264,0.9647690512084517,2022-06-11 04:12:25.808033,2022-06-11 04:13:45.752827,0 days 00:01:19.944794,27,485,148,12,174,288,COMPLETE
254,0.9647637431601007,2022-06-11 03:59:47.599749,2022-06-11 04:01:10.570452,0 days 00:01:22.970703,45,494,140,10,322,292,COMPLETE
239,0.9647551944282043,2022-06-11 03:40:09.603234,2022-06-11 03:41:24.607797,0 days 00:01:15.004563,47,495,145,14,150,271,COMPLETE
193,0.9647488909177672,2022-06-11 02:36:46.862042,2022-06-11 02:37:59.957360,0 days 00:01:13.095318,29,489,137,16,135,264,COMPLETE
186,0.964721939274013,2022-06-11 02:28:22.934034,2022-06-11 02:29:38.340583,0 days 00:01:15.406549,39,490,130,15,134,275,COMPLETE
158,0.9647176997119811,2022-06-11 01:52:23.996882,2022-06-11 01:53:43.281472,0 days 00:01:19.284590,20,488,80,11,134,289,COMPLETE
31,0.9647085623668679,2022-06-10 22:55:01.460253,2022-06-10 22:56:37.444035,0 days 00:01:35.983782,32,485,109,24,161,347,COMPLETE
