iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
183,0.9120366132723112,2022-06-12 05:59:49.940206,2022-06-12 06:02:18.936403,0 days 00:02:28.996197,48,500,104,17,682,495,COMPLETE
26,0.912,2022-06-11 23:55:31.026618,2022-06-11 23:57:59.108853,0 days 00:02:28.082235,33,495,111,16,525,495,COMPLETE
273,0.9119816933638444,2022-06-12 09:41:49.833018,2022-06-12 09:44:12.613376,0 days 00:02:22.780358,27,496,101,19,608,484,COMPLETE
123,0.9119450800915332,2022-06-12 03:36:46.829515,2022-06-12 03:39:12.700228,0 days 00:02:25.870713,49,492,103,19,609,480,COMPLETE
227,0.9119267734553775,2022-06-12 07:48:39.184703,2022-06-12 07:51:08.804301,0 days 00:02:29.619598,27,495,107,19,682,497,COMPLETE
279,0.9118901601830663,2022-06-12 09:56:14.130115,2022-06-12 09:58:37.367198,0 days 00:02:23.237083,27,500,96,19,618,479,COMPLETE
276,0.9118535469107552,2022-06-12 09:49:02.216677,2022-06-12 09:51:25.913123,0 days 00:02:23.696446,27,500,98,19,604,481,COMPLETE
159,0.9118352402745995,2022-06-12 05:02:10.053242,2022-06-12 05:04:36.909287,0 days 00:02:26.856045,49,495,106,15,697,479,COMPLETE
260,0.911816933638444,2022-06-12 09:10:06.327044,2022-06-12 09:12:34.959786,0 days 00:02:28.632742,26,484,100,18,668,495,COMPLETE
218,0.9117986270022883,2022-06-12 07:26:39.823913,2022-06-12 07:29:06.277082,0 days 00:02:26.453169,27,495,104,18,679,479,COMPLETE
209,0.9117803203661328,2022-06-12 07:04:15.849948,2022-06-12 07:06:46.517154,0 days 00:02:30.667206,47,500,105,18,669,492,COMPLETE
147,0.9117620137299771,2022-06-12 04:33:22.232254,2022-06-12 04:35:51.424851,0 days 00:02:29.192597,49,494,104,19,620,499,COMPLETE
148,0.9117620137299771,2022-06-12 04:35:51.425083,2022-06-12 04:38:20.568428,0 days 00:02:29.143345,49,494,104,18,620,499,COMPLETE
