iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
53,0.9616827529198677,2022-06-10 20:32:37.592655,2022-06-10 20:34:26.097031,0 days 00:01:48.504376,28.0,279.0,100.0,7.0,336.0,404.0,COMPLETE
49,0.9616704174997655,2022-06-10 20:26:39.495011,2022-06-10 20:28:20.933536,0 days 00:01:41.438525,18.0,292.0,88.0,30.0,501.0,360.0,COMPLETE
52,0.9616623070320758,2022-06-10 20:31:01.899516,2022-06-10 20:32:37.592505,0 days 00:01:35.692989,30.0,293.0,93.0,10.0,399.0,344.0,COMPLETE
42,0.9616617554338255,2022-06-10 20:14:28.610876,2022-06-10 20:16:19.067287,0 days 00:01:50.456411,30.0,299.0,100.0,8.0,419.0,396.0,COMPLETE
82,0.9616362263078604,2022-06-10 21:17:02.147394,2022-06-10 21:18:47.405773,0 days 00:01:45.258379,23.0,295.0,98.0,5.0,155.0,391.0,COMPLETE
74,0.9616319660992226,2022-06-10 21:05:24.203961,2022-06-10 21:06:53.336089,0 days 00:01:29.132128,25.0,287.0,87.0,4.0,169.0,329.0,COMPLETE
69,0.9616264321113089,2022-06-10 20:57:53.318816,2022-06-10 20:59:30.677727,0 days 00:01:37.358911,30.0,281.0,91.0,7.0,361.0,353.0,COMPLETE
35,0.9616044397780261,2022-06-10 20:04:17.342412,2022-06-10 20:05:49.522500,0 days 00:01:32.180088,28.0,274.0,87.0,7.0,356.0,340.0,COMPLETE
88,0.961599141408846,2022-06-10 21:26:38.161456,2022-06-10 21:28:09.977644,0 days 00:01:31.816188,30.0,276.0,50.0,11.0,298.0,338.0,COMPLETE
32,0.9615961800425497,2022-06-10 19:59:31.731662,2022-06-10 20:01:17.718326,0 days 00:01:45.986664,28.0,272.0,95.0,13.0,419.0,382.0,COMPLETE
54,0.9615585693778066,2022-06-10 20:34:26.097185,2022-06-10 20:36:07.641596,0 days 00:01:41.544411,27.0,286.0,97.0,5.0,373.0,368.0,COMPLETE
64,0.961549585910342,2022-06-10 20:50:24.717804,2022-06-10 20:52:12.304646,0 days 00:01:47.586842,25.0,268.0,100.0,5.0,173.0,399.0,COMPLETE
43,0.9615283903339337,2022-06-10 20:16:19.067432,2022-06-10 20:18:07.499988,0 days 00:01:48.432556,29.0,279.0,90.0,4.0,373.0,394.0,COMPLETE
90,0.9615165765142419,2022-06-10 21:30:04.817580,2022-06-10 21:31:46.554471,0 days 00:01:41.736891,28.0,290.0,47.0,7.0,409.0,366.0,COMPLETE
16,0.9615083330906289,2022-06-10 19:32:22.619322,2022-06-10 19:34:36.828836,0 days 00:02:14.209514,28.0,273.0,52.0,11.0,435.0,482.0,COMPLETE
44,0.9615055739295992,2022-06-10 20:18:07.500136,2022-06-10 20:20:18.598943,0 days 00:02:11.098807,28.0,290.0,63.0,24.0,353.0,475.0,COMPLETE
57,0.9615025800098479,2022-06-10 20:39:47.648117,2022-06-10 20:41:11.958055,0 days 00:01:24.309938,20.0,274.0,92.0,8.0,412.0,308.0,COMPLETE
51,0.9614916568120051,2022-06-10 20:29:32.967148,2022-06-10 20:31:01.899378,0 days 00:01:28.932230,29.0,300.0,98.0,8.0,438.0,322.0,COMPLETE
94,0.9614750555115218,2022-06-10 21:36:57.814519,2022-06-10 21:38:40.178453,0 days 00:01:42.363934,30.0,294.0,71.0,6.0,150.0,385.0,COMPLETE
73,0.961465421153613,2022-06-10 21:04:08.295306,2022-06-10 21:05:24.203795,0 days 00:01:15.908489,22.0,250.0,94.0,6.0,151.0,283.0,COMPLETE
76,0.9614587348599353,2022-06-10 21:08:33.305821,2022-06-10 21:09:25.059431,0 days 00:00:51.753610,27.0,263.0,90.0,10.0,203.0,190.0,COMPLETE
