iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
33,0.9347462917661562,2022-06-10 18:24:22.531658,2022-06-10 18:25:40.665822,0 days 00:01:18.134164,29,300,90,18,482,275,COMPLETE
9,0.9347383083154235,2022-06-10 17:45:22.664973,2022-06-10 17:47:08.520876,0 days 00:01:45.855903,29,293,84,22,363,375,COMPLETE
94,0.9347308145704057,2022-06-10 20:27:33.779798,2022-06-10 20:29:45.710594,0 days 00:02:11.930796,27,285,98,20,327,470,COMPLETE
54,0.9347205645925349,2022-06-10 19:03:18.355556,2022-06-10 19:05:36.646160,0 days 00:02:18.290604,26,281,88,29,502,491,COMPLETE
21,0.934720125928618,2022-06-10 18:08:33.300632,2022-06-10 18:10:01.344041,0 days 00:01:28.043409,28,286,96,13,511,305,COMPLETE
61,0.9347055625191285,2022-06-10 19:17:57.147280,2022-06-10 19:19:54.023615,0 days 00:01:56.876335,28,300,93,11,480,418,COMPLETE
52,0.9346128157208933,2022-06-10 18:59:11.510333,2022-06-10 19:01:08.532008,0 days 00:01:57.021675,24,293,97,24,475,409,COMPLETE
57,0.9345734243406729,2022-06-10 19:09:21.890346,2022-06-10 19:11:22.128962,0 days 00:02:00.238616,26,274,78,28,405,427,COMPLETE
60,0.9345421333688502,2022-06-10 19:15:46.185971,2022-06-10 19:17:57.147160,0 days 00:02:10.961189,24,283,94,30,469,460,COMPLETE
74,0.9345161209474037,2022-06-10 19:45:19.984304,2022-06-10 19:47:19.134049,0 days 00:01:59.149745,24,256,96,22,464,431,COMPLETE
31,0.9344832436100732,2022-06-10 18:21:19.038232,2022-06-10 18:22:47.430331,0 days 00:01:28.392099,28,287,94,12,510,311,COMPLETE
86,0.934441476036736,2022-06-10 20:10:44.696817,2022-06-10 20:12:58.375096,0 days 00:02:13.678279,27,280,91,21,504,479,COMPLETE
65,0.934389297777751,2022-06-10 19:25:43.403077,2022-06-10 19:27:45.612110,0 days 00:02:02.209033,25,271,88,27,512,439,COMPLETE
35,0.9342631398956596,2022-06-10 18:26:41.857113,2022-06-10 18:28:16.502437,0 days 00:01:34.645324,18,259,84,7,390,341,COMPLETE
56,0.9342570499333162,2022-06-10 19:07:16.853321,2022-06-10 19:09:21.890215,0 days 00:02:05.036894,23,262,91,26,455,442,COMPLETE
91,0.9342128624167495,2022-06-10 20:21:07.868655,2022-06-10 20:23:12.067033,0 days 00:02:04.198378,26,283,99,18,350,449,COMPLETE
23,0.9341995490831444,2022-06-10 18:11:10.829315,2022-06-10 18:12:05.066519,0 days 00:00:54.237204,25,280,92,17,472,192,COMPLETE
72,0.9341973706376282,2022-06-10 19:40:54.663929,2022-06-10 19:43:05.286390,0 days 00:02:10.622461,23,291,74,26,494,464,COMPLETE
49,0.9341521083363247,2022-06-10 18:52:58.208932,2022-06-10 18:54:52.710520,0 days 00:01:54.501588,24,283,60,30,420,411,COMPLETE
14,0.9341464716212692,2022-06-10 17:56:21.689953,2022-06-10 17:58:20.404936,0 days 00:01:58.714983,26,271,88,7,277,425,COMPLETE
95,0.9340324499137522,2022-06-10 20:29:45.710767,2022-06-10 20:31:42.214424,0 days 00:01:56.503657,29,268,100,17,507,408,COMPLETE
39,0.9340080897736801,2022-06-10 18:33:05.616749,2022-06-10 18:34:41.261443,0 days 00:01:35.644694,20,289,92,25,431,335,COMPLETE
93,0.933901335187537,2022-06-10 20:25:19.650666,2022-06-10 20:27:33.779659,0 days 00:02:14.128993,26,275,90,23,345,479,COMPLETE
24,0.93386341321516,2022-06-10 18:12:05.066635,2022-06-10 18:13:18.332729,0 days 00:01:13.266094,27,299,85,9,488,260,COMPLETE
45,0.9338309891251174,2022-06-10 18:44:29.623781,2022-06-10 18:46:43.120909,0 days 00:02:13.497128,24,268,89,27,331,475,COMPLETE
13,0.9337932427345864,2022-06-10 17:54:05.651718,2022-06-10 17:56:21.689852,0 days 00:02:16.038134,26,255,76,2,452,489,COMPLETE
18,0.9337277146835696,2022-06-10 18:03:04.692394,2022-06-10 18:04:54.374252,0 days 00:01:49.681858,23,274,50,2,388,397,COMPLETE
83,0.9336324966096086,2022-06-10 20:04:08.875336,2022-06-10 20:06:29.027318,0 days 00:02:20.151982,27,268,42,23,407,499,COMPLETE
68,0.9335435954123332,2022-06-10 19:32:07.134893,2022-06-10 19:34:21.255664,0 days 00:02:14.120771,26,264,79,24,253,485,COMPLETE
20,0.9335144904684106,2022-06-10 18:06:25.402247,2022-06-10 18:08:33.300513,0 days 00:02:07.898266,28,267,68,9,402,462,COMPLETE
48,0.9332755244962597,2022-06-10 18:50:52.774482,2022-06-10 18:52:58.208813,0 days 00:02:05.434331,23,253,97,28,469,443,COMPLETE
34,0.9332248742692992,2022-06-10 18:25:40.665928,2022-06-10 18:26:41.857000,0 days 00:01:01.191072,27,277,71,15,491,212,COMPLETE
2,0.9331173152721758,2022-06-10 17:34:12.946069,2022-06-10 17:35:34.294320,0 days 00:01:21.348251,21,246,90,11,507,285,COMPLETE
12,0.9330680834112607,2022-06-10 17:51:49.884347,2022-06-10 17:54:05.651615,0 days 00:02:15.767268,26,249,98,2,436,489,COMPLETE
50,0.9330573728944168,2022-06-10 18:54:52.710643,2022-06-10 18:57:07.659127,0 days 00:02:14.948484,20,239,86,26,443,479,COMPLETE
25,0.9329329259178815,2022-06-10 18:13:18.332851,2022-06-10 18:14:06.167943,0 days 00:00:47.835092,30,261,93,30,460,168,COMPLETE
15,0.9327792640407458,2022-06-10 17:58:20.405038,2022-06-10 18:00:35.376855,0 days 00:02:14.971817,24,229,100,6,133,500,COMPLETE
80,0.9327020603541281,2022-06-10 19:58:03.249808,2022-06-10 19:59:53.756151,0 days 00:01:50.506343,21,216,95,21,373,400,COMPLETE
16,0.9326196586163716,2022-06-10 18:00:35.376948,2022-06-10 18:02:33.186046,0 days 00:01:57.809098,27,224,74,5,468,426,COMPLETE
28,0.9325416432270879,2022-06-10 18:17:30.416631,2022-06-10 18:19:24.715190,0 days 00:01:54.298559,27,244,95,15,289,410,COMPLETE
97,0.9325111202078183,2022-06-10 20:33:44.551131,2022-06-10 20:34:13.727682,0 days 00:00:29.176551,28,295,93,22,461,100,COMPLETE
30,0.932425245617152,2022-06-10 18:20:29.711211,2022-06-10 18:21:19.038129,0 days 00:00:49.326918,22,266,100,4,239,175,COMPLETE
26,0.932068785084574,2022-06-10 18:14:06.168051,2022-06-10 18:15:19.204729,0 days 00:01:13.036678,22,234,99,4,415,259,COMPLETE
17,0.931795297076102,2022-06-10 18:02:33.186151,2022-06-10 18:03:04.692304,0 days 00:00:31.506153,18,299,90,9,421,108,COMPLETE
40,0.9315975208899518,2022-06-10 18:34:41.261572,2022-06-10 18:35:53.934176,0 days 00:01:12.672604,16,246,47,17,493,255,COMPLETE
19,0.9311520203273778,2022-06-10 18:04:54.374349,2022-06-10 18:06:25.402149,0 days 00:01:31.027800,25,210,81,4,479,323,COMPLETE
70,0.930388610033737,2022-06-10 19:36:28.079632,2022-06-10 19:38:42.435433,0 days 00:02:14.355801,25,195,83,23,444,492,COMPLETE
29,0.929589895167851,2022-06-10 18:19:24.715300,2022-06-10 18:20:29.711103,0 days 00:01:04.995803,24,211,87,7,447,230,COMPLETE
6,0.9287659649998133,2022-06-10 17:40:26.456936,2022-06-10 17:42:26.869097,0 days 00:02:00.412161,30,183,38,27,342,449,COMPLETE
8,0.9286101100937906,2022-06-10 17:44:23.619960,2022-06-10 17:45:22.664885,0 days 00:00:59.044925,24,193,56,19,191,216,COMPLETE
37,0.9284205588560862,2022-06-10 18:30:05.161172,2022-06-10 18:31:47.336046,0 days 00:01:42.174874,30,168,81,23,456,381,COMPLETE
46,0.9282065159372744,2022-06-10 18:46:43.121030,2022-06-10 18:48:47.817741,0 days 00:02:04.696711,22,166,64,25,439,456,COMPLETE
0,0.9281868128101298,2022-06-10 17:32:32.325703,2022-06-10 17:33:36.374236,0 days 00:01:04.048533,23,180,36,7,219,236,COMPLETE
59,0.9267828968746866,2022-06-10 19:13:36.332925,2022-06-10 19:15:46.185841,0 days 00:02:09.852916,25,142,83,29,138,500,COMPLETE
4,0.9266153590413774,2022-06-10 17:37:11.520707,2022-06-10 17:38:46.189323,0 days 00:01:34.668616,21,148,77,21,308,356,COMPLETE
3,0.926236432147815,2022-06-10 17:35:34.294415,2022-06-10 17:37:11.520618,0 days 00:01:37.226203,21,146,63,26,187,368,COMPLETE
1,0.9249447686808498,2022-06-10 17:33:36.374316,2022-06-10 17:34:12.945982,0 days 00:00:36.571666,17,183,31,15,366,133,COMPLETE
7,0.9249213226177373,2022-06-10 17:42:26.869189,2022-06-10 17:44:23.619851,0 days 00:01:56.750662,29,126,57,13,435,434,COMPLETE
38,0.9233825997712105,2022-06-10 18:31:47.336155,2022-06-10 18:33:05.616636,0 days 00:01:18.280481,29,113,31,20,361,295,COMPLETE
