iteration,precision,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
90,0.9901304105140305,2022-06-14 15:11:17.160298,2022-06-14 15:11:48.099401,0 days 00:00:30.939103,30,238,80,23,467,110,COMPLETE
61,0.9900741299158186,2022-06-14 14:49:41.414356,2022-06-14 14:50:12.418020,0 days 00:00:31.003664,25,294,85,24,296,113,COMPLETE
81,0.9900731849375776,2022-06-14 15:03:21.273726,2022-06-14 15:03:54.917425,0 days 00:00:33.643699,29,283,84,20,383,121,COMPLETE
15,0.9900607399226946,2022-06-14 14:11:20.013715,2022-06-14 14:12:08.238216,0 days 00:00:48.224501,18,299,57,25,218,179,COMPLETE
54,0.9899467176032974,2022-06-14 14:43:32.694382,2022-06-14 14:44:01.791276,0 days 00:00:29.096894,23,285,73,20,355,104,COMPLETE
83,0.9899405463713218,2022-06-14 15:04:34.563020,2022-06-14 15:05:27.882862,0 days 00:00:53.319842,30,276,91,19,387,192,COMPLETE
73,0.9899220095209156,2022-06-14 14:56:28.785082,2022-06-14 14:57:11.628380,0 days 00:00:42.843298,28,246,100,23,306,158,COMPLETE
55,0.9899114420851364,2022-06-14 14:44:01.791392,2022-06-14 14:45:23.813270,0 days 00:01:22.021878,30,253,53,22,276,306,COMPLETE
29,0.9898746383799422,2022-06-14 14:24:38.272500,2022-06-14 14:25:24.609244,0 days 00:00:46.336744,24,242,100,27,399,168,COMPLETE
68,0.9898367802108679,2022-06-14 14:53:29.473682,2022-06-14 14:54:01.781354,0 days 00:00:32.307672,26,289,100,27,341,115,COMPLETE
94,0.9898229085321308,2022-06-14 15:13:32.019158,2022-06-14 15:14:19.624710,0 days 00:00:47.605552,27,275,92,20,361,172,COMPLETE
31,0.9898014231767154,2022-06-14 14:26:33.768931,2022-06-14 14:27:08.504023,0 days 00:00:34.735092,22,232,97,22,300,128,COMPLETE
40,0.9898005669163799,2022-06-14 14:32:50.093691,2022-06-14 14:33:23.364493,0 days 00:00:33.270802,29,279,69,22,424,121,COMPLETE
36,0.9897197685044167,2022-06-14 14:30:11.679200,2022-06-14 14:30:39.540329,0 days 00:00:27.861129,30,248,96,2,299,100,COMPLETE
34,0.989685029489271,2022-06-14 14:28:48.180508,2022-06-14 14:29:38.807287,0 days 00:00:50.626779,23,263,87,19,511,180,COMPLETE
52,0.9896804177806652,2022-06-14 14:42:11.624948,2022-06-14 14:42:54.491296,0 days 00:00:42.866348,22,263,61,23,283,155,COMPLETE
