iteration,f1_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
44,0.9569586293550411,2022-06-09 19:40:44.003672,2022-06-09 19:42:59.283404,0 days 00:02:15.279732,22.0,274.0,95.0,15.0,449.0,475.0,COMPLETE
41,0.9569427583543013,2022-06-09 19:34:02.516976,2022-06-09 19:36:20.613065,0 days 00:02:18.096089,26.0,296.0,95.0,21.0,380.0,497.0,COMPLETE
63,0.9569238440667642,2022-06-09 20:20:29.964483,2022-06-09 20:22:44.222480,0 days 00:02:14.257997,29.0,293.0,84.0,7.0,430.0,480.0,COMPLETE
18,0.956874513148013,2022-06-09 18:49:47.052497,2022-06-09 18:51:52.779643,0 days 00:02:05.727146,16.0,264.0,100.0,18.0,365.0,447.0,COMPLETE
95,0.9568352465063812,2022-06-09 21:25:47.526317,2022-06-09 21:27:59.762390,0 days 00:02:12.236073,23.0,291.0,87.0,17.0,512.0,473.0,COMPLETE
23,0.956790397955694,2022-06-09 18:59:35.559966,2022-06-09 19:01:46.166604,0 days 00:02:10.606638,20.0,272.0,99.0,15.0,369.0,465.0,COMPLETE
90,0.956789207050493,2022-06-09 21:15:08.283062,2022-06-09 21:17:16.858119,0 days 00:02:08.575057,25.0,290.0,98.0,17.0,480.0,460.0,COMPLETE
30,0.9567704478602219,2022-06-09 19:12:39.148283,2022-06-09 19:14:28.698672,0 days 00:01:49.550389,23.0,288.0,69.0,29.0,413.0,387.0,COMPLETE
36,0.956767767853498,2022-06-09 19:24:41.520770,2022-06-09 19:26:31.122059,0 days 00:01:49.601289,23.0,273.0,89.0,2.0,435.0,387.0,COMPLETE
48,0.956763907253244,2022-06-09 19:48:51.914987,2022-06-09 19:50:28.555924,0 days 00:01:36.640937,24.0,299.0,59.0,14.0,499.0,335.0,COMPLETE
59,0.9566818729303245,2022-06-09 20:11:29.952336,2022-06-09 20:13:47.267567,0 days 00:02:17.315231,29.0,299.0,77.0,11.0,469.0,480.0,COMPLETE
43,0.9566186093344492,2022-06-09 19:38:37.183551,2022-06-09 19:40:44.003547,0 days 00:02:06.819996,24.0,286.0,69.0,19.0,413.0,448.0,COMPLETE
80,0.9565598062264007,2022-06-09 20:53:37.766341,2022-06-09 20:55:30.006804,0 days 00:01:52.240463,25.0,289.0,80.0,20.0,205.0,403.0,COMPLETE
14,0.9564645286009709,2022-06-09 18:44:01.940418,2022-06-09 18:46:17.927588,0 days 00:02:15.987170,16.0,298.0,85.0,23.0,336.0,494.0,COMPLETE
37,0.956460533016312,2022-06-09 19:26:31.122172,2022-06-09 19:28:30.957712,0 days 00:01:59.835540,26.0,284.0,40.0,25.0,446.0,429.0,COMPLETE
46,0.9564364556367142,2022-06-09 19:44:56.520679,2022-06-09 19:46:41.933488,0 days 00:01:45.412809,23.0,290.0,64.0,27.0,419.0,371.0,COMPLETE
74,0.9563926533511681,2022-06-09 20:42:18.834374,2022-06-09 20:44:31.004341,0 days 00:02:12.169967,25.0,293.0,79.0,14.0,414.0,473.0,COMPLETE
21,0.9563916665653557,2022-06-09 18:55:36.180014,2022-06-09 18:57:38.901193,0 days 00:02:02.721179,27.0,264.0,100.0,17.0,376.0,448.0,COMPLETE
56,0.9563175133515585,2022-06-09 20:04:26.505509,2022-06-09 20:06:45.749082,0 days 00:02:19.243573,29.0,267.0,92.0,18.0,510.0,495.0,COMPLETE
31,0.95627908058934,2022-06-09 19:14:28.698799,2022-06-09 19:16:27.475960,0 days 00:01:58.777161,26.0,275.0,79.0,26.0,391.0,422.0,COMPLETE
70,0.9562016324140985,2022-06-09 20:33:54.981008,2022-06-09 20:36:01.490563,0 days 00:02:06.509555,27.0,276.0,72.0,10.0,470.0,451.0,COMPLETE
78,0.9561327215533906,2022-06-09 20:49:22.447017,2022-06-09 20:51:31.643899,0 days 00:02:09.196882,22.0,259.0,90.0,22.0,426.0,465.0,COMPLETE
86,0.9561025958702473,2022-06-09 21:06:24.667139,2022-06-09 21:08:20.827714,0 days 00:01:56.160575,29.0,287.0,94.0,19.0,504.0,415.0,COMPLETE
27,0.9559459879824231,2022-06-09 19:07:22.583888,2022-06-09 19:09:33.271099,0 days 00:02:10.687211,19.0,254.0,100.0,15.0,355.0,469.0,COMPLETE
11,0.9558795072513514,2022-06-09 18:37:14.280928,2022-06-09 18:39:31.553744,0 days 00:02:17.272816,16.0,293.0,70.0,13.0,348.0,495.0,COMPLETE
25,0.9556835371404304,2022-06-09 19:03:40.092198,2022-06-09 19:05:22.961849,0 days 00:01:42.869651,17.0,281.0,77.0,19.0,425.0,363.0,COMPLETE
35,0.9556783157407658,2022-06-09 19:23:08.442679,2022-06-09 19:24:41.520639,0 days 00:01:33.077960,24.0,289.0,51.0,30.0,482.0,329.0,COMPLETE
16,0.9555137120983385,2022-06-09 18:46:46.303301,2022-06-09 18:48:03.053167,0 days 00:01:16.749866,18.0,298.0,87.0,23.0,495.0,265.0,COMPLETE
61,0.9554563985091972,2022-06-09 20:15:52.216718,2022-06-09 20:18:14.449963,0 days 00:02:22.233245,30.0,284.0,91.0,16.0,451.0,500.0,COMPLETE
60,0.9554224393475486,2022-06-09 20:13:47.267699,2022-06-09 20:15:52.216577,0 days 00:02:04.948878,30.0,254.0,97.0,13.0,493.0,439.0,COMPLETE
88,0.9554179153989639,2022-06-09 21:10:38.482690,2022-06-09 21:12:59.821469,0 days 00:02:21.338779,23.0,282.0,79.0,24.0,423.0,499.0,COMPLETE
20,0.9552174266086383,2022-06-09 18:53:55.398030,2022-06-09 18:55:36.179903,0 days 00:01:40.781873,27.0,263.0,92.0,10.0,458.0,360.0,COMPLETE
3,0.9551191544917803,2022-06-09 18:25:15.268956,2022-06-09 18:27:19.790794,0 days 00:02:04.521838,23.0,231.0,60.0,19.0,387.0,448.0,COMPLETE
22,0.9550187257087254,2022-06-09 18:57:38.901322,2022-06-09 18:59:35.559851,0 days 00:01:56.658529,30.0,232.0,93.0,20.0,303.0,418.0,COMPLETE
47,0.9550168806995925,2022-06-09 19:46:41.933633,2022-06-09 19:48:51.914852,0 days 00:02:09.981219,25.0,281.0,75.0,22.0,134.0,482.0,COMPLETE
12,0.9549501651049479,2022-06-09 18:39:31.553870,2022-06-09 18:41:45.703404,0 days 00:02:14.149534,21.0,246.0,63.0,13.0,340.0,489.0,COMPLETE
