depth,iterations,l2_leaf_reg,learning_rate,min_data_in_leaf,one_hot_max_size,scale_pos_weight,loss,iteration
6,116,0.2438578789209958,0.0003641712068393032,9,2,0.4537388406626548,1.9608484718258112,151
6,209,0.3258948761851098,0.00013510336684909182,2,2,0.40174760984637287,1.9609935373743497,146
6,105,0.60435683225347,0.00048044351078915245,10,6,0.505786186583552,1.961150428927796,204
6,314,0.19064932887924232,0.00015628389634938397,10,10,0.44385004082450685,1.9621599867606825,157
6,103,0.22221613290767966,0.0004166766757430463,14,14,0.6625504555411176,1.963013168118112,265
6,301,0.1483618548600872,0.00021990840075228335,13,6,0.5637950125351854,1.9631657890722083,134
6,365,0.16751919482650612,0.00010306340436348651,18,9,0.3574886130991954,1.9632262875970263,427
6,198,0.07405717853834043,0.0004486161821542989,13,6,0.5459678910736836,1.964109506104529,260
6,340,0.21474160621168453,0.0003302652751681096,10,3,0.2612995680415902,1.9642098764019928,159
6,372,0.35361361829631266,0.0003143614299940785,12,11,0.26416757639516353,1.9643148728880089,369
6,341,0.6392429961162197,0.000277628359813239,19,2,0.5487175218316824,1.964699175896984,312
6,467,0.09262457225328266,0.00024346403505039375,10,2,0.5567948506122715,1.9656860388907027,417
6,272,0.1139191349559924,0.0005520986076610868,13,6,0.586529742068073,1.9659340229012088,411
6,224,0.3174267545513654,0.0007435100682740628,12,4,0.6891384952894399,1.966576057129776,99
6,180,0.10319512817535705,0.00020138214999949167,9,2,0.8572789384702013,1.9665865080686076,292
6,311,0.1814520386568015,0.00011215249570445556,14,12,0.9496733203650924,1.9666149010087253,273
6,483,0.052392653186621285,0.0005466913784616436,6,12,0.5045733696155827,1.9666183492704976,416
6,116,0.3210738530651911,0.0026415421886210625,2,2,0.40121431381284167,1.9669922659841996,147
6,414,0.1281963416090307,0.0006834595230164428,18,2,0.50472605244561,1.967148852348738,283
6,355,0.30626609881680955,0.0005441557471672904,10,14,0.7087787019188292,1.96723365324306,333
7,404,0.2607400695558594,0.00017981189863121454,11,4,0.30087037699949437,1.967314823163956,234
6,448,0.16022007790633463,0.0005850814057995996,17,5,0.6457860537147585,1.9673984187571807,328
8,116,0.6517324882388418,0.00037048107690913843,14,2,0.4313212151640351,1.9703608613624413,361
7,195,0.14192556094071612,0.0018341737258903736,2,17,0.025659207651995225,1.9704289610554584,73
6,257,0.43786723254720583,0.0015702705789393582,2,7,0.1756064884430107,1.9704344569160848,22
8,172,0.8556132335201647,0.00036226057327432004,4,2,0.4138937259286587,1.970496325243389,347
9,142,0.1418812081222268,0.00026700592392484474,10,2,0.536442646302905,1.9706151623948696,449
6,377,0.6443552992372871,0.001719967816787878,2,15,0.19124221551743423,1.9711189846038717,24
6,284,0.26259847651757695,0.0013153134788261359,14,14,0.6449826447912221,1.971134155605767,271
9,417,0.2939118386777185,0.0003914802069175363,16,7,0.4701551090678088,1.971494880821552,422
9,239,0.11663711305636779,0.00016939557835890517,9,14,0.7236872677754616,1.9715736234633476,435
6,277,0.037704891110294625,0.0014466314597693843,9,6,0.6450571984196211,1.9715843916504956,404
8,477,0.2129150803742357,0.0002729585372431848,8,7,0.5909376197232767,1.97159052733808,299
6,197,0.15012613508493983,0.004623743482673303,9,2,0.38224205942367606,1.9729760687952207,155
6,499,0.2022478306888344,0.001627710379442128,13,6,0.5162344717329361,1.9731623319757257,407
6,286,0.4047406316509855,0.0036966760023387415,14,7,0.22351873260910132,1.9733406807674092,21
9,468,0.7940934992881699,0.000864004008839413,10,12,0.4721930970430029,1.973467278142928,215
6,363,0.13322463826302267,0.002585624119377232,13,6,0.449111173268255,1.9734811555817275,258
6,136,0.49904568363938717,0.007679201353279408,5,14,0.34448202765297237,1.973729402687964,174
6,248,0.584566129212231,0.004848040151486481,4,16,0.18813598195985579,1.9738218097083893,39
7,338,0.23699641097713503,0.0022307946499764628,2,2,0.13779429927082287,1.973824909768989,78
8,451,0.4745342082894716,0.000921912439078576,7,13,0.6780628141459983,1.9746404032146168,119
6,155,0.25737638094387844,0.006697212702186154,14,14,0.7716956958603411,1.9746484583019936,267
11,324,0.29892911070345113,0.00018122595786937868,9,10,0.4157593816949315,1.974668326352639,172
10,241,0.5435722959578843,0.0012026256627308684,2,18,0.3349992797367938,1.974821776124143,27
6,107,0.5790361778532187,0.011885313245818712,12,19,0.6334325591890899,1.9753114215772236,302
10,447,0.33240430517871006,0.001028763437753898,10,6,0.3243240785515103,1.975393879531603,230
6,189,0.3978837537511787,0.006877309873978471,16,19,0.6656539925718986,1.9754752045377264,105
6,240,0.19578138711447723,0.006727338531271755,15,9,0.2832839518793769,1.975583102257174,186
6,149,0.10851043107920239,0.009747440900292533,13,6,0.5236235492702388,1.975798850370854,262
6,393,0.06979985601727912,0.0038449128319226217,13,6,0.4900431614139497,1.97583276047077,402
6,234,0.13670072921023155,0.006217095928932754,13,4,0.605798304249841,1.975861711158398,405
12,464,0.09788022436646036,0.0004236014610344217,19,16,0.4207832152797157,1.9760975877212064,187
6,175,0.877536963523089,0.009284641858413174,10,9,0.558933497359167,1.976174910108116,348
6,110,0.2552206854455476,0.015472482695885411,15,18,0.4427729384044232,1.9761760568552424,374
6,254,0.1899305264719557,0.0072069860422648326,7,15,0.7366024974417338,1.976547173317834,418
12,461,0.42509451250242186,0.00020357200813907444,3,15,0.08679984876119728,1.976593212440728,61
6,310,0.08636254160033548,0.0059250848202568205,8,3,0.665315776424406,1.976609829215934,387
6,157,0.12639325429980158,0.01288738445028141,18,19,0.36801076183564574,1.976685460783276,165
