iteration,precision,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
22,0.9242994892828269,2022-06-28 15:27:48.424952,2022-06-28 15:27:49.780215,0 days 00:00:01.355263,8.7,0.0008825562621311337,0.07142087244728665,14,1363,squared_hinge,4937326,False,l1,COMPLETE
90,0.9240864847614488,2022-06-28 15:29:31.874826,2022-06-28 15:29:33.430149,0 days 00:00:01.555323,6.3,0.0007353740126445643,0.07295921276003081,19,3033,squared_hinge,6043725,False,l1,COMPLETE
58,0.9231218600303773,2022-06-28 15:28:42.744808,2022-06-28 15:28:44.140021,0 days 00:00:01.395213,6.9,0.0009346604112793426,0.07417854202496393,20,3439,squared_hinge,5067881,False,l1,COMPLETE
92,0.920823267948594,2022-06-28 15:29:35.022764,2022-06-28 15:29:36.836492,0 days 00:00:01.813728,7.8,0.0008198246215446537,0.07544606698217204,18,5838,squared_hinge,5019452,False,l1,COMPLETE
14,0.915700086847438,2022-06-28 15:27:35.261065,2022-06-28 15:27:36.654145,0 days 00:00:01.393080,8.2,0.0003543934154327734,0.06017212807787454,7,9980,squared_hinge,3996062,True,l1,COMPLETE
69,0.9154179349098571,2022-06-28 15:29:00.515037,2022-06-28 15:29:01.863476,0 days 00:00:01.348439,5.7,0.000335719865117864,0.04899656072749173,12,8901,squared_hinge,7771661,True,l1,COMPLETE
34,0.9150618519017295,2022-06-28 15:28:07.903311,2022-06-28 15:28:09.419696,0 days 00:00:01.516385,4.5,0.0006433068002693539,0.07809935724236816,13,5027,squared_hinge,2554163,False,l1,COMPLETE
59,0.9146094146094146,2022-06-28 15:28:44.140208,2022-06-28 15:28:45.469413,0 days 00:00:01.329205,6.5,0.0007189453573176941,0.04735076814475679,18,2557,squared_hinge,4050148,False,l1,COMPLETE
72,0.8931600726496527,2022-06-28 15:29:04.128547,2022-06-28 15:29:05.712480,0 days 00:00:01.583933,6.4,0.000671069782247119,0.04221171896317582,18,2688,squared_hinge,4465458,False,l1,COMPLETE
76,0.8822227550211172,2022-06-28 15:29:10.248831,2022-06-28 15:29:11.839095,0 days 00:00:01.590264,7.2,0.0008222102014701271,0.06312104540463728,11,3319,squared_hinge,4237673,False,l1,COMPLETE
80,0.8670322138450994,2022-06-28 15:29:16.253299,2022-06-28 15:29:17.769073,0 days 00:00:01.515774,5.9,0.00023323757636744803,0.07162174391145179,20,6842,squared_hinge,4013757,True,l1,COMPLETE
49,0.8662271220636979,2022-06-28 15:28:28.498164,2022-06-28 15:28:29.857803,0 days 00:00:01.359639,5.9,0.00046168446690028473,0.07886458272604098,10,3743,squared_hinge,2224890,False,l1,COMPLETE
24,0.8662271220636979,2022-06-28 15:27:51.551302,2022-06-28 15:27:52.923601,0 days 00:00:01.372299,5.9,0.0007645275234303586,0.09750255694309753,12,2802,squared_hinge,1757523,False,l1,COMPLETE
78,0.8527795919935457,2022-06-28 15:29:13.563826,2022-06-28 15:29:15.067601,0 days 00:00:01.503775,5.4,0.0004210677547078439,0.044205488571409164,5,3682,squared_hinge,6751427,False,l1,COMPLETE
62,0.8527795919935457,2022-06-28 15:28:49.031395,2022-06-28 15:28:50.583893,0 days 00:00:01.552498,8.5,0.0006636764959368982,0.038795387625058284,11,8646,squared_hinge,5318830,True,l1,COMPLETE
54,0.8527795919935457,2022-06-28 15:28:37.146202,2022-06-28 15:28:38.594443,0 days 00:00:01.448241,7.7,0.0007978380244577,0.09528644543438435,14,1893,squared_hinge,4427273,False,l1,COMPLETE
64,0.8527795919935457,2022-06-28 15:28:52.222722,2022-06-28 15:28:53.586352,0 days 00:00:01.363630,7.4,0.0008867091310218897,0.0037698386261738256,10,1577,squared_hinge,6581317,True,l1,COMPLETE
66,0.8527795919935457,2022-06-28 15:28:55.412047,2022-06-28 15:28:56.829809,0 days 00:00:01.417762,7.0,0.0005372345416552959,0.06650056609961824,13,5536,squared_hinge,3802631,False,l1,COMPLETE
71,0.8527795919935457,2022-06-28 15:29:02.491968,2022-06-28 15:29:04.128373,0 days 00:00:01.636405,7.6,0.0007193740685495872,0.03645908587600832,14,3205,squared_hinge,5115635,False,l1,COMPLETE
1,0.8527795919935457,2022-06-28 15:27:21.234103,2022-06-28 15:27:23.136534,0 days 00:00:01.902431,4.2,0.0001627243776555881,0.03362715033985078,8,8419,squared_hinge,7257334,True,l1,COMPLETE
37,0.8527795919935457,2022-06-28 15:28:12.118527,2022-06-28 15:28:13.877331,0 days 00:00:01.758804,7.1,0.000772757922278105,0.09300932119823488,20,2316,squared_hinge,6512637,True,l1,COMPLETE
73,0.8527795919935457,2022-06-28 15:29:05.712688,2022-06-28 15:29:07.266008,0 days 00:00:01.553320,9.6,0.0008639295776865522,0.04535548320623893,13,4817,squared_hinge,4811809,False,l1,COMPLETE
94,0.8527795919935457,2022-06-28 15:29:38.313698,2022-06-28 15:29:39.772826,0 days 00:00:01.459128,8.1,0.000449768281245428,0.0705381437858096,16,6227,squared_hinge,6385016,False,l1,COMPLETE
