iteration,recall,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
54,0.9162288329519451,2022-06-28 15:18:49.937574,2022-06-28 15:18:51.389144,0 days 00:00:01.451570,6.7,0.00047524840290956417,0.07035082688380251,11,8895,hinge,1619401,False,l1,COMPLETE
20,0.9160823798627002,2022-06-28 15:17:52.896614,2022-06-28 15:17:54.327836,0 days 00:00:01.431222,3.0000000000000004,0.0008246573752159702,0.023757352907841235,16,5413,hinge,5901436,False,l1,COMPLETE
74,0.915954233409611,2022-06-28 15:19:21.040501,2022-06-28 15:19:22.520971,0 days 00:00:01.480470,8.2,0.00047106534448846814,0.040898210218862974,9,8595,hinge,9909167,False,l1,COMPLETE
39,0.9153318077803204,2022-06-28 15:18:24.148352,2022-06-28 15:18:26.117845,0 days 00:00:01.969493,2.1,0.00022761255135956952,0.020082813479846168,20,7779,hinge,6096886,False,l1,COMPLETE
82,0.9152768878718536,2022-06-28 15:19:36.868582,2022-06-28 15:19:38.302683,0 days 00:00:01.434101,3.3000000000000003,0.0005907823300417617,0.003916285736882234,13,9425,hinge,5346617,False,l1,COMPLETE
78,0.9150022883295195,2022-06-28 15:19:30.546765,2022-06-28 15:19:31.992057,0 days 00:00:01.445292,1.7000000000000002,0.000552042186595689,0.0359304462200801,9,7807,hinge,1604313,False,l1,COMPLETE
24,0.9132631578947369,2022-06-28 15:17:58.547116,2022-06-28 15:18:01.985661,0 days 00:00:03.438545,1.9000000000000001,0.00017905519927997418,0.03374393338388441,10,7302,hinge,1010104,False,l1,COMPLETE
37,0.9130068649885583,2022-06-28 15:18:18.931198,2022-06-28 15:18:23.543313,0 days 00:00:04.612115,6.3,0.00010201860914882329,0.006068341037246244,8,5396,hinge,9426520,True,l1,COMPLETE
48,0.9129336384439359,2022-06-28 15:18:38.767490,2022-06-28 15:18:41.861239,0 days 00:00:03.093749,3.7,0.00018153403915851566,0.012397870761327156,7,4828,hinge,1437260,True,l1,COMPLETE
90,0.9103890160183067,2022-06-28 15:19:46.998032,2022-06-28 15:19:50.120594,0 days 00:00:03.122562,0.7000000000000001,0.0003681481114019753,0.011793217798626751,5,7235,hinge,8506851,False,l1,COMPLETE
25,0.9103890160183067,2022-06-28 15:18:01.985803,2022-06-28 15:18:05.104550,0 days 00:00:03.118747,0.7000000000000001,0.00037418243262370816,0.009516597535191379,7,8991,hinge,570585,False,l1,COMPLETE
55,0.9097299771167048,2022-06-28 15:18:51.389353,2022-06-28 15:18:52.905450,0 days 00:00:01.516097,5.6,0.00040496190546374214,0.06807478774711469,12,8218,hinge,844916,False,l1,COMPLETE
71,0.9097116704805492,2022-06-28 15:19:16.917946,2022-06-28 15:19:18.417964,0 days 00:00:01.500018,8.3,0.0005143914450910092,0.02603510819281837,10,9676,hinge,692452,False,l1,COMPLETE
5,0.9097116704805492,2022-06-28 15:17:32.513168,2022-06-28 15:17:33.921696,0 days 00:00:01.408528,8.3,0.0002860216022750041,0.03475816271407536,14,7571,hinge,3361478,True,l1,COMPLETE
75,0.9092356979405034,2022-06-28 15:19:22.521153,2022-06-28 15:19:27.430884,0 days 00:00:04.909731,3.9000000000000004,4.6810782803412905e-05,0.03146203822728383,13,9337,hinge,839278,False,l1,COMPLETE
16,0.9088329519450801,2022-06-28 15:17:46.719416,2022-06-28 15:17:48.087422,0 days 00:00:01.368006,3.2,0.0004985353001497582,0.0010898813427679607,11,2149,hinge,4858238,True,l1,COMPLETE
76,0.9065629290617849,2022-06-28 15:19:27.431078,2022-06-28 15:19:28.838644,0 days 00:00:01.407566,7.0,0.0003242407164995149,0.020969986293280174,11,9713,hinge,370553,True,l1,COMPLETE
43,0.9065446224256293,2022-06-28 15:18:31.394830,2022-06-28 15:18:32.792935,0 days 00:00:01.398105,5.8,0.00040253116497284894,0.0053921210705595475,6,8659,hinge,2443178,False,l1,COMPLETE
42,0.8978489702517163,2022-06-28 15:18:29.114207,2022-06-28 15:18:31.394670,0 days 00:00:02.280463,4.8,0.00030771794772888907,0.028370082051457683,13,9574,hinge,3208905,False,l1,COMPLETE
81,0.8973180778032036,2022-06-28 15:19:35.152016,2022-06-28 15:19:36.868401,0 days 00:00:01.716385,1.1,0.0006229986746908223,0.009360958029653244,12,8563,hinge,4125872,False,l1,COMPLETE
50,0.8961830663615561,2022-06-28 15:18:43.887345,2022-06-28 15:18:45.509371,0 days 00:00:01.622026,4.3,0.0005044435963760848,0.05744648493059888,15,7590,hinge,258152,True,l1,COMPLETE
83,0.8960549199084669,2022-06-28 15:19:38.302874,2022-06-28 15:19:39.945882,0 days 00:00:01.643008,1.4000000000000001,0.0005463431857503397,0.00908149124306225,11,9737,hinge,3161087,False,l1,COMPLETE
