iteration,f1_weighted,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
12,0.9466162300856525,2022-06-28 21:42:49.789185,2022-06-28 21:42:51.253945,0 days 00:00:01.464760,0.7000000000000001,0.0005558966766403482,0.09724407452310001,15,9855,hinge,6952014,True,l1,COMPLETE
31,0.9466162300856525,2022-06-28 21:43:16.501016,2022-06-28 21:43:17.915824,0 days 00:00:01.414808,0.7000000000000001,0.0005756842552890652,0.04644122998703182,14,9302,hinge,6212833,True,l1,COMPLETE
10,0.9435992333399736,2022-06-28 21:42:46.937253,2022-06-28 21:42:48.368918,0 days 00:00:01.431665,0.1,0.0005836868453185222,0.06805771663007823,15,9513,hinge,5775957,True,l1,COMPLETE
44,0.9435992333399736,2022-06-28 21:43:36.838146,2022-06-28 21:43:38.306902,0 days 00:00:01.468756,0.1,0.0009270573071040026,0.08401250820120641,16,2610,hinge,7351908,False,l1,COMPLETE
93,0.9435992333399736,2022-06-28 21:45:33.787338,2022-06-28 21:45:35.252309,0 days 00:00:01.464971,0.1,6.349826620816862e-05,0.005434057701294357,18,6190,hinge,5951857,False,l1,COMPLETE
78,0.9432360862119694,2022-06-28 21:44:29.808705,2022-06-28 21:44:32.873134,0 days 00:00:03.064429,0.1,2.3408025567262124e-05,0.04358094615936576,17,3853,hinge,7378662,False,l1,COMPLETE
68,0.9428504802637849,2022-06-28 21:44:14.403158,2022-06-28 21:44:15.668250,0 days 00:00:01.265092,0.4,0.0004619613472536182,0.04613357817342671,14,6135,hinge,6456778,False,l1,COMPLETE
64,0.9428504802637849,2022-06-28 21:44:08.416230,2022-06-28 21:44:09.675135,0 days 00:00:01.258905,0.4,0.0005907895024466706,0.049849317501704876,16,5288,hinge,8192456,False,l1,COMPLETE
56,0.9428504802637849,2022-06-28 21:43:56.407295,2022-06-28 21:43:57.682971,0 days 00:00:01.275676,0.4,0.0004948628796865303,0.013291217716123072,13,1691,hinge,5716650,False,l1,COMPLETE
33,0.9421648316829888,2022-06-28 21:43:19.693242,2022-06-28 21:43:21.124150,0 days 00:00:01.430908,1.0,0.0007997483077079098,0.0512745181345255,9,7459,hinge,6238221,True,l1,COMPLETE
