iteration,roc_weighted,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
32,0.9236583802516547,2022-06-28 14:59:00.986380,2022-06-28 14:59:02.991249,0 days 00:00:02.004869,3.5000000000000004,0.0007688560223749973,0.03386148015335824,19.0,8946.0,squared_hinge,4567092.0,False,l1,COMPLETE
86,0.9212690696589482,2022-06-28 15:00:13.647807,2022-06-28 15:00:15.134834,0 days 00:00:01.487027,2.3000000000000003,0.00035604457256874277,0.050331632720597264,5.0,6810.0,squared_hinge,2549015.0,False,l1,COMPLETE
11,0.9211999978730565,2022-06-28 14:58:31.865760,2022-06-28 14:58:33.747789,0 days 00:00:01.882029,3.3000000000000003,0.000962295239665684,0.031282415112446366,15.0,7099.0,squared_hinge,3533816.0,True,l1,COMPLETE
43,0.9211881979881053,2022-06-28 14:59:13.202897,2022-06-28 14:59:14.978853,0 days 00:00:01.775956,4.9,0.0009363178633240148,0.02216021378548648,18.0,8687.0,squared_hinge,8599329.0,False,l1,COMPLETE
65,0.9211502614323572,2022-06-28 14:59:45.113968,2022-06-28 14:59:46.768052,0 days 00:00:01.654084,5.4,0.0008568070672854504,0.01959612500715809,19.0,125.0,squared_hinge,7125792.0,True,l1,COMPLETE
95,0.9210495749335016,2022-06-28 15:00:25.525200,2022-06-28 15:00:27.343717,0 days 00:00:01.818517,2.4000000000000004,0.00036221288141914383,0.09292946721491331,5.0,6184.0,squared_hinge,5032983.0,False,l1,COMPLETE
42,0.9208362923848593,2022-06-28 14:59:11.577491,2022-06-28 14:59:13.202752,0 days 00:00:01.625261,4.0,0.0006469134086621809,0.0132915781524224,20.0,7499.0,squared_hinge,6026614.0,False,l1,COMPLETE
59,0.9208362923848593,2022-06-28 14:59:36.343207,2022-06-28 14:59:38.281494,0 days 00:00:01.938287,4.0,0.0005530875521105961,0.02930707258205994,17.0,6842.0,squared_hinge,3715198.0,False,l1,COMPLETE
30,0.9206877848087497,2022-06-28 14:58:58.000548,2022-06-28 14:58:59.418014,0 days 00:00:01.417466,1.8000000000000003,0.0009202732704677969,0.001703928770783205,17.0,6592.0,squared_hinge,9005948.0,False,l1,COMPLETE
56,0.9195323320355424,2022-06-28 14:59:31.690092,2022-06-28 14:59:33.495304,0 days 00:00:01.805212,4.7,0.0007057321208957334,0.019470230423651234,18.0,9059.0,squared_hinge,5256035.0,True,l1,COMPLETE
