iteration,precision,datetime_start,datetime_complete,duration,alpha,max_iter,selection,tol,state
980,0.9999784073242356,2022-06-13 23:56:31.986830,2022-06-13 23:56:32.961363,0 days 00:00:00.974533,1.134804393816228,2122579,random,0.01732361419940628,COMPLETE
993,0.9999784063917081,2022-06-13 23:56:44.531862,2022-06-13 23:56:45.508049,0 days 00:00:00.976187,1.1277806621628284,2124077,random,0.0164882749885997,COMPLETE
996,0.9999784063917081,2022-06-13 23:56:47.702286,2022-06-13 23:56:48.683616,0 days 00:00:00.981330,1.1238686214703242,2202675,random,0.016961493605126398,COMPLETE
995,0.9999784063917081,2022-06-13 23:56:46.414358,2022-06-13 23:56:47.701572,0 days 00:00:01.287214,1.1279831593895533,2181821,random,0.016862904862197953,COMPLETE
997,0.9999784054591,2022-06-13 23:56:48.684320,2022-06-13 23:56:49.663778,0 days 00:00:00.979458,1.1155343036186758,2226089,random,0.0170771943255488,COMPLETE
986,0.9999784054591,2022-06-13 23:56:37.708731,2022-06-13 23:56:38.992449,0 days 00:00:01.283718,1.1189038985673387,2142194,random,0.017163167798081806,COMPLETE
985,0.9999784049927657,2022-06-13 23:56:36.724516,2022-06-13 23:56:37.707981,0 days 00:00:00.983465,1.0912892464857527,2145025,random,0.01714500661455963,COMPLETE
982,0.9999784049927657,2022-06-13 23:56:33.875081,2022-06-13 23:56:34.847176,0 days 00:00:00.972095,1.0899277359229833,2208609,random,0.017060050200783113,COMPLETE
983,0.9999784049927657,2022-06-13 23:56:34.848031,2022-06-13 23:56:35.835721,0 days 00:00:00.987690,1.1080920819085462,2187169,random,0.01718849922920965,COMPLETE
951,0.9999784045264113,2022-06-13 23:56:03.368734,2022-06-13 23:56:04.326290,0 days 00:00:00.957556,1.0800309833120671,1974553,random,0.01696781546625247,COMPLETE
969,0.9999784026607922,2022-06-13 23:56:21.376823,2022-06-13 23:56:22.347895,0 days 00:00:00.971072,1.0363001085432708,2023605,random,0.017207149205384572,COMPLETE
968,0.9999784012613664,2022-06-13 23:56:20.390402,2022-06-13 23:56:21.376156,0 days 00:00:00.985754,1.025191712662523,2032058,random,0.01717862173017154,COMPLETE
938,0.9999784007948508,2022-06-13 23:55:50.248187,2022-06-13 23:55:51.192648,0 days 00:00:00.944461,1.0194618628884926,1629494,random,0.01715428567351925,COMPLETE
937,0.9999783998617591,2022-06-13 23:55:49.294959,2022-06-13 23:55:50.247442,0 days 00:00:00.952483,1.0091873193191971,1650300,random,0.016599188881923688,COMPLETE
978,0.9999783998617591,2022-06-13 23:56:30.059069,2022-06-13 23:56:31.022563,0 days 00:00:00.963494,0.9962440250646939,1930388,random,0.016746648163551193,COMPLETE
979,0.9999783998617591,2022-06-13 23:56:31.023358,2022-06-13 23:56:31.986024,0 days 00:00:00.962666,0.9946974656884288,2078890,random,0.017076773542356528,COMPLETE
972,0.9999783998617591,2022-06-13 23:56:24.237481,2022-06-13 23:56:25.199326,0 days 00:00:00.961845,1.0119821140819838,2030461,random,0.017320257032381985,COMPLETE
961,0.9999783989285869,2022-06-13 23:56:13.537743,2022-06-13 23:56:14.510725,0 days 00:00:00.972982,0.9763461524638308,1940414,random,0.016914363989260228,COMPLETE
955,0.9999783984619705,2022-06-13 23:56:07.479874,2022-06-13 23:56:08.439566,0 days 00:00:00.959692,0.9750081767600174,1836818,random,0.016578372402626284,COMPLETE
967,0.9999783970620004,2022-06-13 23:56:19.430927,2022-06-13 23:56:20.389677,0 days 00:00:00.958750,0.9373441528257381,2052294,random,0.016880606348981853,COMPLETE
942,0.9999783970620004,2022-06-13 23:55:53.961294,2022-06-13 23:55:54.929558,0 days 00:00:00.968264,0.9498210171097046,1873812,random,0.012508541362896182,COMPLETE
