iteration,recall,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
962,0.0,2022-06-12 19:38:45.158402,2022-06-12 19:38:45.954470,0 days 00:00:00.796068,0.5753723541346648,True,0.5488631642037564,811744.0,True,cyclic,0.07565279504332191,COMPLETE
2930,0.0,2022-06-13 02:39:15.133733,2022-06-13 02:39:16.951685,0 days 00:00:01.817952,0.6057185906984478,True,0.5652655699845314,8691091.0,True,cyclic,0.08180239724943932,COMPLETE
2101,0.0,2022-06-13 02:17:40.662781,2022-06-13 02:17:42.107351,0 days 00:00:01.444570,0.4191327184919707,True,0.7266067724983079,3207371.0,True,cyclic,0.09862475757120556,COMPLETE
440,0.0,2022-06-12 19:31:54.140797,2022-06-12 19:31:54.737362,0 days 00:00:00.596565,0.5730391441996717,True,0.5938995466425069,3172271.0,True,cyclic,0.06740472540432024,COMPLETE
2120,0.0,2022-06-13 02:18:06.439089,2022-06-13 02:18:07.869577,0 days 00:00:01.430488,0.48392726502415995,True,0.6606994501507901,2513079.0,True,cyclic,0.07133410785597213,COMPLETE
2140,0.0,2022-06-13 02:18:33.835445,2022-06-13 02:18:35.274153,0 days 00:00:01.438708,0.6262939017508694,True,0.5872744689710429,2157443.0,True,cyclic,0.09327922341864354,COMPLETE
2158,0.0,2022-06-13 02:18:58.980949,2022-06-13 02:19:00.455089,0 days 00:00:01.474140,0.6828638350461079,True,0.5013603419246176,3816191.0,True,cyclic,0.08045576407197957,COMPLETE
420,0.0,2022-06-12 19:31:40.799065,2022-06-12 19:31:41.395948,0 days 00:00:00.596883,0.5772946782845971,True,0.5843694495156847,2828076.0,True,cyclic,0.06823731975596353,COMPLETE
2084,0.0,2022-06-13 02:17:17.388032,2022-06-13 02:17:18.811824,0 days 00:00:01.423792,0.5729209477918439,True,0.5789935847409081,2170344.0,True,cyclic,0.06944181071721783,COMPLETE
2178,0.0,2022-06-13 02:19:26.934284,2022-06-13 02:19:28.405120,0 days 00:00:01.470836,0.5776069133448939,True,0.17068715125580514,2732888.0,True,cyclic,0.09780775077332776,COMPLETE
2196,0.0,2022-06-13 02:19:51.888309,2022-06-13 02:19:53.142959,0 days 00:00:01.254650,0.43909607427108144,True,0.648045989967764,1753053.0,True,cyclic,0.09823891097440637,COMPLETE
