iteration,precision,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
679,0.99997826275976,2022-06-14 02:29:54.358644,2022-06-14 02:29:55.354774,0 days 00:00:00.996130,1.4904043417812296,True,0.8103476947201059,9571246,False,random,0.016375015897495026,COMPLETE
897,0.99997826275976,2022-06-14 02:33:41.901358,2022-06-14 02:33:43.331421,0 days 00:00:01.430063,1.3906283124835812,True,0.8649732934209594,9287021,False,random,0.01639003925171235,COMPLETE
800,0.9999782632322574,2022-06-14 02:31:56.967459,2022-06-14 02:31:58.034909,0 days 00:00:01.067450,1.4546275283463577,True,0.8435829517920406,9394686,False,random,0.014656520079043181,COMPLETE
737,0.9999782632322574,2022-06-14 02:30:51.886341,2022-06-14 02:30:52.920585,0 days 00:00:01.034244,1.5600891150380019,True,0.7908588319093912,8737417,False,random,0.014293540418249722,COMPLETE
744,0.9999782632322574,2022-06-14 02:30:58.933192,2022-06-14 02:30:59.981124,0 days 00:00:01.047932,1.499687792997186,True,0.823473713889611,9781293,False,random,0.014613060042396965,COMPLETE
971,0.9999782632322574,2022-06-14 02:35:05.091840,2022-06-14 02:35:06.231792,0 days 00:00:01.139952,1.4471165511008586,True,0.8545330966769622,9763476,False,random,0.016783800052332504,COMPLETE
919,0.9999782632322574,2022-06-14 02:34:07.419294,2022-06-14 02:34:08.544397,0 days 00:00:01.125103,1.5235368226541475,True,0.805334548881736,9637371,False,random,0.015929924325363398,COMPLETE
817,0.9999782632322574,2022-06-14 02:32:14.606848,2022-06-14 02:32:15.685493,0 days 00:00:01.078645,1.4995443599213818,True,0.8126592023225627,9059470,False,random,0.015761931101161104,COMPLETE
706,0.9999782632322574,2022-06-14 02:30:20.793308,2022-06-14 02:30:21.810264,0 days 00:00:01.016956,1.4678329692361176,True,0.832089731293881,8222262,False,random,0.014159414415899331,COMPLETE
647,0.9999782632322574,2022-06-14 02:29:23.691680,2022-06-14 02:29:24.702003,0 days 00:00:01.010323,1.514974348024212,True,0.8136406263747714,9719948,False,random,0.015211214991231422,COMPLETE
53,0.9999782632322574,2022-06-14 02:21:34.527898,2022-06-14 02:21:35.358666,0 days 00:00:00.830768,1.8039811338376983,True,0.6422602882633283,7816250,False,cyclic,0.04342876423168081,COMPLETE
855,0.9999782637047342,2022-06-14 02:32:55.692254,2022-06-14 02:32:56.816850,0 days 00:00:01.124596,1.5691381276483118,True,0.7964197832113692,9262747,False,random,0.017023927028322332,COMPLETE
960,0.9999782637047342,2022-06-14 02:34:53.344190,2022-06-14 02:34:54.481672,0 days 00:00:01.137482,1.477512601705923,True,0.8482535609859141,8728290,False,random,0.016964744657908287,COMPLETE
