iteration,precision,datetime_start,datetime_complete,duration,alpha,solver,state
285,0.6200864431506756,2022-06-12 16:30:58.985622,2022-06-12 16:30:59.493288,0 days 00:00:00.507666,5.208071135624355,eig,COMPLETE
10,0.6200864431506756,2022-06-12 16:27:13.557250,2022-06-12 16:27:14.008336,0 days 00:00:00.451086,6.618852495087487,eig,COMPLETE
851,0.6200864431506756,2022-06-12 16:39:35.451596,2022-06-12 16:39:36.076521,0 days 00:00:00.624925,7.575431563127145,eig,COMPLETE
870,0.6200864431506756,2022-06-12 16:39:54.013161,2022-06-12 16:39:54.632867,0 days 00:00:00.619706,7.791462385593004,eig,COMPLETE
26,0.6200864431506756,2022-06-12 16:27:25.769974,2022-06-12 16:27:26.221362,0 days 00:00:00.451388,0.035951901926310204,eig,COMPLETE
755,0.6200864431506756,2022-06-12 16:38:02.960792,2022-06-12 16:38:03.568066,0 days 00:00:00.607274,8.714555386012039,eig,COMPLETE
140,0.6200864431506756,2022-06-12 16:28:56.583131,2022-06-12 16:28:57.067870,0 days 00:00:00.484739,5.196507105170035,eig,COMPLETE
2,0.6200864431506756,2022-06-12 16:27:07.871033,2022-06-12 16:27:08.289529,0 days 00:00:00.418496,5.082323404363337,eig,COMPLETE
383,0.6200864431506756,2022-06-12 16:32:23.551376,2022-06-12 16:32:24.083621,0 days 00:00:00.532245,8.238506470722122,eig,COMPLETE
29,0.6200864431506756,2022-06-12 16:27:27.853392,2022-06-12 16:27:28.315290,0 days 00:00:00.461898,2.466141778615576,eig,COMPLETE
985,0.6200864431506756,2022-06-12 16:41:48.180302,2022-06-12 16:41:48.832425,0 days 00:00:00.652123,5.02055156110915,eig,COMPLETE
169,0.6200864431506756,2022-06-12 16:29:20.640590,2022-06-12 16:29:21.132344,0 days 00:00:00.491754,8.085569211297484,eig,COMPLETE
18,0.6200864431506756,2022-06-12 16:27:19.675040,2022-06-12 16:27:20.133327,0 days 00:00:00.458287,3.5327927129161596,eig,COMPLETE
716,0.6200948978757056,2022-06-12 16:37:26.020788,2022-06-12 16:37:26.618463,0 days 00:00:00.597675,9.124286686000579,eig,COMPLETE
324,0.6201033528312949,2022-06-12 16:31:32.489201,2022-06-12 16:31:33.012146,0 days 00:00:00.522945,9.844114632881222,eig,COMPLETE
735,0.6201033528312949,2022-06-12 16:37:43.995026,2022-06-12 16:37:44.591255,0 days 00:00:00.596229,9.942646213591138,eig,COMPLETE
501,0.6201033528312949,2022-06-12 16:34:08.104680,2022-06-12 16:34:08.657752,0 days 00:00:00.553072,9.739789174851301,eig,COMPLETE
6,0.6201033528312949,2022-06-12 16:27:10.736201,2022-06-12 16:27:11.156946,0 days 00:00:00.420745,9.855822446299854,eig,COMPLETE
483,0.6201033528312949,2022-06-12 16:33:51.849676,2022-06-12 16:33:52.409918,0 days 00:00:00.560242,9.292216873214283,eig,COMPLETE
676,0.8642077864540068,2022-06-12 16:36:48.544214,2022-06-12 16:36:49.482116,0 days 00:00:00.937902,5.015765938170548,svd,COMPLETE
677,0.8642077864540068,2022-06-12 16:36:49.482639,2022-06-12 16:36:50.426568,0 days 00:00:00.943929,5.163824377613463,svd,COMPLETE
644,0.8642077864540068,2022-06-12 16:36:18.364637,2022-06-12 16:36:19.295612,0 days 00:00:00.930975,4.7840389972246244,svd,COMPLETE
