iteration,recall,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
618,0.8755514874141876,2022-07-03 02:03:24.965987,2022-07-03 02:03:30.369599,0 days 00:00:05.403612,0.1,0.6125365515167951,486,49832519,l1,0.010009900223863707,COMPLETE
949,0.8670389016018306,2022-07-03 02:16:12.942109,2022-07-03 02:16:17.351540,0 days 00:00:04.409431,0.9,0.546201204981684,464,46184203,l1,0.004795324374907255,COMPLETE
704,0.8657940503432494,2022-07-03 02:06:24.900699,2022-07-03 02:06:39.198645,0 days 00:00:14.297946,0.1,0.8441834308965989,465,22233291,l1,0.0036639838898034987,COMPLETE
995,0.8637986270022884,2022-07-03 02:18:10.334981,2022-07-03 02:18:13.157605,0 days 00:00:02.822624,1.8000000000000003,0.5825667724586632,490,22797283,l1,0.0035424103012918506,COMPLETE
986,0.8436613272311213,2022-07-03 02:17:47.732697,2022-07-03 02:17:50.896571,0 days 00:00:03.163874,1.7000000000000002,0.6012702707366175,462,24386222,l1,0.0044223710625320685,COMPLETE
696,0.8412265446224256,2022-07-03 02:06:01.397315,2022-07-03 02:06:03.879341,0 days 00:00:02.482026,0.1,0.6040255841639428,468,44479974,l1,0.008893491323342266,COMPLETE
769,0.8381510297482837,2022-07-03 02:09:08.475519,2022-07-03 02:09:12.284552,0 days 00:00:03.809033,1.7000000000000002,0.8694012716997848,491,40817930,l1,0.0028959423313172973,COMPLETE
997,0.8375102974828376,2022-07-03 02:18:15.634473,2022-07-03 02:18:19.146630,0 days 00:00:03.512157,1.7000000000000002,0.5658776858575969,500,22588936,l1,0.0031236652889372095,COMPLETE
616,0.8321647597254005,2022-07-03 02:03:20.376170,2022-07-03 02:03:22.685143,0 days 00:00:02.308973,0.1,0.8530841254985689,479,46125497,l1,0.011611292558655104,COMPLETE
700,0.8299496567505721,2022-07-03 02:06:11.159537,2022-07-03 02:06:17.606616,0 days 00:00:06.447079,0.1,0.591899582252906,440,46511987,l1,0.003954967271383946,COMPLETE
841,0.8184347826086956,2022-07-03 02:11:59.400300,2022-07-03 02:12:02.997348,0 days 00:00:03.597048,1.0,0.9336342679999577,445,46302042,l1,0.01016759232259692,COMPLETE
444,0.8135102974828375,2022-07-03 01:58:05.636638,2022-07-03 01:58:08.418609,0 days 00:00:02.781971,0.1,0.7539795657384141,438,48106441,l1,0.003928376426991932,COMPLETE
745,0.8117528604118993,2022-07-03 02:08:12.872452,2022-07-03 02:08:15.336747,0 days 00:00:02.464295,0.9,0.8739453867251225,448,47468922,l1,0.00649209582932955,COMPLETE
847,0.7913226544622426,2022-07-03 02:12:14.919035,2022-07-03 02:12:17.442488,0 days 00:00:02.523453,0.9,0.5146351109568919,464,47022306,l1,0.008324371035342346,COMPLETE
932,0.7860320366132723,2022-07-03 02:15:30.064568,2022-07-03 02:15:33.894840,0 days 00:00:03.830272,1.4000000000000001,0.8357879557955998,487,44747367,l1,0.003885457098715785,COMPLETE
741,0.7848970251716247,2022-07-03 02:08:02.481748,2022-07-03 02:08:05.237759,0 days 00:00:02.756011,0.7000000000000001,0.8417263412793744,470,22830316,l1,0.002874381230387591,COMPLETE
954,0.7847139588100687,2022-07-03 02:16:28.034762,2022-07-03 02:16:31.035592,0 days 00:00:03.000830,1.1,0.5211610676010608,461,47328065,l1,0.007056145398477218,COMPLETE
980,0.7840915331807781,2022-07-03 02:17:30.769746,2022-07-03 02:17:34.324620,0 days 00:00:03.554874,1.2000000000000002,0.5828388546981355,482,24090623,l1,0.0015412429607014676,COMPLETE
761,0.7835606407322655,2022-07-03 02:08:48.770852,2022-07-03 02:08:51.247542,0 days 00:00:02.476690,0.9,0.8785206110149117,140,21917216,l1,0.006255573840939493,COMPLETE
735,0.7832860411899314,2022-07-03 02:07:49.720400,2022-07-03 02:07:52.605788,0 days 00:00:02.885388,0.9,0.8691018668341178,460,47843385,l1,0.006547557820413158,COMPLETE
800,0.7831945080091534,2022-07-03 02:10:22.106834,2022-07-03 02:10:24.672719,0 days 00:00:02.565885,0.6,0.8441266931185747,447,25587946,l1,0.004255621660582755,COMPLETE
857,0.7831395881006865,2022-07-03 02:12:35.133817,2022-07-03 02:12:37.394722,0 days 00:00:02.260905,1.3000000000000003,0.5397187705835101,443,47210224,l1,0.010172448238012825,COMPLETE
838,0.7815469107551487,2022-07-03 02:11:51.457429,2022-07-03 02:11:53.867959,0 days 00:00:02.410530,0.4,0.6407945755921811,462,45542135,l1,0.007791928714372315,COMPLETE
840,0.7813272311212814,2022-07-03 02:11:56.380438,2022-07-03 02:11:59.399327,0 days 00:00:03.018889,0.7000000000000001,0.8106866527444764,440,45201220,l1,0.00865625067921688,COMPLETE
871,0.7809427917620138,2022-07-03 02:13:06.343259,2022-07-03 02:13:09.351858,0 days 00:00:03.008599,1.0,0.5420645034733966,444,47710532,l1,0.005111650760510858,COMPLETE
991,0.7809244851258581,2022-07-03 02:18:00.357395,2022-07-03 02:18:03.109346,0 days 00:00:02.751951,1.6,0.5587045355904469,469,23400718,l1,0.0029736412527919,COMPLETE
791,0.7805766590389016,2022-07-03 02:10:00.382885,2022-07-03 02:10:02.998023,0 days 00:00:02.615138,0.6,0.890891276671186,488,23349120,l1,0.006082269171664756,COMPLETE
721,0.7780869565217391,2022-07-03 02:07:15.430524,2022-07-03 02:07:18.258048,0 days 00:00:02.827524,6.9,0.2093171855015302,454,18091629,l1,0.0013576378747392264,COMPLETE
427,0.7770983981693363,2022-07-03 01:57:34.954342,2022-07-03 01:57:36.808217,0 days 00:00:01.853875,0.1,0.7872795795774543,377,49708627,l1,0.09840991089620628,COMPLETE
609,0.7770983981693363,2022-07-03 02:03:06.632685,2022-07-03 02:03:08.558537,0 days 00:00:01.925852,0.1,0.8115524166819857,457,47104281,l1,0.09633714947666781,COMPLETE
430,0.7770983981693363,2022-07-03 01:57:40.535269,2022-07-03 01:57:42.400008,0 days 00:00:01.864739,0.1,0.734167437700544,468,46684119,l1,0.09671055937997039,COMPLETE
220,0.7770983981693363,2022-07-03 01:51:36.905304,2022-07-03 01:51:38.664962,0 days 00:00:01.759658,0.1,0.7043158417481737,397,43645355,l1,0.09733319708751699,COMPLETE
221,0.7770983981693363,2022-07-03 01:51:38.665305,2022-07-03 01:51:40.432793,0 days 00:00:01.767488,0.1,0.701024641111286,328,43961977,l1,0.09727629926063901,COMPLETE
604,0.7770983981693363,2022-07-03 02:02:58.196476,2022-07-03 02:03:00.114906,0 days 00:00:01.918430,0.1,0.7216575346942868,497,49782926,l1,0.09994192723381719,COMPLETE
606,0.7770983981693363,2022-07-03 02:03:00.846270,2022-07-03 02:03:02.777154,0 days 00:00:01.930884,0.1,0.826216305968491,478,21677996,l1,0.09981177598174841,COMPLETE
369,0.7770983981693363,2022-07-03 01:55:54.239554,2022-07-03 01:55:56.103805,0 days 00:00:01.864251,0.1,0.7682247398174263,439,46941655,l1,0.09811165576272841,COMPLETE
238,0.7770983981693363,2022-07-03 01:52:07.636125,2022-07-03 01:52:09.420316,0 days 00:00:01.784191,0.1,0.6791004370515812,393,36078701,l1,0.09749221411767647,COMPLETE
372,0.7770983981693363,2022-07-03 01:55:59.761666,2022-07-03 01:56:01.604475,0 days 00:00:01.842809,0.1,0.7817910069138558,439,46456844,l1,0.09666755539528071,COMPLETE
222,0.7770983981693363,2022-07-03 01:51:40.433053,2022-07-03 01:51:42.193865,0 days 00:00:01.760812,0.1,0.7082345543163978,401,45132804,l1,0.09700960834730529,COMPLETE
231,0.7770983981693363,2022-07-03 01:51:55.179270,2022-07-03 01:51:56.949394,0 days 00:00:01.770124,0.1,0.710910973724174,375,39430752,l1,0.09976829796841111,COMPLETE
