iteration,precision,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
19,0.917103631339614,2022-07-03 02:29:08.597764,2022-07-03 02:29:10.836026,0 days 00:00:02.238262,9.700000000000001,0.3979674229437728,114,18559398,l1,0.024381201502661307,COMPLETE
106,0.917103269105867,2022-07-03 02:31:53.733785,2022-07-03 02:31:56.642280,0 days 00:00:02.908495,7.1,0.3118786943969658,196,22537635,l1,0.002407020118985482,COMPLETE
112,0.9170191794324202,2022-07-03 02:32:11.209616,2022-07-03 02:32:13.470895,0 days 00:00:02.261279,9.9,0.28889547471276206,120,47637515,l1,0.010846333032841137,COMPLETE
278,0.9166919904493163,2022-07-03 02:38:20.389161,2022-07-03 02:38:24.613244,0 days 00:00:04.224083,4.0,0.42760993929801094,60,21582427,l1,0.0037658547928302133,COMPLETE
855,0.9165490740941754,2022-07-03 03:02:40.291273,2022-07-03 03:02:44.369376,0 days 00:00:04.078103,9.2,0.47965185600177446,159,28857092,l1,0.0049213178121097515,COMPLETE
787,0.9158795493934142,2022-07-03 02:59:00.584489,2022-07-03 02:59:04.070148,0 days 00:00:03.485659,3.2,0.6215206506363743,199,31403813,l1,0.003802186488814133,COMPLETE
540,0.9157684301642588,2022-07-03 02:48:32.339994,2022-07-03 02:48:35.731510,0 days 00:00:03.391516,9.2,0.2575002553278929,141,24052110,l1,0.003090774008357761,COMPLETE
791,0.915519685898135,2022-07-03 02:59:43.797963,2022-07-03 02:59:47.581426,0 days 00:00:03.783463,3.5000000000000004,0.5601141581443544,218,33444457,l1,0.003148104383928881,COMPLETE
685,0.9154572079401236,2022-07-03 02:54:39.889589,2022-07-03 02:54:44.025459,0 days 00:00:04.135870,9.700000000000001,0.36181301453069664,62,9667251,l1,0.001980317702531875,COMPLETE
727,0.9153974478410642,2022-07-03 02:56:18.808621,2022-07-03 02:56:21.815951,0 days 00:00:03.007330,3.3000000000000003,0.3508548303266189,132,29861871,l1,0.0015884752499117725,COMPLETE
422,0.9153577850473363,2022-07-03 02:43:47.577281,2022-07-03 02:43:50.102018,0 days 00:00:02.524737,3.3000000000000003,0.8920184120486256,71,18344744,l1,0.00338226214781666,COMPLETE
784,0.9153577850473363,2022-07-03 02:58:52.370451,2022-07-03 02:58:55.316504,0 days 00:00:02.946053,3.3000000000000003,0.5861729958183675,211,31678024,l1,0.0017719349659384312,COMPLETE
257,0.9153379549393414,2022-07-03 02:37:34.400466,2022-07-03 02:37:37.446695,0 days 00:00:03.046229,3.3000000000000003,0.7526169531173179,122,8914779,l1,0.0020285959430383312,COMPLETE
268,0.9151261580497801,2022-07-03 02:37:57.758893,2022-07-03 02:38:00.441411,0 days 00:00:02.682518,4.2,0.24828073754027405,168,23160650,l1,0.0033291052063799003,COMPLETE
287,0.9149318329365939,2022-07-03 02:38:42.729526,2022-07-03 02:38:45.716658,0 days 00:00:02.987132,4.2,0.397554699556335,62,21967858,l1,0.00673976653445104,COMPLETE
674,0.9148858013353789,2022-07-03 02:54:07.812610,2022-07-03 02:54:10.664944,0 days 00:00:02.852334,3.8000000000000003,0.3644733660981147,63,1081914,l1,0.0038542627089502048,COMPLETE
755,0.9146048444704201,2022-07-03 02:57:22.735301,2022-07-03 02:57:25.917487,0 days 00:00:03.182186,9.700000000000001,0.23975497253526562,172,16504604,l1,0.010172770884275503,COMPLETE
277,0.9145879756831015,2022-07-03 02:38:17.350873,2022-07-03 02:38:20.388850,0 days 00:00:03.037977,4.5,0.4247730710869315,60,22115103,l1,1.5511189339561615e-05,COMPLETE
304,0.9145737339649989,2022-07-03 02:39:18.322897,2022-07-03 02:39:21.002670,0 days 00:00:02.679773,4.5,0.28337969046411576,238,18777844,l1,0.001994400646884562,COMPLETE
384,0.914262284468806,2022-07-03 02:42:22.433972,2022-07-03 02:42:25.495643,0 days 00:00:03.061671,4.1,0.37123396972608336,174,13609340,l1,0.00419150477715486,COMPLETE
801,0.9137558360712433,2022-07-03 03:00:10.641086,2022-07-03 03:00:14.311006,0 days 00:00:03.669920,9.4,0.5790366365628483,213,33524987,l1,7.714320076116247e-05,COMPLETE
86,0.9135662237462495,2022-07-03 02:31:12.974764,2022-07-03 02:31:15.461502,0 days 00:00:02.486738,5.1,0.4578766810725791,181,23383350,l1,0.0029695482063240236,COMPLETE
504,0.9132874922348606,2022-07-03 02:47:05.369679,2022-07-03 02:47:08.089061,0 days 00:00:02.719382,4.3,0.49363951087520475,59,21977354,l1,0.00022681639039917774,COMPLETE
299,0.9125333104100404,2022-07-03 02:39:08.827992,2022-07-03 02:39:11.361298,0 days 00:00:02.533306,4.3999999999999995,0.4243503694028549,220,24576332,l1,0.009096961908136745,COMPLETE
989,0.9124165440156993,2022-07-03 03:08:02.608592,2022-07-03 03:08:05.205606,0 days 00:00:02.597014,7.9,0.49605587084522135,171,26511097,l1,0.008627284452491151,COMPLETE
233,0.911937506876444,2022-07-03 02:36:44.526827,2022-07-03 02:36:47.520977,0 days 00:00:02.994150,8.2,0.3192068467918318,188,24243069,l1,0.0020881438649769427,COMPLETE
193,0.9118758318663862,2022-07-03 02:35:16.141239,2022-07-03 02:35:18.657917,0 days 00:00:02.516678,3.8000000000000003,0.4127129829905648,175,25674824,l1,0.011134356890553969,COMPLETE
163,0.9117595282105448,2022-07-03 02:34:02.620039,2022-07-03 02:34:05.010655,0 days 00:00:02.390616,6.2,0.3232262799617769,110,19041533,l1,0.00015049971741583373,COMPLETE
536,0.9110060280742114,2022-07-03 02:48:22.554173,2022-07-03 02:48:24.967542,0 days 00:00:02.413369,9.0,0.35097662786590417,85,16118669,l1,0.0060635598673072204,COMPLETE
85,0.9109963748214874,2022-07-03 02:31:10.163912,2022-07-03 02:31:12.974571,0 days 00:00:02.810659,4.3999999999999995,0.41662243603364085,197,23141035,l1,0.0029729925781127728,COMPLETE
616,0.9108208722417487,2022-07-03 02:51:56.145395,2022-07-03 02:51:59.452460,0 days 00:00:03.307065,4.6,0.42442080104722624,75,24304496,l1,6.103827643870215e-05,COMPLETE
