iteration,recall,datetime_start,datetime_complete,duration,alpha,solver,state
350,0.8345629290617849,2022-06-13 22:33:36.141306,2022-06-13 22:33:36.696743,0 days 00:00:00.555437,1.6281511680674945,eig,COMPLETE
310,0.8345629290617849,2022-06-13 22:32:59.736199,2022-06-13 22:33:00.306684,0 days 00:00:00.570485,5.655240450846504,eig,COMPLETE
40,0.8345629290617849,2022-06-13 22:29:04.694621,2022-06-13 22:29:05.183953,0 days 00:00:00.489332,0.639744246770259,eig,COMPLETE
389,0.8345629290617849,2022-06-13 22:34:11.079881,2022-06-13 22:34:11.646247,0 days 00:00:00.566366,3.997202319760376,eig,COMPLETE
26,0.8345629290617849,2022-06-13 22:28:53.284296,2022-06-13 22:28:53.822054,0 days 00:00:00.537758,1.5927543734026477,eig,COMPLETE
7,0.8345629290617849,2022-06-13 22:28:38.496763,2022-06-13 22:28:38.990325,0 days 00:00:00.493562,2.0090582987180183,eig,COMPLETE
759,0.8345629290617849,2022-06-13 22:40:10.615953,2022-06-13 22:40:11.546319,0 days 00:00:00.930366,0.8921464979996403,eig,COMPLETE
546,0.8345629290617849,2022-06-13 22:36:38.944895,2022-06-13 22:36:39.565347,0 days 00:00:00.620452,2.050278963958544,eig,COMPLETE
9,0.8345629290617849,2022-06-13 22:28:39.816273,2022-06-13 22:28:40.334498,0 days 00:00:00.518225,3.1951025794635166,eig,COMPLETE
740,0.8345629290617849,2022-06-13 22:39:51.248119,2022-06-13 22:39:51.902331,0 days 00:00:00.654212,0.6361480192928326,eig,COMPLETE
291,0.8345629290617849,2022-06-13 22:32:42.636722,2022-06-13 22:32:43.207257,0 days 00:00:00.570535,5.52386863228904,eig,COMPLETE
18,0.8345629290617849,2022-06-13 22:28:46.757561,2022-06-13 22:28:47.266003,0 days 00:00:00.508442,5.561117546644337,eig,COMPLETE
991,0.8345629290617849,2022-06-13 22:44:14.756777,2022-06-13 22:44:15.485413,0 days 00:00:00.728636,7.712057308566329,eig,COMPLETE
2,0.8345629290617849,2022-06-13 22:28:34.697509,2022-06-13 22:28:35.150910,0 days 00:00:00.453401,7.46324597700236,eig,COMPLETE
971,0.8345629290617849,2022-06-13 22:43:53.093086,2022-06-13 22:43:53.808596,0 days 00:00:00.715510,4.957567154736461,eig,COMPLETE
270,0.8345629290617849,2022-06-13 22:32:23.803547,2022-06-13 22:32:24.359628,0 days 00:00:00.556081,4.652553316979787,eig,COMPLETE
507,0.8345629290617849,2022-06-13 22:36:01.496039,2022-06-13 22:36:02.098456,0 days 00:00:00.602417,0.8920309764866493,eig,COMPLETE
15,0.8345629290617849,2022-06-13 22:28:44.548005,2022-06-13 22:28:45.049021,0 days 00:00:00.501016,6.822458250112631,eig,COMPLETE
36,0.8345629290617849,2022-06-13 22:29:01.556924,2022-06-13 22:29:02.062536,0 days 00:00:00.505612,5.257249383449008,eig,COMPLETE
988,0.8494645308924486,2022-06-13 22:44:11.523072,2022-06-13 22:44:12.595328,0 days 00:00:01.072256,9.06225378086222,svd,COMPLETE
464,0.8494645308924486,2022-06-13 22:35:20.732174,2022-06-13 22:35:21.671922,0 days 00:00:00.939748,6.122736106476547,svd,COMPLETE
119,0.8494645308924486,2022-06-13 22:30:10.467820,2022-06-13 22:30:11.336641,0 days 00:00:00.868821,8.292718668288778,svd,COMPLETE
266,0.8494645308924486,2022-06-13 22:32:19.954295,2022-06-13 22:32:21.115768,0 days 00:00:01.161473,6.457174815410051,svd,COMPLETE
285,0.8494645308924486,2022-06-13 22:32:37.149647,2022-06-13 22:32:38.061422,0 days 00:00:00.911775,5.957394094225434,svd,COMPLETE
203,0.8494645308924486,2022-06-13 22:31:23.694718,2022-06-13 22:31:24.594978,0 days 00:00:00.900260,6.660691740142131,svd,COMPLETE
