iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
568,0.5,2022-06-12 19:17:03.296476,2022-06-12 19:17:04.234632,0 days 00:00:00.938156,0.6302016159848678,True,0.45071083430623404,3183049.0,True,random,0.06353203252269234,COMPLETE
762,0.5,2022-06-12 19:19:27.696667,2022-06-12 19:19:28.370007,0 days 00:00:00.673340,0.5014222265856516,True,0.5768960148840376,5275397.0,True,random,0.07874908775612315,COMPLETE
781,0.5,2022-06-12 19:19:42.954762,2022-06-12 19:19:43.620199,0 days 00:00:00.665437,0.49876458187558265,True,0.4044838171768067,3604844.0,True,random,0.05345012267558089,COMPLETE
1013,0.5,2022-06-12 21:08:20.214510,2022-06-12 21:08:21.165187,0 days 00:00:00.950677,0.35067185439187276,True,0.5984880079633114,1496111.0,True,random,0.07368982988864947,COMPLETE
128,0.5,2022-06-12 19:12:34.925602,2022-06-12 19:12:35.344649,0 days 00:00:00.419047,0.7259737954199416,True,0.5004149957204145,3728105.0,True,random,0.0612124650900626,COMPLETE
1865,0.5,2022-06-12 21:23:17.665436,2022-06-12 21:23:18.989935,0 days 00:00:01.324499,1.5631768944364737,True,0.4815578554133286,5890538.0,True,random,0.07318316919657882,COMPLETE
1032,0.5,2022-06-12 21:08:37.010740,2022-06-12 21:08:37.768880,0 days 00:00:00.758140,0.5236968187982164,True,0.5727202729274092,3090890.0,True,random,0.07209628742224466,COMPLETE
956,0.5,2022-06-12 19:22:05.695634,2022-06-12 19:22:06.439118,0 days 00:00:00.743484,0.2758543898226884,True,0.5806551015606386,1516427.0,True,random,0.07209515258695962,COMPLETE
1053,0.5,2022-06-12 21:08:55.138434,2022-06-12 21:08:55.911089,0 days 00:00:00.772655,0.3314610459875731,True,0.5641378249006321,1624627.0,True,random,0.06914414972150087,COMPLETE
936,0.5,2022-06-12 19:21:48.401795,2022-06-12 19:21:49.140443,0 days 00:00:00.738648,0.4302428710506764,True,0.5031339372522854,3003644.0,True,random,0.0668021619295966,COMPLETE
1072,0.5,2022-06-12 21:09:12.471751,2022-06-12 21:09:13.238807,0 days 00:00:00.767056,0.362525913363588,True,0.549162112593239,819226.0,True,random,0.0662262217441513,COMPLETE
917,0.5,2022-06-12 19:21:32.338500,2022-06-12 19:21:33.057922,0 days 00:00:00.719422,0.3514474972787799,True,0.578825900203136,1551239.0,True,random,0.07425166305086357,COMPLETE
1090,0.5,2022-06-12 21:09:28.497545,2022-06-12 21:09:29.472610,0 days 00:00:00.975065,0.4162576686969467,True,0.48345291351905706,664366.0,True,random,0.0636396041617582,COMPLETE
897,0.5,2022-06-12 19:21:15.950267,2022-06-12 19:21:16.661585,0 days 00:00:00.711318,0.38825635374730044,True,0.5146459474339524,1334605.0,True,random,0.06706285824993584,COMPLETE
879,0.5,2022-06-12 19:21:01.199632,2022-06-12 19:21:01.899180,0 days 00:00:00.699548,0.474520681001577,True,0.4883795448135141,1673693.0,True,random,0.07798327256850465,COMPLETE
1222,0.5,2022-06-12 21:11:31.244710,2022-06-12 21:11:32.077043,0 days 00:00:00.832333,0.03890694063645983,True,0.5297818543955675,9572144.0,True,random,0.0727843156653431,COMPLETE
1110,0.5,2022-06-12 21:09:46.753429,2022-06-12 21:09:47.721024,0 days 00:00:00.967595,0.4837906036917045,True,0.4775040049210578,2558784.0,True,random,0.0770616441876114,COMPLETE
841,0.5,2022-06-12 19:20:29.891162,2022-06-12 19:20:30.580773,0 days 00:00:00.689611,0.42652611600045437,True,0.49270214407601703,2206927.0,True,random,0.06911776713184506,COMPLETE
107,0.5,2022-06-12 19:12:23.878083,2022-06-12 19:12:24.293080,0 days 00:00:00.414997,0.5564203400126089,True,0.4328857067452257,3979868.0,True,random,0.05946902895520601,COMPLETE
1129,0.5,2022-06-12 21:10:03.993523,2022-06-12 21:10:04.778209,0 days 00:00:00.784686,0.40596860515456984,True,0.5339002650635756,1497561.0,True,random,0.06558542501385566,COMPLETE
819,0.5,2022-06-12 19:20:12.393931,2022-06-12 19:20:13.071129,0 days 00:00:00.677198,0.4270782533277939,True,0.5038474781160034,1802305.0,True,random,0.07416060517951441,COMPLETE
1847,0.5,2022-06-12 21:22:55.534044,2022-06-12 21:22:56.661341,0 days 00:00:01.127297,0.30911647919425156,True,0.5898936939598558,2980141.0,True,random,0.07998037739542134,COMPLETE
1147,0.5,2022-06-12 21:10:20.660032,2022-06-12 21:10:21.459292,0 days 00:00:00.799260,0.39429992015923443,True,0.5372679236963738,7561169.0,True,random,0.07635807411688535,COMPLETE
1884,0.5,2022-06-12 21:23:41.555358,2022-06-12 21:23:42.643977,0 days 00:00:01.088619,0.2376699480766848,True,0.5983495681677282,2715669.0,True,random,0.06571097129091706,COMPLETE
1167,0.5,2022-06-12 21:10:39.172734,2022-06-12 21:10:39.981447,0 days 00:00:00.808713,0.4794124597794337,True,0.46621122369632945,1622734.0,True,random,0.06928872505567872,COMPLETE
149,0.5,2022-06-12 19:12:45.785180,2022-06-12 19:12:46.208100,0 days 00:00:00.422920,1.2610940960426267,True,0.8127230143843115,2516395.0,True,random,0.05723099468030995,COMPLETE
1185,0.5,2022-06-12 21:10:55.959398,2022-06-12 21:10:56.771409,0 days 00:00:00.812011,1.341833203202557,True,0.4665398105936012,2193205.0,True,random,0.067041132453709,COMPLETE
800,0.5,2022-06-12 19:19:57.506437,2022-06-12 19:19:58.521690,0 days 00:00:01.015253,0.3921670530980055,True,0.46549070792531433,5386135.0,True,random,0.07227692202359101,COMPLETE
1204,0.5,2022-06-12 21:11:13.990643,2022-06-12 21:11:15.004082,0 days 00:00:01.013439,0.3682265187156846,True,0.5507631488222997,2360678.0,True,random,0.07583547603146919,COMPLETE
859,0.5,2022-06-12 19:20:44.587133,2022-06-12 19:20:45.286357,0 days 00:00:00.699224,0.28944812768572725,True,0.45494115687738407,1286174.0,True,random,0.07428643265653986,COMPLETE
59,0.5,2022-06-12 19:12:00.100891,2022-06-12 19:12:00.493288,0 days 00:00:00.392397,1.392767309853513,True,0.6994588940816577,5108477.0,True,random,0.05516603858148934,COMPLETE
1449,0.5,2022-06-12 21:15:18.480088,2022-06-12 21:15:19.392956,0 days 00:00:00.912868,0.36264722446675846,True,0.5647457210077463,3068826.0,True,random,0.07406212695273467,COMPLETE
29,0.5,2022-06-12 19:11:44.087789,2022-06-12 19:11:44.471410,0 days 00:00:00.383621,0.7069002072573212,True,0.07254443114286224,3329227.0,True,cyclic,0.058311307016004545,COMPLETE
1469,0.5,2022-06-12 21:15:39.582608,2022-06-12 21:15:40.509870,0 days 00:00:00.927262,0.4261496533822504,True,0.5326370004297127,2940515.0,True,random,0.08300731890151844,COMPLETE
1639,0.5,2022-06-12 21:18:47.115507,2022-06-12 21:18:48.339534,0 days 00:00:01.224027,0.30569619813409904,True,0.5600315920049723,2830887.0,True,random,0.08066739217313386,COMPLETE
390,0.5,2022-06-12 19:15:04.751849,2022-06-12 19:15:05.272143,0 days 00:00:00.520294,0.6893504772760142,True,0.5116741744756202,4337297.0,True,random,0.045282801831202,COMPLETE
26,0.5,2022-06-12 19:11:42.625388,2022-06-12 19:11:43.015177,0 days 00:00:00.389789,0.8474158636420048,False,0.9404924775874137,4994342.0,True,random,0.05629951797189799,COMPLETE
1790,0.5,2022-06-12 21:21:46.145041,2022-06-12 21:21:47.202653,0 days 00:00:01.057612,0.3880431425027041,True,0.5480478305340178,5340006.0,True,random,0.07777748996054834,COMPLETE
1659,0.5,2022-06-12 21:19:10.436217,2022-06-12 21:19:11.465830,0 days 00:00:01.029613,0.3537118257449639,True,0.5344388837069589,3137058.0,True,random,0.07716780238137533,COMPLETE
371,0.5,2022-06-12 19:14:53.158207,2022-06-12 19:14:53.666057,0 days 00:00:00.507850,0.6222226457611896,True,0.41670451513559,5295127.0,True,random,0.07022766227919525,COMPLETE
351,0.5,2022-06-12 19:14:40.816963,2022-06-12 19:14:41.314772,0 days 00:00:00.497809,0.6524565466860792,True,0.4241586096447073,5171664.0,True,random,0.057572066356605486,COMPLETE
1677,0.5,2022-06-12 21:19:31.419350,2022-06-12 21:19:32.396641,0 days 00:00:00.977291,0.37436919322994966,True,0.5685840569855547,2722957.0,True,random,0.07361415431835122,COMPLETE
330,0.5,2022-06-12 19:14:28.391333,2022-06-12 19:14:28.911207,0 days 00:00:00.519874,0.5126546234960188,True,0.4734553807781226,4765928.0,True,random,0.06355387348477394,COMPLETE
1696,0.5,2022-06-12 21:19:53.599219,2022-06-12 21:19:54.628897,0 days 00:00:01.029678,0.29265446199643297,True,0.4053348765642835,2995922.0,True,random,0.07885707625269138,COMPLETE
1959,0.5,2022-06-12 21:25:19.129053,2022-06-12 21:25:20.265132,0 days 00:00:01.136079,0.36402734039319873,True,0.4805096020200612,5618749.0,True,random,0.07423611433919675,COMPLETE
410,0.5,2022-06-12 19:15:17.755929,2022-06-12 19:15:18.276117,0 days 00:00:00.520188,0.5847774727048074,True,0.47013180743409105,3691747.0,True,random,0.06049050928621251,COMPLETE
1715,0.5,2022-06-12 21:20:15.888295,2022-06-12 21:20:16.910665,0 days 00:00:01.022370,0.01468057395551714,True,0.5697308154599888,2683435.0,True,random,0.07875125730506924,COMPLETE
1734,0.5,2022-06-12 21:20:38.463376,2022-06-12 21:20:39.503224,0 days 00:00:01.039848,0.4221313118070407,True,0.5227588127171741,1595238.0,True,random,0.0751177643312036,COMPLETE
292,0.5,2022-06-12 19:14:05.758703,2022-06-12 19:14:06.239323,0 days 00:00:00.480620,0.6961536126251351,True,0.36248498019421316,6178043.0,True,random,0.060424278633956593,COMPLETE
217,0.5,2022-06-12 19:13:23.106221,2022-06-12 19:13:23.548667,0 days 00:00:00.442446,0.6166924033329068,True,0.36891992127269413,6258860.0,True,random,0.052085393943135376,COMPLETE
271,0.5,2022-06-12 19:13:53.178172,2022-06-12 19:13:53.642176,0 days 00:00:00.464004,0.6126290470800693,True,0.4037216177475549,6756087.0,True,random,0.05171748838507197,COMPLETE
252,0.5,2022-06-12 19:13:42.703837,2022-06-12 19:13:43.175145,0 days 00:00:00.471308,0.4531663230391808,True,0.3929781238068737,5526253.0,True,random,0.054989972237641474,COMPLETE
1753,0.5,2022-06-12 21:21:01.001164,2022-06-12 21:21:02.340089,0 days 00:00:01.338925,0.5176075202981775,True,0.443358662393418,5452744.0,True,random,0.09111672959303216,COMPLETE
8,0.5,2022-06-12 19:11:32.105931,2022-06-12 19:11:32.479142,0 days 00:00:00.373211,1.721297274395241,True,0.541567642923079,2687524.0,True,cyclic,0.06253753157207685,COMPLETE
1978,0.5,2022-06-12 21:25:44.181522,2022-06-12 21:25:45.333941,0 days 00:00:01.152419,0.5484053375084968,True,0.4451068367682691,1917249.0,True,random,0.08229158348281257,COMPLETE
