iteration,precision,datetime_start,datetime_complete,duration,alpha,fit_intercept,l1_ratio,max_iter,normalize,selection,tol,state
4269,0.0,2022-06-13 16:04:45.741494,2022-06-13 16:04:48.168034,0 days 00:00:02.426540,1.9995811068828804,True,0.9466911492247096,5935362.0,True,random,0.024630477810740504,COMPLETE
810,0.0,2022-06-12 19:53:47.009131,2022-06-12 19:53:47.750293,0 days 00:00:00.741162,1.9665496095670365,True,0.3161639002769917,7977866.0,True,random,0.030663048146347228,COMPLETE
1893,0.0,2022-06-12 22:36:39.501138,2022-06-12 22:36:40.924540,0 days 00:00:01.423402,1.9037775939475787,True,0.9811278625974557,7560938.0,True,random,0.030275186770814182,COMPLETE
3255,0.0,2022-06-13 13:31:36.178079,2022-06-13 13:31:37.862282,0 days 00:00:01.684203,1.9657240962787357,True,0.9662958739586713,6281531.0,True,random,0.0166718518138467,COMPLETE
4288,0.0,2022-06-13 16:05:37.263164,2022-06-13 16:05:39.665934,0 days 00:00:02.402770,0.9507662968882304,True,0.5653797516942376,6688040.0,True,random,0.02868689846817714,COMPLETE
792,0.0,2022-06-12 19:53:30.261318,2022-06-12 19:53:31.373554,0 days 00:00:01.112236,1.9617587512864447,True,0.8983994589712752,8667902.0,True,random,0.016995098769380452,COMPLETE
1912,0.0,2022-06-12 22:37:06.832836,2022-06-12 22:37:08.001875,0 days 00:00:01.169039,1.9318429059825786,True,0.96578937910405,7690754.0,True,random,0.02705863894426976,COMPLETE
772,0.0,2022-06-12 19:53:12.555644,2022-06-12 19:53:13.305316,0 days 00:00:00.749672,1.9262859093164693,True,0.9978826532538979,7416930.0,True,random,0.026745809347638795,COMPLETE
3236,0.0,2022-06-13 13:30:55.389582,2022-06-13 13:30:57.343627,0 days 00:00:01.954045,1.9356382791663016,True,0.9561700429231571,5988614.0,True,random,0.03761481391262451,COMPLETE
4306,0.0,2022-06-13 16:06:25.843760,2022-06-13 16:06:28.245089,0 days 00:00:02.401329,1.999919430407763,True,0.11954505020072187,6280594.0,True,random,0.01287031648834728,COMPLETE
754,0.0,2022-06-12 19:52:55.999156,2022-06-12 19:52:56.722957,0 days 00:00:00.723801,1.9949682537260889,True,0.9498583911989429,8057924.0,True,random,0.020612086574239383,COMPLETE
1929,0.0,2022-06-12 22:37:30.254628,2022-06-12 22:37:31.407552,0 days 00:00:01.152924,1.961313539302217,True,0.9653178927692215,7953395.0,True,random,0.02661280552233257,COMPLETE
4326,0.0,2022-06-13 16:07:20.003138,2022-06-13 16:07:22.459304,0 days 00:00:02.456166,1.9993786673020768,True,0.9521239010413646,5817750.0,True,random,0.02246073479340533,COMPLETE
734,0.0,2022-06-12 19:52:39.437309,2022-06-12 19:52:40.145268,0 days 00:00:00.707959,1.8928030193611511,True,0.9663151025805526,8381537.0,True,random,0.023057282104788322,COMPLETE
3218,0.0,2022-06-13 13:30:13.739717,2022-06-13 13:30:15.710959,0 days 00:00:01.971242,1.9986603910215093,True,0.9995155375365363,7191525.0,True,random,0.0230896523461661,COMPLETE
4344,0.0,2022-06-13 16:08:11.164954,2022-06-13 16:08:13.644100,0 days 00:00:02.479146,1.9627502148712288,True,0.9678946370850131,6288947.0,True,random,0.02687466046654193,COMPLETE
1952,0.0,2022-06-12 22:38:02.604314,2022-06-12 22:38:04.065147,0 days 00:00:01.460833,1.8801831524656063,True,0.9823863767199209,7837560.0,True,random,0.031661478593456895,COMPLETE
715,0.0,2022-06-12 19:52:22.102880,2022-06-12 19:52:22.807357,0 days 00:00:00.704477,1.9309877291580053,True,0.9498431176486973,8371881.0,True,random,0.019937750007088844,COMPLETE
3200,0.0,2022-06-13 13:29:32.838418,2022-06-13 13:29:34.533174,0 days 00:00:01.694756,1.9023129578667117,True,0.9816619489987467,6509016.0,True,random,0.023910358899533097,COMPLETE
1970,0.0,2022-06-12 22:38:29.152473,2022-06-12 22:38:30.328912,0 days 00:00:01.176439,1.996943489373395,True,0.9092989476142775,8791808.0,True,random,0.024378864609457707,COMPLETE
4363,0.0,2022-06-13 16:09:04.149458,2022-06-13 16:09:06.652106,0 days 00:00:02.502648,1.9646328643354203,True,0.9533434370958692,6135974.0,True,random,0.024918509746224518,COMPLETE
696,0.0,2022-06-12 19:52:05.194324,2022-06-12 19:52:06.122080,0 days 00:00:00.927756,1.893759943921869,True,0.9999513109377978,6902304.0,True,random,0.02799738390040578,COMPLETE
4495,0.0,2022-06-13 16:15:20.363437,2022-06-13 16:15:22.959835,0 days 00:00:02.596398,1.9141977827381487,True,0.8952220748021037,7552093.0,True,random,0.0256248759180047,COMPLETE
