iteration,precision,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
91,0.919756111906209,2022-07-03 01:03:15.737479,2022-07-03 01:03:45.672145,0 days 00:00:29.934666,3.8000000000000003,0.828944372376544,269,28117914,l1,2.3999510896064846e-05,COMPLETE
66,0.8586376216409249,2022-07-03 01:00:37.056934,2022-07-03 01:01:03.903332,0 days 00:00:26.846398,1.0,0.8581476728874567,65,28200428,l1,0.00047835105624705054,COMPLETE
359,0.8558478201510876,2022-07-03 01:32:20.906061,2022-07-03 01:32:39.993333,0 days 00:00:19.087272,4.5,0.7648048802531289,387,18869793,l1,0.0002298005472221071,COMPLETE
286,0.8230859955899698,2022-07-03 01:24:46.680231,2022-07-03 01:24:54.744829,0 days 00:00:08.064598,7.1,0.7831299808030308,346,8877233,l1,0.0002653372986595374,COMPLETE
427,0.8225682528299953,2022-07-03 01:39:48.324789,2022-07-03 01:39:56.117250,0 days 00:00:07.792461,6.0,0.7912146873906764,179,24306878,l1,0.0019292729863550724,COMPLETE
299,0.8225682528299953,2022-07-03 01:26:15.716847,2022-07-03 01:26:24.341867,0 days 00:00:08.625020,7.3,0.677414550690334,333,9505602,l1,2.3407994401541824e-05,COMPLETE
701,0.8225682528299953,2022-07-03 02:09:38.648206,2022-07-03 02:09:46.210250,0 days 00:00:07.562044,7.8,0.883695546749621,331,10637425,l1,0.0022066583238476278,COMPLETE
707,0.8225682528299953,2022-07-03 02:10:15.334912,2022-07-03 02:10:23.456366,0 days 00:00:08.121454,3.5000000000000004,0.9004837714102332,148,48374671,l1,0.00021385599798706662,COMPLETE
294,0.8225682528299953,2022-07-03 01:25:41.200293,2022-07-03 01:25:48.757499,0 days 00:00:07.557206,7.4,0.6386433986262487,330,9363803,l1,0.0018638741170521529,COMPLETE
812,0.8225682528299953,2022-07-03 02:22:06.411211,2022-07-03 02:22:14.815396,0 days 00:00:08.404185,4.5,0.43674101394345605,364,6663810,l1,0.001741378288802478,COMPLETE
909,0.8225682528299953,2022-07-03 02:32:39.815341,2022-07-03 02:32:47.769079,0 days 00:00:07.953738,4.5,0.8498842951491694,327,8804742,l1,0.0017954698942381398,COMPLETE
904,0.8225682528299953,2022-07-03 02:32:13.083164,2022-07-03 02:32:21.077684,0 days 00:00:07.994520,3.5000000000000004,0.9972776346906199,128,43455219,l1,0.0015210719947119208,COMPLETE
302,0.8225682528299953,2022-07-03 01:26:32.346951,2022-07-03 01:26:39.855560,0 days 00:00:07.508609,7.4,0.7481314129277237,361,10702545,l1,0.0019445960659428855,COMPLETE
911,0.8225682528299953,2022-07-03 02:32:55.052738,2022-07-03 02:33:03.126716,0 days 00:00:08.073978,4.5,0.8432931573102266,368,15724689,l1,0.00019079080665410132,COMPLETE
616,0.8225682528299953,2022-07-03 02:00:13.507739,2022-07-03 02:00:21.586525,0 days 00:00:08.078786,4.9,0.8717685836275405,334,8945961,l1,6.034069183841231e-05,COMPLETE
223,0.8225682528299953,2022-07-03 01:18:02.734234,2022-07-03 01:18:10.093923,0 days 00:00:07.359689,6.8,0.656727655579971,55,22463892,l1,0.002119994428673561,COMPLETE
722,0.8225682528299953,2022-07-03 02:11:57.611346,2022-07-03 02:12:05.843530,0 days 00:00:08.232184,4.5,0.922469092221795,326,10386315,l1,0.0003246388582756991,COMPLETE
604,0.8225682528299953,2022-07-03 01:58:41.438634,2022-07-03 01:58:49.644670,0 days 00:00:08.206036,5.0,0.8934224173710879,81,20237740,l1,5.76052006840535e-05,COMPLETE
635,0.8225682528299953,2022-07-03 02:02:21.823558,2022-07-03 02:02:29.941807,0 days 00:00:08.118249,5.4,0.853935219671939,61,15072544,l1,0.0018693228140034737,COMPLETE
817,0.8225682528299953,2022-07-03 02:22:38.468911,2022-07-03 02:22:46.367131,0 days 00:00:07.898220,3.3000000000000003,0.9094698585291235,163,48762683,l1,0.0019558933672826724,COMPLETE
928,0.8225682528299953,2022-07-03 02:34:54.207446,2022-07-03 02:35:02.519208,0 days 00:00:08.311762,3.6,0.924723342608706,116,35381878,l1,8.983503010392297e-05,COMPLETE
282,0.8225682528299953,2022-07-03 01:24:24.635012,2022-07-03 01:24:32.234772,0 days 00:00:07.599760,6.6,0.6176571006524709,51,8332936,l1,0.0021157464428046124,COMPLETE
