iteration,roc_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
590,0.8794117831794821,2022-06-12 15:38:28.716976,2022-06-12 15:38:29.221880,0 days 00:00:00.504904,2.5917201097734908,eig,COMPLETE
938,0.8794117831794821,2022-06-12 15:43:36.119234,2022-06-12 15:43:36.694267,0 days 00:00:00.575033,0.558285680066825,eig,COMPLETE
220,0.8794117831794821,2022-06-12 15:33:31.461270,2022-06-12 15:33:31.888252,0 days 00:00:00.426982,5.456831693934246,eig,COMPLETE
492,0.8794117831794821,2022-06-12 15:37:07.171963,2022-06-12 15:37:07.651773,0 days 00:00:00.479810,4.548897612887012,eig,COMPLETE
726,0.8794117831794821,2022-06-12 15:40:25.690368,2022-06-12 15:40:26.217853,0 days 00:00:00.527485,4.806127809202371,eig,COMPLETE
766,0.8794117831794821,2022-06-12 15:41:00.804041,2022-06-12 15:41:01.346225,0 days 00:00:00.542184,3.5986762420400082,eig,COMPLETE
68,0.8794117831794821,2022-06-12 15:31:36.903170,2022-06-12 15:31:37.289924,0 days 00:00:00.386754,5.9909889327355526,eig,COMPLETE
34,0.8794117831794821,2022-06-12 15:31:11.694504,2022-06-12 15:31:12.137455,0 days 00:00:00.442951,8.20166202236246,eig,COMPLETE
35,0.8794117831794821,2022-06-12 15:31:12.137588,2022-06-12 15:31:12.577848,0 days 00:00:00.440260,2.4119108692156046,eig,COMPLETE
843,0.8794117831794821,2022-06-12 15:42:09.536843,2022-06-12 15:42:10.097752,0 days 00:00:00.560909,7.852020679433412,eig,COMPLETE
881,0.8794117831794821,2022-06-12 15:42:43.844364,2022-06-12 15:42:44.409784,0 days 00:00:00.565420,2.0172429153975564,eig,COMPLETE
38,0.8794117831794821,2022-06-12 15:31:14.261175,2022-06-12 15:31:14.699128,0 days 00:00:00.437953,7.027815369134361,eig,COMPLETE
188,0.8794117831794821,2022-06-12 15:33:06.716115,2022-06-12 15:33:07.140025,0 days 00:00:00.423910,0.5585183375244906,eig,COMPLETE
298,0.8794117831794821,2022-06-12 15:34:32.074346,2022-06-12 15:34:32.519489,0 days 00:00:00.445143,3.414854914478234,eig,COMPLETE
130,0.8794117831794821,2022-06-12 15:32:22.750409,2022-06-12 15:32:23.161102,0 days 00:00:00.410693,1.3028429648813211,eig,COMPLETE
899,0.8794117831794821,2022-06-12 15:43:00.201872,2022-06-12 15:43:01.012041,0 days 00:00:00.810169,1.180819094052861,eig,COMPLETE
317,0.8794117831794821,2022-06-12 15:34:46.825847,2022-06-12 15:34:47.274282,0 days 00:00:00.448435,4.353521100657827,eig,COMPLETE
668,0.8794117831794821,2022-06-12 15:39:35.207282,2022-06-12 15:39:35.724616,0 days 00:00:00.517334,0.46726298982535236,eig,COMPLETE
707,0.8794117831794821,2022-06-12 15:40:09.059643,2022-06-12 15:40:09.588595,0 days 00:00:00.528952,6.597577875681938,eig,COMPLETE
49,0.8794117831794821,2022-06-12 15:31:22.388842,2022-06-12 15:31:22.794815,0 days 00:00:00.405973,1.6198630126242919,eig,COMPLETE
611,0.8794117831794821,2022-06-12 15:38:46.566942,2022-06-12 15:38:47.069403,0 days 00:00:00.502461,0.9891439268101692,eig,COMPLETE
957,0.8794117831794821,2022-06-12 15:43:53.581208,2022-06-12 15:43:54.154478,0 days 00:00:00.573270,0.15959484328945778,eig,COMPLETE
413,0.8794117831794821,2022-06-12 15:36:02.886239,2022-06-12 15:36:03.618804,0 days 00:00:00.732565,0.5690497788190242,eig,COMPLETE
978,0.8794117831794821,2022-06-12 15:44:13.266804,2022-06-12 15:44:13.846637,0 days 00:00:00.579833,0.22429407834378398,eig,COMPLETE
26,0.8794117831794821,2022-06-12 15:31:06.072853,2022-06-12 15:31:06.495195,0 days 00:00:00.422342,3.7124514631440757,eig,COMPLETE
572,0.8794117831794821,2022-06-12 15:38:13.519378,2022-06-12 15:38:14.017348,0 days 00:00:00.497970,8.160313850337317,eig,COMPLETE
512,0.8794117831794821,2022-06-12 15:37:23.729467,2022-06-12 15:37:24.216421,0 days 00:00:00.486954,3.742153720766479,eig,COMPLETE
2,0.8794117831794821,2022-06-12 15:30:49.581178,2022-06-12 15:30:49.966491,0 days 00:00:00.385313,7.680054520596977,eig,COMPLETE
3,0.8794117831794821,2022-06-12 15:30:49.966600,2022-06-12 15:30:50.357316,0 days 00:00:00.390716,7.658449114654962,eig,COMPLETE
4,0.8794117831794821,2022-06-12 15:30:50.357412,2022-06-12 15:30:50.761320,0 days 00:00:00.403908,6.240604794880795,eig,COMPLETE
5,0.8794117831794821,2022-06-12 15:30:50.761422,2022-06-12 15:30:51.112028,0 days 00:00:00.350606,8.80912161257172,eig,COMPLETE
919,0.8794117831794821,2022-06-12 15:43:18.696575,2022-06-12 15:43:19.271512,0 days 00:00:00.574937,0.8905968395118453,eig,COMPLETE
995,0.8794117831794821,2022-06-12 15:44:29.047126,2022-06-12 15:44:29.653918,0 days 00:00:00.606792,0.6004598215126398,eig,COMPLETE
276,0.8794117831794821,2022-06-12 15:34:14.781220,2022-06-12 15:34:15.488504,0 days 00:00:00.707284,0.1606146020188459,eig,COMPLETE
433,0.8794117831794821,2022-06-12 15:36:19.113706,2022-06-12 15:36:19.585582,0 days 00:00:00.471876,0.629664522041965,eig,COMPLETE
255,0.8794117831794821,2022-06-12 15:33:58.583536,2022-06-12 15:33:59.031810,0 days 00:00:00.448274,1.7534201368122733,eig,COMPLETE
335,0.8794117831794821,2022-06-12 15:35:00.891661,2022-06-12 15:35:01.344895,0 days 00:00:00.453234,4.015576419905557,eig,COMPLETE
90,0.8794117831794821,2022-06-12 15:31:53.034633,2022-06-12 15:31:53.440890,0 days 00:00:00.406257,0.661668198700935,eig,COMPLETE
822,0.8794117831794821,2022-06-12 15:41:50.627967,2022-06-12 15:41:51.180195,0 days 00:00:00.552228,8.251012401627452,eig,COMPLETE
374,0.8794117831794821,2022-06-12 15:35:31.881024,2022-06-12 15:35:32.340670,0 days 00:00:00.459646,8.160576549269528,eig,COMPLETE
393,0.8794117831794821,2022-06-12 15:35:46.945653,2022-06-12 15:35:47.407732,0 days 00:00:00.462079,2.1709609566835035,eig,COMPLETE
18,0.8794117831794821,2022-06-12 15:31:00.017631,2022-06-12 15:31:00.393383,0 days 00:00:00.375752,3.9603179970714786,eig,COMPLETE
649,0.8794117831794821,2022-06-12 15:39:18.837915,2022-06-12 15:39:19.353781,0 days 00:00:00.515866,0.5797026745815295,eig,COMPLETE
629,0.8794117831794821,2022-06-12 15:39:01.935131,2022-06-12 15:39:02.445672,0 days 00:00:00.510541,0.31132567963526325,eig,COMPLETE
861,0.8794117831794821,2022-06-12 15:42:25.764325,2022-06-12 15:42:26.322822,0 days 00:00:00.558497,1.9055345830521364,eig,COMPLETE
453,0.8794117831794821,2022-06-12 15:36:35.321347,2022-06-12 15:36:35.795107,0 days 00:00:00.473760,5.505669986565262,eig,COMPLETE
688,0.8794117831794821,2022-06-12 15:39:52.521251,2022-06-12 15:39:53.051332,0 days 00:00:00.530081,6.295827191229606,eig,COMPLETE
472,0.8794117831794821,2022-06-12 15:36:50.941870,2022-06-12 15:36:51.419258,0 days 00:00:00.477388,6.537691792344021,eig,COMPLETE
552,0.8794131064629188,2022-06-12 15:37:56.891137,2022-06-12 15:37:57.387204,0 days 00:00:00.496067,8.628707203338198,eig,COMPLETE
803,0.8794144297463555,2022-06-12 15:41:33.649647,2022-06-12 15:41:34.191629,0 days 00:00:00.541982,8.920519107108596,eig,COMPLETE
78,0.8794144297463555,2022-06-12 15:31:44.322519,2022-06-12 15:31:44.690957,0 days 00:00:00.368438,8.890601283195403,eig,COMPLETE
110,0.8794144297463555,2022-06-12 15:32:07.867501,2022-06-12 15:32:08.309744,0 days 00:00:00.442243,9.564859233701215,eig,COMPLETE
355,0.8794144297463555,2022-06-12 15:35:16.612092,2022-06-12 15:35:17.074458,0 days 00:00:00.462366,8.999397084317454,eig,COMPLETE
784,0.8794144297463555,2022-06-12 15:41:16.723222,2022-06-12 15:41:17.263778,0 days 00:00:00.540556,9.182556792171317,eig,COMPLETE
745,0.8794144297463555,2022-06-12 15:40:42.311090,2022-06-12 15:40:42.841612,0 days 00:00:00.530522,9.791092585626457,eig,COMPLETE
158,0.8794144297463555,2022-06-12 15:32:43.828782,2022-06-12 15:32:44.248214,0 days 00:00:00.419432,9.634985755754446,eig,COMPLETE
533,0.8794144297463555,2022-06-12 15:37:40.964512,2022-06-12 15:37:41.462419,0 days 00:00:00.497907,9.199183185401385,eig,COMPLETE
664,0.9187785128518015,2022-06-12 15:39:31.739917,2022-06-12 15:39:32.604142,0 days 00:00:00.864225,0.5346075560303944,svd,COMPLETE
673,0.9187785128518015,2022-06-12 15:39:39.201724,2022-06-12 15:39:40.064770,0 days 00:00:00.863046,0.6681580660028101,svd,COMPLETE
648,0.9187785128518015,2022-06-12 15:39:17.976294,2022-06-12 15:39:18.837377,0 days 00:00:00.861083,0.42171476431180593,svd,COMPLETE
674,0.9187785128518015,2022-06-12 15:39:40.065323,2022-06-12 15:39:40.934492,0 days 00:00:00.869169,0.5952831189175769,svd,COMPLETE
647,0.9187785128518015,2022-06-12 15:39:17.111209,2022-06-12 15:39:17.975705,0 days 00:00:00.864496,0.6346655260277241,svd,COMPLETE
675,0.9187785128518015,2022-06-12 15:39:40.935052,2022-06-12 15:39:41.822785,0 days 00:00:00.887733,0.6202688998911396,svd,COMPLETE
646,0.9187785128518015,2022-06-12 15:39:16.247842,2022-06-12 15:39:17.110683,0 days 00:00:00.862841,0.5263724817705864,svd,COMPLETE
676,0.9187785128518015,2022-06-12 15:39:41.823352,2022-06-12 15:39:42.962042,0 days 00:00:01.138690,5.6070661604347,svd,COMPLETE
678,0.9187785128518015,2022-06-12 15:39:43.804548,2022-06-12 15:39:44.677335,0 days 00:00:00.872787,5.404390033088175,svd,COMPLETE
645,0.9187785128518015,2022-06-12 15:39:15.385935,2022-06-12 15:39:16.247325,0 days 00:00:00.861390,0.36953272757524247,svd,COMPLETE
679,0.9187785128518015,2022-06-12 15:39:44.677895,2022-06-12 15:39:45.551602,0 days 00:00:00.873707,5.161007596181769,svd,COMPLETE
