colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,loss,iteration
0.058634405251831605,0.5068689191757614,7.391202360090186,0.0010284233210005843,7,5,309,26,1.7709301629879193,0.30873146426206194,1.977881827180669,22
0.05099820883598376,0.6024540267321065,8.31410320866094,0.020584563842313764,6,5,265,28,0.14728556856352837,0.2634242764868273,1.9866435228901536,74
0.10852036818105236,0.526476818321214,8.549579362772166,0.01476349895274423,6,4,125,14,2.991926016707505,0.2722206309605458,1.9883581219535027,51
0.10129290953922618,0.5466585360117832,7.259042843754013,0.0010337194642798808,8,5,206,18,0.6026190751579736,0.3584614673395253,1.9887545312650232,30
0.058925152851887534,0.5825982849626032,6.562714017307972,0.03339063986204956,9,5,125,20,0.9932650872399256,0.30753285589970997,1.988933273123528,68
0.09996381179852616,0.5324528756889157,7.241320435775618,0.0016109572925564878,8,5,373,10,0.1511905666679061,0.36176332244325965,1.988973206868072,66
0.1958797885459336,0.516142945792103,1.4130098012799719,0.000822797565796507,7,5,242,27,1.6588033855861402,0.3650220181334067,1.990208669067147,23
0.19599974905057166,0.5353200897962234,0.9624958220666203,0.00018486067263599217,7,5,144,27,1.3587733849794956,0.32521540577138863,1.9908389362680696,25
0.06741199593608836,0.6654417354061734,0.04474070028058785,0.008762469062895194,9,6,309,8,1.9200300047220744,0.5416846428209146,1.9922863094987464,16
0.09434865267500007,0.6177800427483873,1.8906174537303335,0.013485818343584949,6,3,487,5,1.841736413209448,0.32275549180225405,1.99316063489354,79
0.1500164052691217,0.6692353250186698,8.562433760663884,0.013102927307970016,6,4,289,14,2.448448310724207,0.7256815316668837,1.99317070692232,52
0.1338067220511873,0.5502130540929416,7.123855881131335,0.004198282334121276,12,5,296,25,0.34981445457297466,0.37020058868912475,1.9931765716269083,69
0.1257742309262664,0.8645586886496497,7.780041721324262,0.00018688785644074835,11,1,332,24,0.5017578315142082,0.2962794735462476,1.993635841293125,46
0.06283293699753895,0.6546423347934976,8.737822907166606,0.018529691232545716,6,9,493,28,0.09769967211829594,0.26989126913765715,1.994304191151587,76
0.4037110973440414,0.5963258906111045,8.959667449911558,0.007034737914932341,7,7,265,29,1.5956154274300522,0.41901377320151323,1.994694370157381,86
0.11347066405598819,0.8485801056380717,5.915123254157713,0.06349033467499857,6,4,106,26,1.7641962498470865,0.3891349326633352,1.994801549306727,60
0.05487470392414669,0.7784242430643413,7.339050453540828,0.02124315101275614,9,5,326,26,1.648508747889396,0.3241943398336241,1.9949443189433311,21
0.11351518545204153,0.5156106101800768,8.587851513691323,0.12444948589655545,6,8,112,26,2.0616564501045715,0.2538892267403572,1.9953177858864184,80
0.06887201086990571,0.5247701121340501,8.720541912986558,0.1283836314244744,9,7,163,2,2.347289802642615,0.6783322392073623,1.995400729651304,59
0.15312659331264486,0.8183425618393441,6.4621827557610905,0.024104627236382906,9,1,104,10,2.7561675650081305,0.47241625615057586,1.9954849816607416,4
0.051738111239673944,0.6376812597343317,8.362521660144443,0.1083177846022971,6,6,454,28,1.421275349792809,0.31266952527186115,1.99572005241464,75
0.05057986422492592,0.587500429095989,6.227018201372323,0.09703145891605205,7,7,361,19,1.2503707512939595,0.38280208949468875,1.9957425607936108,44
0.07431203065807485,0.5987757488548187,7.90312947897993,0.07694180779251632,6,1,241,28,2.4504656216348506,0.28671511785751136,1.9960138855821208,77
0.05167810840218684,0.6627684278579471,4.44358349424413,0.1573878167487563,6,4,383,7,1.7642365994063656,0.30377065676357073,1.996074050477316,87
0.10302422009188981,0.5002874470938747,7.429455428458216,0.027505428043262996,8,5,453,1,1.1645811852304466,0.3565329809171265,1.9961457220678924,70
0.07978136247013125,0.5607451812080847,4.615084909078041,0.04670721292777212,6,9,447,15,1.58803636986809,0.46474367488410784,1.9961730004693488,64
0.18008362663561792,0.9698727241325161,6.991583958884988,0.0497747280275983,7,4,114,4,1.7136344233048857,0.25174387265383413,1.99624273604035,57
0.26468990958968286,0.5001034641442025,8.541143547317501,0.051383387065778816,8,5,103,12,1.4883516238942187,0.2765261522964786,1.996305412956552,42
0.053106959102330376,0.879986263119916,5.675176975559168,0.035890227625597494,8,5,430,18,0.24352096370402176,0.48347069051143426,1.9963358590130733,35
0.08735935149551637,0.5078975162157293,3.8325189497814125,0.05645891681154307,7,4,368,16,0.8217918214535418,0.2914798695614485,1.996398304251892,72
