boosting_type,colsample_bytree,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
dart,0.9973918976089525,+,0.34163741975550405,9,0,120.0,0.9656485426415411,0.7464694890611242,0.9528024136339067,0.0021306743395816,263
dart,0.9985338593028213,+,0.344384091200923,9,0,120.0,0.999486189666552,0.8811147552110346,0.9579239733492337,0.0021372303461001,266
dart,0.9991352423360742,+,0.27546422267940396,9,0,119.0,0.9222172521056006,0.9230614891181417,0.8989815991895215,0.0021396977684439,410
dart,0.9815381061332493,+,0.3303257214526947,9,0,149.0,0.9109417367018229,0.7921785957735127,0.7929519939760781,0.0021448759730967,498
dart,0.9990287469932099,+,0.3004275962047419,9,0,142.0,0.9504607676881344,0.7815748168492056,0.8390266310343972,0.0021458874883478,188
dart,0.9800611981604783,+,0.5024349644078463,9,0,145.0,0.7569784482213231,0.8915085944820231,0.9997796511110175,0.0021509358753771,284
dart,0.9728119234170821,+,0.3460338602871428,9,0,118.0,0.7051170411804881,0.8884166980646145,0.731026106313462,0.0021549010813362,308
dart,0.9452363025959395,+,0.39315160169676144,9,0,122.0,0.8871400911329635,0.9694529849629623,0.8802845540592987,0.0021549646710417,182
dart,0.9992145624794683,+,0.2405724556836691,9,0,119.0,0.9199082686029589,0.7902350193337794,0.937907311137393,0.0021582354671276,418
dart,0.95973321610723,+,0.343205002080255,9,0,118.0,0.7373121603030688,0.697041984099356,0.7322255169149335,0.0021617948278306,315
dart,0.9622162841003317,+,0.306773045950057,9,0,122.0,0.9356535125523966,0.9750937619088909,0.8353982710373877,0.0021621570628189,405
dart,0.9345640487962485,+,0.30091233008635077,9,0,135.0,0.1080060915938083,0.7923477258267736,0.8955979650500482,0.0021646801275237,90
dart,0.9783399902099408,+,0.4348255843437748,9,0,91.0,0.7145477678446718,0.8615462557515621,0.7455883591830509,0.0021660187829301,456
dart,0.9476491385437903,+,0.48111798872038514,9,0,120.0,0.9080606378757713,0.9003840807865818,0.9132868690354191,0.0021674451365054,403
dart,0.955901726599966,+,0.4312175931785569,9,0,109.0,0.7887375835704005,0.7909547480123624,0.9998789800074813,0.0021680113052077,397
dart,0.9445197946372781,+,0.34947982581899356,9,0,120.0,0.966177890603007,0.6961749715489611,0.9840864902895425,0.0021719101925786,268
dart,0.980303733609227,+,0.5765347150533002,9,0,122.0,0.8104771356864069,0.944556782631635,0.8747276807929023,0.0021749127650512,406
dart,0.9973117683224115,+,0.21864503688723494,9,0,132.0,0.8905264547514233,0.9287585680137583,0.9339902731800149,0.0021752244797794,161
dart,0.9593221983098035,+,0.34621210141894637,9,0,104.0,0.9415226089043826,0.7397780921273132,0.9781810282437986,0.0021777710874858,278
dart,0.929033363664263,+,0.3458988509669959,9,0,136.0,0.9254364795224109,0.8662705185878424,0.9995577252066506,0.002179958446694,297
dart,0.9906278412040869,+,0.19286337449566343,9,0,148.0,0.9817807256809237,0.8569578716729739,0.9010300593204841,0.002180817825149,413
dart,0.9798394517401886,+,0.4278761748602467,9,0,100.0,0.9996959564002393,0.9994121146307252,0.8463279443009789,0.0021820732559726,409
dart,0.9479546220115286,+,0.37326768940637917,9,0,95.0,0.8273257465242133,0.8312595997513434,0.9478946404846187,0.0021825588559586,408
dart,0.9990673504808061,+,0.5541459240666847,9,0,99.0,0.9774261218983458,0.7616452846590748,0.9475883022857652,0.002185787969163,255
dart,0.9675984738054084,+,0.2591181925798097,9,0,104.0,0.9512899164533588,0.8918290461731105,0.9315496155780411,0.0021891445774907,411
dart,0.9673035209562113,+,0.25480292637980345,9,0,111.0,0.8802911079455863,0.883061659653513,0.7186475307563638,0.0021922553910566,374
dart,0.9749909549519371,+,0.5510243185973006,9,0,122.0,0.8171459012148605,0.9250036492165417,0.9749604949276037,0.0021926596871736,177
dart,0.9390066241134388,+,0.48913713233965267,9,0,99.0,0.9496691408083249,0.8636473059184959,0.9115324419698128,0.0021931893742355,260
dart,0.9768455560929884,+,0.40369179077575007,9,0,63.0,0.8624865970227507,0.9664102187727365,0.904875488482249,0.0022016975116233,402
dart,0.9849502977085823,+,0.5635388919020151,9,0,141.0,0.9768528757451056,0.7604869005381619,0.9442717239040102,0.0022095451743314,258
dart,0.9781848988072547,+,0.2806609888289622,9,0,73.0,0.9488779199506612,0.9220472552738912,0.9010645020695717,0.0022140449333782,465
dart,0.9156384121005836,+,0.23374819702479008,9,0,146.0,0.9679729865126903,0.8722326500582458,0.9415154917792663,0.002215218935114,407
dart,0.956583865945924,+,0.21408086815597926,9,0,116.0,0.9662983474154961,0.9115636652815763,0.8621869693673696,0.0022164558456547,416
