boosting_type,colsample_bytree,force_col_wise,learning_rate,max_depth,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
goss,0.997783153904177,+,0.17902339537028636,5,75.0,0.9857327119008867,0.3164358208210174,1.0,0.0030778948158842,67
goss,0.8803502151860308,+,0.23203827961277065,5,98.0,0.7427524173311038,0.08419522691964841,1.0,0.0031019775671161,84
goss,0.9962366869834605,+,0.17147088652934997,5,75.0,0.9920302304492232,0.18773288633030055,1.0,0.0031045281736741,25
goss,0.9928314902595081,+,0.2271776415730401,5,53.0,0.8270137206341174,0.004270443413391389,1.0,0.0031107932573201,82
goss,0.9900613077839395,+,0.14056185655239042,5,60.0,0.9677189765824277,0.19520624689300164,1.0,0.0031170189884178,68
dart,0.8831433422181308,+,0.5616115999781273,5,76.0,0.6342074376707914,0.11159036107674014,0.7859713142703174,0.0031181986008052,89
gbdt,0.9459242914505072,+,0.2197179240336353,5,75.0,0.994409802589679,0.09832417666019261,0.9839273551802048,0.0031294175920658,22
goss,0.9809815427815758,+,0.19935836212806618,5,75.0,0.8751118984907046,0.3977858693319253,1.0,0.0031305606903124,20
goss,0.9263818580468361,+,0.2934049346743277,5,67.0,0.5738412173758625,0.11724256573437489,1.0,0.0031348968341041,24
dart,0.9397183159960236,+,0.6148322443188585,5,86.0,0.9998269887571993,0.21779031046350636,0.9438010299855072,0.0031350915106678,27
goss,0.9625941650285421,+,0.15738543734841748,5,58.0,0.6601654168750284,0.4326131081222161,1.0,0.0031442419990476,81
goss,0.9556058793035026,+,0.1494425810706838,5,74.0,0.9936110203049933,0.24216881515639402,1.0,0.0031477032073592,71
goss,0.9750125137184745,+,0.20828769311528536,5,75.0,0.8711130068538813,0.421985394060843,1.0,0.0031514245388147,66
dart,0.7988887503842713,+,0.47459641431116417,5,72.0,0.3261501932748672,0.5405121780267548,0.9991255363640511,0.003166365046514,92
gbdt,0.9517929279715306,+,0.1252438844321966,5,75.0,0.9916999904887428,0.048762336443272554,0.9933120291714327,0.0031754751123886,23
goss,0.8710830573273105,+,0.16418904780570326,5,51.0,0.8165351491801011,0.7429519784394316,1.0,0.0031771809304045,99
goss,0.879199569428845,+,0.17675757378236398,5,33.0,0.8150079858400237,0.13355470042643444,1.0,0.0031801017017315,72
goss,0.8614281692811306,+,0.2453656947812567,5,47.0,0.7093210349850403,0.13561364744095933,1.0,0.0031801247562249,90
goss,0.8185404154766431,+,0.19590756858260777,5,59.0,0.4458235966722412,0.35428127809652576,1.0,0.0031822140032694,95
gbdt,0.8595110038814903,+,0.2215336997314065,5,96.0,0.7753643788278823,0.6170793585023162,0.7973100175434191,0.0031888414239142,8
gbdt,0.8506872061037457,+,0.20866955805582726,5,91.0,0.35894604679068515,0.1349219407247893,0.6138928576810878,0.0031903938547607,57
gbdt,0.9232642560693601,+,0.2949083784031356,5,48.0,0.5974076865524592,0.0004613161172455915,0.9269603970426712,0.0031916902385004,30
dart,0.9019383442093701,+,0.2954417496022881,5,89.0,0.5967448320699407,0.47608775013109983,0.6062387515076202,0.0031916914439431,65
goss,0.912307286759543,+,0.31266131473578673,5,75.0,0.5612276163651031,0.38245267150351353,1.0,0.0031926587591502,93
gbdt,0.8099176154231165,+,0.35168023640997503,5,82.0,0.8886839468290837,0.39976458282964167,0.7303893065873668,0.0031951252499311,46
goss,0.9993910180202523,+,0.1292790179301129,5,90.0,0.8574343860499795,0.27610403551563245,1.0,0.0031975499063016,75
goss,0.7945615076589005,+,0.3210889532800422,5,32.0,0.9706128322076769,0.6130162127844356,1.0,0.0031997362470835,80
goss,0.8551363097894428,+,0.28017907792337143,5,98.0,0.6122141739502679,0.04034425528263136,1.0,0.0032084932420174,85
goss,0.9189994517611668,+,0.3533871654776518,5,61.0,0.5101029331986948,0.08055264699751688,1.0,0.0032127719284291,87
goss,0.8314657344913539,+,0.3231192525247023,5,66.0,0.8178300196637514,0.003630307254743226,1.0,0.0032197413661437,11
dart,0.7561011662341612,+,0.35601955297930277,5,78.0,0.8996079617163528,0.5444156384134524,0.5003668243136503,0.0032251646112891,61
dart,0.9730652004305498,+,0.8623564226757024,5,66.0,0.9322768533178726,0.22601315618649648,0.8754743789968975,0.0032401809078054,96
goss,0.924580658597254,+,0.25715934808550484,5,83.0,0.7197785582519296,0.30160880546142227,1.0,0.0032406122268451,74
gbdt,0.901364633546687,+,0.249762736429991,5,93.0,0.1771856171436974,0.06691205380205821,0.9332371491927167,0.0032420227362052,37
goss,0.9887046029811108,+,0.11486120689811403,5,60.0,0.9731837549492611,0.3181444957471273,1.0,0.0032522989610536,69
gbdt,0.9083005558061223,+,0.53487934931967,5,70.0,0.883315277380862,0.8373883555532842,0.6725448375132252,0.0032590653318452,3
goss,0.828920483039082,+,0.5484684716737789,5,95.0,0.6742296025230639,0.17115109446765697,1.0,0.0032666395118431,50
dart,0.6389983653861535,+,0.3888539830287766,5,30.0,0.9209817283659104,0.6370340314241265,0.6308684032130806,0.0032697774923097,15
goss,0.8960133321970434,+,0.41104215243259884,5,53.0,0.46575944924047075,0.15081847000623783,1.0,0.003270481854936,83
goss,0.8161101625308799,+,0.18591599690951316,5,56.0,0.8877194891832961,0.4770734681130664,1.0,0.0032709812942179,78
goss,0.9828730727387907,+,0.10138409388071051,5,37.0,0.7706071740997522,0.2581747573980784,1.0,0.003271224954001,48
dart,0.9481340749636339,+,0.23424951182414788,5,75.0,0.8416797984331124,0.1647634690188896,0.8141347207697358,0.0032724492571641,42
gbdt,0.8890757124896853,+,0.4416190381384952,5,97.0,0.06489748605256468,0.03203990091879612,0.8049990838168074,0.0032728556650254,54
gbdt,0.9973782915304689,+,0.08878451677077151,5,39.0,0.9432334494685837,0.24544809123907468,0.9992062776790568,0.0032989338721008,41
goss,0.9307855877037647,+,0.10210733697413517,5,99.0,0.4723534473479424,0.22499009414688054,1.0,0.0033036210081194,36
goss,0.9535859450547683,+,0.10676466437035308,5,84.0,0.38621708747925565,0.09053757250789835,1.0,0.0033060234623641,100
goss,0.844123456999967,+,0.4594966736383557,5,54.0,0.029357458469793707,0.44955415281621786,1.0,0.0033080767581709,40
dart,0.8877505702629412,+,0.20721400388146025,5,40.0,0.3584815225733641,0.8791358871980453,0.6816015479755677,0.0033205140582351,12
gbdt,0.9983526981500509,+,0.08608817492584582,5,51.0,0.982031110825172,0.16444761130700558,0.9911911057101106,0.0033257882248102,26
goss,0.999427714421684,+,0.0890537364084313,5,60.0,0.9310560030815062,0.20014747092017043,1.0,0.0033290216981406,70
gbdt,0.8729239801492794,+,0.5086715516976571,5,38.0,0.6400100015740248,0.583369285641829,0.663374599087876,0.0033336706430798,16
goss,0.770005692539796,+,0.1581140646650679,5,94.0,0.4876069750230143,0.07454705148256291,1.0,0.003336332391682,28
goss,0.7264948396338119,+,0.3825560984692623,5,86.0,0.844867657444814,0.4035607793737991,1.0,0.003351695404879,97
goss,0.7106389543295801,+,0.1168853359910627,5,34.0,0.7499478269945439,0.180010575412312,1.0,0.0033618046238915,88
