colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,loss,iteration
0.058634405251831605,0.5068689191757614,7.391202360090186,0.0010284233210005843,7,5,309,26,1.7709301629879193,0.30873146426206194,1.939165692593106,22
0.10129290953922618,0.5466585360117832,7.259042843754013,0.0010337194642798808,8,5,206,18,0.6026190751579736,0.3584614673395253,1.9594784211577976,30
0.1958797885459336,0.516142945792103,1.4130098012799719,0.000822797565796507,7,5,242,27,1.6588033855861402,0.3650220181334067,1.9638006944731532,23
0.10852036818105236,0.526476818321214,8.549579362772166,0.01476349895274423,6,4,125,14,2.991926016707505,0.2722206309605458,1.9640463729025852,51
0.19599974905057166,0.5353200897962234,0.9624958220666203,0.00018486067263599217,7,5,144,27,1.3587733849794956,0.32521540577138863,1.9644608816651212,25
0.17441744332801276,0.5144777238140686,1.35329215196986,0.0016056611492771913,7,5,421,20,1.6603503022031108,0.411493325520723,1.9668748797452884,66
0.10025477623089527,0.5090066430197219,5.7659414498846955,0.0070663224197723765,7,3,470,2,2.539770097505545,0.4479416147874495,1.968438722776634,89
0.11470194578655073,0.6207213595412372,4.2849651395861965,0.0008026934293232317,10,5,153,10,0.08822970281425468,0.38418985125074995,1.9699628933329592,98
0.06741199593608836,0.6654417354061734,0.04474070028058785,0.008762469062895194,9,6,309,8,1.9200300047220744,0.5416846428209146,1.9701698249454167,16
0.13218414057160652,0.7093719049986053,8.864139558544514,0.0067490697432973906,8,4,157,23,0.5587511053410013,0.3603607618186566,1.972241398757849,57
0.23109695496078853,0.6623851527767071,1.7578468893475447,0.001760190385834946,7,5,499,27,2.3950307274501608,0.3112430440904088,1.9734572378093291,70
0.09781605219972321,0.6453356258456794,7.317596912425552,0.012506220141132222,6,1,444,1,1.8641331950346656,0.4585397754096165,1.9740189933307049,75
0.08295078780470029,0.5011385805738188,3.8607615542620213,0.018066579819007725,7,8,493,27,1.697178094483948,0.26933930004826373,1.9750190499127624,76
0.06108117761749357,0.5808679262050379,6.958402788086732,0.04686454731090078,8,9,487,26,2.140590801174919,0.47092343484377674,1.975427416824238,88
0.1257742309262664,0.8645586886496497,7.780041721324262,0.00018688785644074835,11,1,332,24,0.5017578315142082,0.2962794735462476,1.976007741940388,46
0.050318845701229555,0.6819226537488783,4.747291936937238,0.08861589251895634,7,5,365,24,1.1722911204365758,0.307044805641526,1.97610393215974,81
0.05057986422492592,0.587500429095989,6.227018201372323,0.09703145891605205,7,7,361,19,1.2503707512939595,0.38280208949468875,1.9761841585290665,44
0.05487470392414669,0.7784242430643413,7.339050453540828,0.02124315101275614,9,5,326,26,1.648508747889396,0.3241943398336241,1.97661126248514,21
0.06142111388685491,0.5230238915220908,6.466629255731677,0.04602644219332954,11,4,494,28,2.01402241458512,0.3681039813794524,1.9770564170784344,73
0.06997909389592712,0.9627274119448272,5.0172930475248325,0.02790829032084829,8,6,179,10,0.7953163032949534,0.5522679036438163,1.977123085460016,60
0.2790855037682247,0.6013561750962699,7.706662823667522,0.022782793259061306,7,5,117,27,1.284378728156632,0.33398637076621246,1.9779175317027,71
0.13666862611223835,0.538751368517978,2.419476702540407,0.037074509813795495,7,7,237,21,2.2178611903653542,0.4373426472485768,1.978329148250804,72
0.1548785506095355,0.5515487381284494,1.449247224016582,0.013353710354583579,7,5,488,16,2.0738555250342716,0.35321630876309884,1.9785668174700088,67
0.1479712850915218,0.615472316098264,8.207451993661211,0.006117519369470371,10,3,486,19,1.433448930265715,0.4896136757026823,1.9795594847292537,79
0.2058749153768463,0.6041547483118099,6.553779767864883,0.06309374246661875,6,5,118,11,1.179874885406618,0.5274136474300742,1.9798234920033957,59
0.15312659331264486,0.8183425618393441,6.4621827557610905,0.024104627236382906,9,1,104,10,2.7561675650081305,0.47241625615057586,1.9799376244917049,4
0.053106959102330376,0.879986263119916,5.675176975559168,0.035890227625597494,8,5,430,18,0.24352096370402176,0.48347069051143426,1.9803519113293928,35
0.09116812718806742,0.7729218243327585,8.989189667524355,0.04384171288406958,8,2,258,20,0.7737043554647314,0.3463584961427516,1.980391966447374,33
0.26468990958968286,0.5001034641442025,8.541143547317501,0.051383387065778816,8,5,103,12,1.4883516238942187,0.2765261522964786,1.981248722447722,42
0.11733851343601694,0.6235818726496993,3.4827381589185396,0.05637832007435789,7,5,242,12,1.5630242767168914,0.3970983213313439,1.9814676519635208,69
0.08012284711829437,0.5924543853300024,6.265101048390057,0.1083975934464236,9,6,106,0,1.0881689788582753,0.3232516834418215,1.9817927373729,90
0.19561646385078515,0.5022378610366691,8.85633147746088,0.05933793363726418,7,5,233,11,0.9401018503288876,0.31462173351395745,1.9821922334627973,27
0.19162771686689084,0.5107070743781068,0.6036346171493459,0.03960176282936336,7,5,325,5,1.4067888379758382,0.3734456454337042,1.9822134438570969,68
0.08808451603899185,0.6065798445422923,7.53014535835049,0.11700249476530875,7,7,245,23,1.8394020215976399,0.37814488218294795,1.982417050956622,26
0.20347349336900397,0.7401761341457174,3.2181733303391358,0.03308532072919974,7,5,211,14,0.8680631449524674,0.4040154607816423,1.982498809291359,84
0.10450297078334495,0.5489858376712003,7.432008092067665,0.08589239728166223,8,9,291,18,0.6431635111261429,0.276045783347274,1.9825448826062635,31
0.14379861091636253,0.6471736555625724,3.701915595861816,0.0471145973262886,7,5,303,13,1.8094214209646067,0.31834159781070187,1.9825750619521163,54
0.164752826993847,0.6005123094846785,5.148175378795193,0.12527231037490114,6,2,210,15,2.4136766972837598,0.25092247151109925,1.9835620719751423,94
0.1435690910691967,0.5934893436188449,6.171736125679595,0.08618262908741917,6,4,235,22,0.039549106913561505,0.5135549038733036,1.9838535293267825,14
0.19707045009284374,0.635104482505447,1.7799668041698837,0.0328947628967606,9,1,206,5,0.8957093740971905,0.34052332409435965,1.9844997677785623,100
0.18684426337335824,0.5651709632831379,1.935858327265487,0.1288344605635529,7,5,126,26,1.462820925069043,0.4051373363970566,1.9848632601883147,28
0.220512384575419,0.5443168251841721,6.656583951431543,0.05894694925524739,6,7,354,13,1.5106890100978676,0.6030859738534791,1.984902759901787,85
0.24025526847587492,0.7868934883860526,6.104329713098085,0.04261483923579514,7,4,260,17,0.25808143799619915,0.46665564806689397,1.9859418993677216,99
0.3010021458910491,0.5277510724076075,8.812557767880497,0.0722142424590562,8,0,143,11,1.333764297497277,0.6421208275008209,1.986217826273189,93
0.11927378262442066,0.5885358907596815,0.9553812529498535,0.08042060855867487,12,9,105,3,2.2930824119065756,0.33202230563274593,1.9864349291396848,77
0.10674386039521606,0.5015977918938438,4.089736218352515,0.13653575810829843,11,2,173,16,1.0611895543200693,0.4737152473240718,1.986559417983116,38
0.2602404424926499,0.6098953947955595,6.757368505492546,0.06993287164852345,6,5,309,7,2.5688995924381914,0.6289796691317333,1.986740042784986,47
0.1576603749202954,0.6935715053693197,7.716696340849379,0.025274784046089863,11,7,362,26,0.26866815302367203,0.39119343247338306,1.9869126985643628,56
0.27587220938549567,0.6219394634416094,4.731916148242522,0.040442771676864886,7,7,408,15,1.1934543608667036,0.2923431869243155,1.987087326480016,29
0.110121486611966,0.5175521038681372,8.316070987598525,0.17875403880784477,7,0,412,15,1.7446958806988382,0.2522363154898725,1.9871738449166156,61
0.3856422580508535,0.5755800256028886,2.2703380463921783,0.099356515631444,8,2,120,25,0.12007590626989267,0.28605946140576943,1.98718833605523,65
0.32713855125734453,0.5527593030854461,7.885399412149874,0.053374051502901754,9,0,199,29,1.7809369590172206,0.4174944870884858,1.987271521690149,80
0.07353473775504818,0.6348242630431644,4.160408171811603,0.16005971359523616,8,5,328,8,2.664236953422148,0.2659105933212058,1.987290136130739,83
0.3494584444426424,0.5882824967925279,7.100271672641821,0.013158092026826182,10,9,422,9,0.41765839821453815,0.4214388192238494,1.9875992500211568,34
0.4980982738246013,0.5168425676965721,1.1637842849536288,0.05575041609138559,7,5,300,27,1.6778226450452152,0.25955421609707835,1.98771667893466,24
0.2092932254284648,0.5688826842200904,2.7655123699176247,0.06775619766643282,8,5,346,26,2.126745945404477,0.3842262910361389,1.9877376891308196,74
0.14708926528147626,0.7010612874339213,3.474636817262877,0.14738395032404483,6,4,225,10,0.9217744916662182,0.6907392088164706,1.9879327290004791,13
0.30426969186055886,0.5602256106192175,5.716230955248747,0.020914362436383286,12,3,284,28,1.8517393046318176,0.3657412675329961,1.988000459946481,40
0.1649046275813916,0.7219403192479017,6.828842008544802,0.03243348061904085,12,8,248,18,0.852313542902425,0.44850702196291714,1.988028991573012,45
0.1812898122377853,0.5561423245324184,4.517574785281758,0.12946471839953483,7,3,280,22,0.9788948820643413,0.48729515795116474,1.988190229287416,58
0.23229395829415306,0.6692107017063735,4.406286014632916,0.029061347697876133,9,3,335,6,0.515614684189682,0.6561979941786815,1.9883399919928613,5
0.12822603480338013,0.8191474498986524,2.0051660142854013,0.2845457696384163,6,6,150,0,2.762945185097731,0.5685170157120633,1.9885017505754,15
0.14127200776009585,0.7192461649786309,7.264155399329413,0.06589391066823608,8,7,392,25,1.7184174349688164,0.6639866966022836,1.98853564931663,97
0.2387274304244853,0.5385790044738256,4.850346600515617,0.10669770899733225,8,8,238,25,0.6940407870407014,0.2994169344050968,1.988540810986833,36
0.05711826550646359,0.9341970124311785,5.551451453097165,0.16742286975335513,9,4,337,29,2.7600276793119485,0.5217015338451563,1.98864485971084,9
0.4360196025941636,0.6309003891512643,8.036819675846973,0.07731497235709256,8,8,160,17,0.16761531522445527,0.4361515002301166,1.988769662331801,32
0.3543931229836491,0.6550059989372511,7.927443667193091,0.021201148566052812,12,5,242,22,1.5985975127124556,0.36494690075915137,1.9889879589794135,96
0.1885759145887208,0.7046085194302341,4.952154672432739,0.09493705061162544,11,8,155,23,1.9155124904011354,0.28121798521006014,1.9894981876541773,91
0.07057885021265788,0.9928478740485498,5.160317560318708,0.1892992958673891,8,3,253,6,1.099522277518139,0.5817970304703661,1.9911825124345253,48
0.16328867292784513,0.841764528795482,8.614080868762503,0.029080655719450847,11,2,481,18,0.6398531277653818,0.4335394447931856,1.991238828129827,82
0.09346886764004202,0.9132394275817981,0.4738358372737901,0.14187820717112912,10,5,138,9,1.951095479650465,0.7457703321816682,1.9913861940128368,64
0.29429579452402305,0.7995879212989306,5.533871440953303,0.07883915596590096,9,9,257,17,1.569295751353988,0.3335827910409338,1.9914154206527857,62
0.2649932560918422,0.7637761134494169,7.531875107448211,0.2139240526214839,7,5,218,18,1.230641790730181,0.34620279575603496,1.99174219256433,92
0.2820890498985134,0.5640197106782145,4.498750950657588,0.19849138700071708,7,5,310,27,0.7346232720177488,0.5699344243991473,1.9921434052434228,95
0.14077587872886338,0.9420731644512659,0.24478741816214944,0.21206667913386099,8,3,148,2,0.374101977816946,0.5079160559651983,1.9923606419273403,17
0.48775401986784506,0.758246557123072,8.04818167094411,0.0726905630172864,8,0,307,5,0.00745574282549577,0.2548131549594408,1.9929632636652732,39
0.42272508431658046,0.977796753584625,8.127789326600112,0.2217102527097453,6,6,302,8,2.0840689031561466,0.3940692051407407,1.993161041359966,19
0.226357638156456,0.7286353472353446,6.346752708505023,0.28878010453835806,9,0,121,13,2.625335695472114,0.44889293466596264,1.9936579855631231,20
0.24818563381181677,0.5311820553521872,5.94703455140468,0.299473713489955,8,6,221,6,1.0133119353820748,0.2869206153051024,1.9939540983250317,78
0.2129237003899326,0.5789545683052586,2.8160020404417954,0.11684918973000098,10,5,206,0,1.567363444090597,0.5009141120640994,1.994424701984444,53
0.16408593283293688,0.5720153011388909,3.8564176686712326,0.10240410979122659,10,1,306,10,1.0754445677200923,0.6895679435990226,1.9944451974535724,12
0.2507750591905118,0.5383429817211501,7.150216868651444,0.11519540501191362,12,8,288,18,2.8522642541323306,0.3030648255632938,1.9945272474127105,63
0.3253992259946608,0.798534156247549,5.9999957329715325,0.22787040231362762,7,2,404,29,1.3782288246989733,0.5369470347320858,1.9947755517654184,49
0.3827769053856892,0.675465667449572,3.7270676923698454,0.20107736968585346,11,9,131,19,2.183177229531975,0.45505197942665687,1.9948155430703047,2
0.31747051111612345,0.6853427438313522,0.0005494567740613743,0.06350314475353144,12,0,205,14,2.1018643338640977,0.727738993154964,1.995126629999593,10
0.17270485045280976,0.6319282139797413,6.796736343253543,0.25364073773749596,10,5,156,1,2.363855341982865,0.3479369001055481,1.995512402008372,37
0.4130958960097403,0.906269371555255,4.223657835837168,0.26802788974968905,9,0,190,26,1.9651472304504678,0.42734747028865805,1.995582133836656,50
0.12160348956345089,0.885375694757653,3.1058070752380544,0.1545730097710166,10,8,350,7,2.649945832142586,0.6686941777766421,1.9972627128468323,3
0.12703322271184667,0.5664591828852682,5.4662254045966225,0.23012732980852607,10,4,379,4,1.2961869253835365,0.35561534462461725,1.9973231847730173,86
0.38457129656746675,0.931370806570153,4.602612479864332,0.20880981556809441,10,9,230,12,2.497896096944879,0.47735052611068607,1.9974034736297697,1
0.08467671209970207,0.6739291741117717,7.0636150816782415,0.14929790100823442,12,6,396,4,2.191112583230885,0.7256815316668837,1.9975059689554728,52
0.11866756407729993,0.6564196531173141,2.4724336395187567,0.17364143443489258,12,6,399,4,2.453490058991254,0.2518151536273716,1.9975798747068727,11
0.22134652526626142,0.6470776895622317,5.281071091856235,0.19060489037949363,11,1,369,21,2.976523167761874,0.4113316194053108,1.997728714380483,41
0.46866986602702754,0.7446757419826349,5.957674812787719,0.08966818540309858,9,1,443,2,2.4837904374854776,0.46164065878661015,1.9977855006287035,55
0.23993716367781376,0.8243887548518629,5.351580315781545,0.17782664062413975,11,2,338,24,2.326093136483647,0.5585396792511581,1.998004433081628,8
0.3697981061823325,0.6902690686670012,3.020329949821022,0.1595456005648038,10,9,357,3,2.259825914131148,0.34249480247466557,1.9980793899163949,43
0.07694899511560072,0.8407987767592282,8.470231459806191,0.20736437120236403,12,4,437,8,2.0431173739821418,0.5960552260356344,1.9990253808609533,18
0.34262784578649313,0.7120890362303409,6.453280360438532,0.2711652365447553,11,3,317,7,1.3140875593227697,0.6497767208035865,1.999615544620143,6
0.1766278099266798,0.5006074307971135,0.19882085243809278,0.2528186483446106,12,1,426,7,0.4192482748375244,0.5121949532833378,1.9996353556780548,87
0.29064432205451096,0.7295122570754028,3.3532180018493203,0.24017091911387772,11,1,270,2,2.8181092128083147,0.6170140089927841,1.9996481129509336,7
