iteration,roc_weighted,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
41,0.889315859120181,2022-06-28 21:10:56.948560,2022-06-28 21:10:58.276825,0 days 00:00:01.328265,0.1,0.00030173135493024233,0.08025377083280623,15.0,3325.0,hinge,8241278.0,False,l1,COMPLETE
44,0.8866515170315117,2022-06-28 21:11:02.838313,2022-06-28 21:11:04.069324,0 days 00:00:01.231011,0.5,0.0002463779682315403,0.07574502077512132,17.0,2625.0,hinge,7515448.0,False,l1,COMPLETE
65,0.8866515170315117,2022-06-28 21:11:31.629155,2022-06-28 21:11:33.216074,0 days 00:00:01.586919,0.5,0.0004365378140442579,0.02791507149543324,14.0,2383.0,hinge,3661293.0,False,l1,COMPLETE
55,0.8866515170315117,2022-06-28 21:11:18.921264,2022-06-28 21:11:20.138429,0 days 00:00:01.217165,0.5,0.00011239951287248881,0.08585663827789279,14.0,4307.0,hinge,6648726.0,False,l1,COMPLETE
18,0.8649636251003938,2022-06-28 21:10:24.600287,2022-06-28 21:10:26.059503,0 days 00:00:01.459216,0.1,0.0001267912955943662,0.08493154271449838,13.0,251.0,hinge,6382792.0,False,l1,COMPLETE
90,0.8649636251003938,2022-06-28 21:12:04.369269,2022-06-28 21:12:05.791242,0 days 00:00:01.421973,0.1,0.0008041763975697702,0.04907951485683828,13.0,7681.0,hinge,4800289.0,False,l1,COMPLETE
97,0.8649636251003938,2022-06-28 21:12:14.269531,2022-06-28 21:12:15.698507,0 days 00:00:01.428976,0.1,0.0008474318531845346,0.04637173536206783,12.0,8128.0,hinge,6527514.0,False,l1,COMPLETE
53,0.8649636251003938,2022-06-28 21:11:15.666363,2022-06-28 21:11:17.051894,0 days 00:00:01.385531,0.1,0.000539141784011313,0.0697479635643049,16.0,2676.0,hinge,8354513.0,False,l1,COMPLETE
45,0.8411947108682014,2022-06-28 21:11:04.069452,2022-06-28 21:11:05.684362,0 days 00:00:01.614910,1.0,0.00029232434614564405,0.0813203467498573,14.0,6046.0,hinge,2935439.0,True,l1,COMPLETE
85,0.8411947108682014,2022-06-28 21:11:58.044609,2022-06-28 21:11:59.589313,0 days 00:00:01.544704,1.0,0.00040620661766645097,0.07518055891384158,12.0,6297.0,hinge,2509610.0,False,l1,COMPLETE
33,0.8392974085398572,2022-06-28 21:10:47.687336,2022-06-28 21:10:49.201260,0 days 00:00:01.513924,0.6,0.0006052279542766609,0.08745733991316591,13.0,7367.0,hinge,4095188.0,False,l1,COMPLETE
42,0.8392974085398572,2022-06-28 21:10:58.276974,2022-06-28 21:11:00.531593,0 days 00:00:02.254619,0.6,0.0002452778861816456,0.06920736714092746,16.0,3029.0,hinge,7465956.0,False,l1,COMPLETE
52,0.8392974085398572,2022-06-28 21:11:13.507412,2022-06-28 21:11:15.666238,0 days 00:00:02.158826,0.6,0.00032033070796459945,0.0852118067499473,15.0,3587.0,hinge,7857076.0,False,l1,COMPLETE
95,0.8392529652329048,2022-06-28 21:12:10.982569,2022-06-28 21:12:12.909376,0 days 00:00:01.926807,0.7000000000000001,0.0008638813304691666,0.04013646698248174,12.0,6730.0,hinge,5945931.0,False,l1,COMPLETE
11,0.8392529652329048,2022-06-28 21:10:15.364269,2022-06-28 21:10:16.750950,0 days 00:00:01.386681,0.8,4.8554551510467865e-05,0.07419592575467764,15.0,2977.0,hinge,8950999.0,False,l1,COMPLETE
82,0.8392529652329048,2022-06-28 21:11:53.717112,2022-06-28 21:11:55.095611,0 days 00:00:01.378499,0.7000000000000001,0.0006535806822210229,0.061117044504320636,11.0,8127.0,hinge,310013.0,False,l1,COMPLETE
75,0.8392529652329048,2022-06-28 21:11:45.559874,2022-06-28 21:11:46.914277,0 days 00:00:01.354403,0.8,0.0005177418300066565,0.0650363986648369,11.0,6021.0,hinge,1172335.0,False,l1,COMPLETE
