iteration,precision,datetime_start,datetime_complete,duration,C,change_tol,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
70,0.8808547327212565,2022-06-28 21:19:36.322773,2022-06-28 21:19:38.075166,0 days 00:00:01.752393,0.9,0.00026321256626571105,0.020393942951091436,18.0,2865.0,hinge,7339581.0,True,l1,COMPLETE
83,0.8808547327212565,2022-06-28 21:19:58.411907,2022-06-28 21:20:00.478789,0 days 00:00:02.066882,0.9,0.00040695597786100145,0.013680620285418187,17.0,2944.0,hinge,7057584.0,True,l1,COMPLETE
67,0.8808547327212565,2022-06-28 21:19:31.964414,2022-06-28 21:19:33.620366,0 days 00:00:01.655952,0.9,0.0003078934475788602,0.021625024004499574,18.0,3662.0,hinge,7568883.0,True,l1,COMPLETE
71,0.8808547327212565,2022-06-28 21:19:38.075302,2022-06-28 21:19:39.927181,0 days 00:00:01.851879,0.9,0.0002734449686103228,0.019533946328088116,18.0,2840.0,hinge,7284792.0,True,l1,COMPLETE
72,0.8808547327212565,2022-06-28 21:19:39.927314,2022-06-28 21:19:41.369475,0 days 00:00:01.442161,0.9,0.00026399902251667126,0.021450523052479627,18.0,2557.0,hinge,7364658.0,True,l1,COMPLETE
82,0.8808547327212565,2022-06-28 21:19:56.625753,2022-06-28 21:19:58.411746,0 days 00:00:01.785993,0.9,0.0004240950051279535,0.018332628734642906,18.0,4581.0,hinge,7275528.0,True,l1,COMPLETE
63,0.8808547327212565,2022-06-28 21:19:24.686399,2022-06-28 21:19:26.541960,0 days 00:00:01.855561,0.9,0.00031183796371566806,0.015994652489638973,18.0,4514.0,hinge,7952421.0,True,l1,COMPLETE
91,0.880798713856334,2022-06-28 21:20:11.722605,2022-06-28 21:20:13.544188,0 days 00:00:01.821583,0.8,0.0003282199236210757,0.015341295848890215,18.0,3312.0,hinge,8114346.0,True,l1,COMPLETE
97,0.880798713856334,2022-06-28 21:20:21.554505,2022-06-28 21:20:23.315095,0 days 00:00:01.760590,0.8,0.00041982838728684346,0.009639169586334173,19.0,2981.0,hinge,7022132.0,True,l1,COMPLETE
66,0.880798713856334,2022-06-28 21:19:29.617838,2022-06-28 21:19:31.964283,0 days 00:00:02.346445,0.8,0.00030175222580193837,0.016311807032469223,18.0,3974.0,hinge,8032619.0,True,l1,COMPLETE
65,0.880798713856334,2022-06-28 21:19:27.983727,2022-06-28 21:19:29.617696,0 days 00:00:01.633969,0.8,0.0003059899069078012,0.023427293925493562,18.0,3701.0,hinge,8006171.0,True,l1,COMPLETE
64,0.880798713856334,2022-06-28 21:19:26.542104,2022-06-28 21:19:27.983595,0 days 00:00:01.441491,0.8,0.0003040033044856338,0.01668058924774584,18.0,4190.0,hinge,7643860.0,True,l1,COMPLETE
60,0.8807920792079208,2022-06-28 21:19:19.676133,2022-06-28 21:19:21.125146,0 days 00:00:01.449013,0.6,0.0002927220836630317,0.008156415639720395,19.0,4231.0,hinge,8633772.0,True,l1,COMPLETE
61,0.8807920792079208,2022-06-28 21:19:21.125283,2022-06-28 21:19:22.572176,0 days 00:00:01.446893,0.6,0.00028767175240972375,0.007762881980592041,19.0,4309.0,hinge,8592544.0,True,l1,COMPLETE
73,0.828432218006209,2022-06-28 21:19:41.369618,2022-06-28 21:19:42.797477,0 days 00:00:01.427859,1.0,0.00017902475033590364,0.020995802080785542,18.0,2769.0,hinge,7188004.0,True,l1,COMPLETE
93,0.828432218006209,2022-06-28 21:20:15.000025,2022-06-28 21:20:17.120134,0 days 00:00:02.120109,1.0,0.00031888188772720763,0.015869759394508406,18.0,3417.0,hinge,8404881.0,True,l1,COMPLETE
