iteration,roc_weighted,datetime_start,datetime_complete,duration,metric,n_neighbors,state
15,0.8233056268264642,2022-06-15 19:15:17.547708,2022-06-15 19:15:55.970783,0 days 00:00:38.423075,chebyshev,50.0,COMPLETE
96,0.8233056268264642,2022-06-15 21:33:39.061763,2022-06-15 21:34:17.361941,0 days 00:00:38.300178,minkowski,50.0,COMPLETE
11,0.8233056268264642,2022-06-15 19:12:44.763911,2022-06-15 19:13:23.060741,0 days 00:00:38.296830,euclidean,50.0,COMPLETE
12,0.8233056268264642,2022-06-15 19:13:23.060849,2022-06-15 19:14:01.372357,0 days 00:00:38.311508,euclidean,50.0,COMPLETE
80,0.8230114924471463,2022-06-15 20:53:17.190073,2022-06-15 20:53:55.354316,0 days 00:00:38.164243,manhattan,48.0,COMPLETE
45,0.8230114924471463,2022-06-15 19:34:15.360050,2022-06-15 19:34:53.532548,0 days 00:00:38.172498,manhattan,48.0,COMPLETE
43,0.8230114924471463,2022-06-15 19:32:58.967428,2022-06-15 19:33:37.136657,0 days 00:00:38.169229,chebyshev,48.0,COMPLETE
53,0.8230114924471463,2022-06-15 19:39:18.451846,2022-06-15 19:39:56.639347,0 days 00:00:38.187501,manhattan,48.0,COMPLETE
87,0.8230114924471463,2022-06-15 21:27:55.633736,2022-06-15 21:28:33.929464,0 days 00:00:38.295728,euclidean,48.0,COMPLETE
74,0.8230114924471463,2022-06-15 20:49:28.076618,2022-06-15 20:50:06.251274,0 days 00:00:38.174656,chebyshev,48.0,COMPLETE
35,0.8230114924471463,2022-06-15 19:27:55.121378,2022-06-15 19:28:33.357091,0 days 00:00:38.235713,euclidean,48.0,COMPLETE
95,0.8230114924471463,2022-06-15 21:33:00.787116,2022-06-15 21:33:39.061601,0 days 00:00:38.274485,chebyshev,48.0,COMPLETE
59,0.8230114924471463,2022-06-15 19:43:07.192735,2022-06-15 19:43:45.396875,0 days 00:00:38.204140,chebyshev,48.0,COMPLETE
50,0.8229994440634949,2022-06-15 19:37:23.728763,2022-06-15 19:38:01.834221,0 days 00:00:38.105458,euclidean,46.0,COMPLETE
55,0.8229994440634949,2022-06-15 19:40:34.687375,2022-06-15 19:41:12.834474,0 days 00:00:38.147099,chebyshev,46.0,COMPLETE
78,0.8229994440634949,2022-06-15 20:52:01.016307,2022-06-15 20:52:39.138046,0 days 00:00:38.121739,manhattan,46.0,COMPLETE
60,0.8229994440634949,2022-06-15 19:43:45.397005,2022-06-15 19:44:23.576303,0 days 00:00:38.179298,chebyshev,46.0,COMPLETE
97,0.8229994440634949,2022-06-15 21:34:17.362107,2022-06-15 21:34:55.502062,0 days 00:00:38.139955,minkowski,46.0,COMPLETE
23,0.8229994440634949,2022-06-15 19:20:21.649021,2022-06-15 19:20:59.775068,0 days 00:00:38.126047,euclidean,46.0,COMPLETE
88,0.8229994440634949,2022-06-15 21:28:33.929663,2022-06-15 21:29:12.164299,0 days 00:00:38.234636,euclidean,46.0,COMPLETE
58,0.8227196464700224,2022-06-15 19:42:29.133492,2022-06-15 19:43:07.192561,0 days 00:00:38.059069,euclidean,44.0,COMPLETE
46,0.8227196464700224,2022-06-15 19:34:53.532688,2022-06-15 19:35:31.565380,0 days 00:00:38.032692,manhattan,44.0,COMPLETE
79,0.8227196464700224,2022-06-15 20:52:39.138175,2022-06-15 20:53:17.189929,0 days 00:00:38.051754,minkowski,44.0,COMPLETE
33,0.8227196464700224,2022-06-15 19:26:40.678613,2022-06-15 19:27:18.735664,0 days 00:00:38.057051,chebyshev,44.0,COMPLETE
28,0.8221909400494101,2022-06-15 19:23:31.326363,2022-06-15 19:24:09.292561,0 days 00:00:37.966198,chebyshev,42.0,COMPLETE
69,0.8221909400494101,2022-06-15 20:46:17.005781,2022-06-15 20:46:55.010150,0 days 00:00:38.004369,euclidean,42.0,COMPLETE
89,0.8221909400494101,2022-06-15 21:29:12.164497,2022-06-15 21:29:50.386111,0 days 00:00:38.221614,chebyshev,42.0,COMPLETE
63,0.8210896894018187,2022-06-15 19:47:02.395306,2022-06-15 19:47:40.800505,0 days 00:00:38.405199,euclidean,49.0,COMPLETE
77,0.8210896894018187,2022-06-15 20:51:22.664835,2022-06-15 20:52:01.016135,0 days 00:00:38.351300,manhattan,49.0,COMPLETE
56,0.8210896894018187,2022-06-15 19:41:12.834592,2022-06-15 19:41:51.074737,0 days 00:00:38.240145,manhattan,49.0,COMPLETE
94,0.8210896894018187,2022-06-15 21:32:22.381310,2022-06-15 21:33:00.786942,0 days 00:00:38.405632,manhattan,49.0,COMPLETE
71,0.8210896894018187,2022-06-15 20:47:33.155384,2022-06-15 20:48:11.456584,0 days 00:00:38.301200,manhattan,49.0,COMPLETE
83,0.8210896894018187,2022-06-15 21:25:22.187628,2022-06-15 21:26:00.532314,0 days 00:00:38.344686,chebyshev,49.0,COMPLETE
86,0.8210896894018187,2022-06-15 21:27:17.322844,2022-06-15 21:27:55.633507,0 days 00:00:38.310663,chebyshev,49.0,COMPLETE
10,0.8210896894018187,2022-06-15 19:12:06.486277,2022-06-15 19:12:44.763807,0 days 00:00:38.277530,euclidean,49.0,COMPLETE
42,0.8210036468116899,2022-06-15 19:32:20.787732,2022-06-15 19:32:58.967234,0 days 00:00:38.179502,manhattan,45.0,COMPLETE
19,0.8210036468116899,2022-06-15 19:17:49.018914,2022-06-15 19:18:27.119414,0 days 00:00:38.100500,chebyshev,45.0,COMPLETE
70,0.8210036468116899,2022-06-15 20:46:55.010285,2022-06-15 20:47:33.155214,0 days 00:00:38.144929,euclidean,45.0,COMPLETE
82,0.8210036468116899,2022-06-15 21:24:38.858207,2022-06-15 21:25:22.187286,0 days 00:00:43.329079,chebyshev,45.0,COMPLETE
98,0.8210036468116899,2022-06-15 21:34:55.502225,2022-06-15 21:35:33.755155,0 days 00:00:38.252930,euclidean,45.0,COMPLETE
24,0.8210036468116899,2022-06-15 19:20:59.775179,2022-06-15 19:21:37.858191,0 days 00:00:38.083012,chebyshev,45.0,COMPLETE
72,0.8209905309349874,2022-06-15 20:48:11.456725,2022-06-15 20:48:49.785349,0 days 00:00:38.328624,manhattan,47.0,COMPLETE
75,0.8209905309349874,2022-06-15 20:50:06.251420,2022-06-15 20:50:44.407446,0 days 00:00:38.156026,euclidean,47.0,COMPLETE
29,0.8209905309349874,2022-06-15 19:24:09.292681,2022-06-15 19:24:47.441037,0 days 00:00:38.148356,chebyshev,47.0,COMPLETE
6,0.8209905309349874,2022-06-15 19:09:35.613321,2022-06-15 19:10:13.856740,0 days 00:00:38.243419,manhattan,47.0,COMPLETE
85,0.8209905309349874,2022-06-15 21:26:38.943889,2022-06-15 21:27:17.322669,0 days 00:00:38.378780,minkowski,47.0,COMPLETE
32,0.8209905309349874,2022-06-15 19:26:02.538278,2022-06-15 19:26:40.678485,0 days 00:00:38.140207,chebyshev,47.0,COMPLETE
40,0.8209905309349874,2022-06-15 19:31:04.395688,2022-06-15 19:31:42.552412,0 days 00:00:38.156724,manhattan,47.0,COMPLETE
92,0.8209905309349874,2022-06-15 21:31:05.877142,2022-06-15 21:31:44.090834,0 days 00:00:38.213692,chebyshev,47.0,COMPLETE
13,0.8205303135468324,2022-06-15 19:14:01.372455,2022-06-15 19:14:39.462912,0 days 00:00:38.090457,euclidean,43.0,COMPLETE
14,0.8205303135468324,2022-06-15 19:14:39.463040,2022-06-15 19:15:17.547603,0 days 00:00:38.084563,euclidean,43.0,COMPLETE
54,0.8205303135468324,2022-06-15 19:39:56.639463,2022-06-15 19:40:34.687252,0 days 00:00:38.047789,manhattan,43.0,COMPLETE
38,0.8204528479409371,2022-06-15 19:29:48.373831,2022-06-15 19:30:26.155025,0 days 00:00:37.781194,chebyshev,36.0,COMPLETE
17,0.8204365590425207,2022-06-15 19:16:33.953219,2022-06-15 19:17:11.822410,0 days 00:00:37.869191,chebyshev,38.0,COMPLETE
48,0.819736292442999,2022-06-15 19:36:07.854112,2022-06-15 19:36:45.988607,0 days 00:00:38.134495,manhattan,41.0,COMPLETE
