iteration,recall,datetime_start,datetime_complete,duration,metric,n_neighbors,state
13,0.8314508009153319,2022-06-15 13:42:05.530411,2022-06-15 13:43:41.719036,0 days 00:01:36.188625,euclidean,50.0,COMPLETE
86,0.8314508009153319,2022-06-15 19:31:46.430946,2022-06-15 19:32:24.610042,0 days 00:00:38.179096,minkowski,50.0,COMPLETE
95,0.8314508009153319,2022-06-15 19:37:29.426900,2022-06-15 19:38:07.605485,0 days 00:00:38.178585,minkowski,50.0,COMPLETE
58,0.8314508009153319,2022-06-15 19:14:00.790782,2022-06-15 19:14:39.046455,0 days 00:00:38.255673,chebyshev,50.0,COMPLETE
76,0.8314508009153319,2022-06-15 19:25:27.823117,2022-06-15 19:26:05.998727,0 days 00:00:38.175610,minkowski,50.0,COMPLETE
7,0.8314508009153319,2022-06-15 13:32:44.192087,2022-06-15 13:34:20.284221,0 days 00:01:36.092134,minkowski,50.0,COMPLETE
68,0.8314508009153319,2022-06-15 19:20:22.507631,2022-06-15 19:21:00.682189,0 days 00:00:38.174558,chebyshev,50.0,COMPLETE
10,0.8314508009153319,2022-06-15 13:37:21.679229,2022-06-15 13:38:57.896477,0 days 00:01:36.217248,euclidean,50.0,COMPLETE
48,0.8314508009153319,2022-06-15 14:37:39.114293,2022-06-15 14:39:15.168949,0 days 00:01:36.054656,manhattan,50.0,COMPLETE
11,0.8314508009153319,2022-06-15 13:38:57.896585,2022-06-15 13:40:33.935621,0 days 00:01:36.039036,euclidean,50.0,COMPLETE
4,0.8313409610983982,2022-06-15 13:28:03.696717,2022-06-15 13:29:39.036565,0 days 00:01:35.339848,manhattan,39.0,COMPLETE
47,0.8313409610983982,2022-06-15 14:36:03.480897,2022-06-15 14:37:39.114175,0 days 00:01:35.633278,chebyshev,39.0,COMPLETE
36,0.8305171624713958,2022-06-15 14:18:29.817355,2022-06-15 14:20:04.611282,0 days 00:01:34.793927,chebyshev,37.0,COMPLETE
28,0.8305171624713958,2022-06-15 14:05:47.576740,2022-06-15 14:07:22.789535,0 days 00:01:35.212795,chebyshev,37.0,COMPLETE
55,0.8299679633867277,2022-06-15 19:12:09.185264,2022-06-15 19:12:47.454862,0 days 00:00:38.269598,minkowski,48.0,COMPLETE
89,0.8299679633867277,2022-06-15 19:33:40.788782,2022-06-15 19:34:18.899223,0 days 00:00:38.110441,manhattan,48.0,COMPLETE
40,0.8299679633867277,2022-06-15 14:24:52.129304,2022-06-15 14:26:28.188601,0 days 00:01:36.059297,manhattan,48.0,COMPLETE
39,0.8299679633867277,2022-06-15 14:23:16.519345,2022-06-15 14:24:52.129187,0 days 00:01:35.609842,chebyshev,48.0,COMPLETE
35,0.8299679633867277,2022-06-15 14:16:53.927535,2022-06-15 14:18:29.817238,0 days 00:01:35.889703,manhattan,48.0,COMPLETE
97,0.8299679633867277,2022-06-15 19:38:45.641258,2022-06-15 19:39:23.762376,0 days 00:00:38.121118,minkowski,48.0,COMPLETE
94,0.8299679633867277,2022-06-15 19:36:51.298427,2022-06-15 19:37:29.426753,0 days 00:00:38.128326,minkowski,48.0,COMPLETE
44,0.8299679633867277,2022-06-15 14:31:15.561257,2022-06-15 14:32:51.795581,0 days 00:01:36.234324,chebyshev,48.0,COMPLETE
23,0.8287231121281464,2022-06-15 13:57:48.380084,2022-06-15 13:59:23.657498,0 days 00:01:35.277414,euclidean,35.0,COMPLETE
90,0.8287231121281464,2022-06-15 19:34:18.899382,2022-06-15 19:34:56.953531,0 days 00:00:38.054149,minkowski,46.0,COMPLETE
87,0.8287231121281464,2022-06-15 19:32:24.610195,2022-06-15 19:33:02.697856,0 days 00:00:38.087661,minkowski,46.0,COMPLETE
99,0.8287231121281464,2022-06-15 19:40:00.997034,2022-06-15 19:40:39.020109,0 days 00:00:38.023075,minkowski,46.0,COMPLETE
26,0.8287231121281464,2022-06-15 14:02:35.594034,2022-06-15 14:04:11.679388,0 days 00:01:36.085354,chebyshev,46.0,COMPLETE
30,0.8287231121281464,2022-06-15 14:08:55.529198,2022-06-15 14:10:31.397515,0 days 00:01:35.868317,chebyshev,46.0,COMPLETE
84,0.8287231121281464,2022-06-15 19:30:30.101202,2022-06-15 19:31:08.283134,0 days 00:00:38.181932,minkowski,46.0,COMPLETE
54,0.8287231121281464,2022-06-15 19:11:31.301028,2022-06-15 19:12:09.185150,0 days 00:00:37.884122,chebyshev,35.0,COMPLETE
3,0.8287231121281464,2022-06-15 13:26:27.865897,2022-06-15 13:28:03.696624,0 days 00:01:35.830727,minkowski,46.0,COMPLETE
81,0.8276247139588101,2022-06-15 19:28:35.819167,2022-06-15 19:29:13.808705,0 days 00:00:37.989538,minkowski,44.0,COMPLETE
14,0.8276247139588101,2022-06-15 13:43:41.719141,2022-06-15 13:45:16.757954,0 days 00:01:35.038813,minkowski,44.0,COMPLETE
17,0.8276247139588101,2022-06-15 13:48:19.611405,2022-06-15 13:49:54.634558,0 days 00:01:35.023153,euclidean,44.0,COMPLETE
63,0.8276247139588101,2022-06-15 19:17:11.618674,2022-06-15 19:17:49.681691,0 days 00:00:38.063017,chebyshev,44.0,COMPLETE
0,0.8274233409610984,2022-06-15 13:21:46.232172,2022-06-15 13:23:20.846052,0 days 00:01:34.613880,manhattan,33.0,COMPLETE
34,0.8274233409610984,2022-06-15 14:15:19.237713,2022-06-15 14:16:53.927411,0 days 00:01:34.689698,chebyshev,33.0,COMPLETE
42,0.8261235697940503,2022-06-15 14:28:03.605813,2022-06-15 14:29:39.367003,0 days 00:01:35.761190,chebyshev,42.0,COMPLETE
