iteration,precision,datetime_start,datetime_complete,duration,metric,n_neighbors,state
85,0.4347036591288191,2022-06-15 20:53:52.287365,2022-06-15 20:54:28.656388,0 days 00:00:36.369023,chebyshev,5,COMPLETE
42,0.4347036591288191,2022-06-15 20:27:40.881530,2022-06-15 20:28:17.224903,0 days 00:00:36.343373,euclidean,5,COMPLETE
58,0.4347036591288191,2022-06-15 20:37:28.090446,2022-06-15 20:38:04.469487,0 days 00:00:36.379041,euclidean,5,COMPLETE
36,0.4347036591288191,2022-06-15 20:24:01.170593,2022-06-15 20:24:37.514673,0 days 00:00:36.344080,euclidean,5,COMPLETE
2,0.4347036591288191,2022-06-15 20:03:10.599942,2022-06-15 20:03:46.934483,0 days 00:00:36.334541,euclidean,5,COMPLETE
93,0.4347036591288191,2022-06-15 20:58:45.448010,2022-06-15 20:59:21.772302,0 days 00:00:36.324292,chebyshev,5,COMPLETE
40,0.4347036591288191,2022-06-15 20:26:27.979385,2022-06-15 20:27:04.340390,0 days 00:00:36.361005,minkowski,5,COMPLETE
48,0.4347036591288191,2022-06-15 20:31:21.753100,2022-06-15 20:31:58.108654,0 days 00:00:36.355554,euclidean,5,COMPLETE
82,0.4347036591288191,2022-06-15 20:52:02.341221,2022-06-15 20:52:38.844584,0 days 00:00:36.503363,chebyshev,5,COMPLETE
56,0.43196542079837275,2022-06-15 20:36:14.956737,2022-06-15 20:36:51.583203,0 days 00:00:36.626466,euclidean,12,COMPLETE
4,0.43196542079837275,2022-06-15 20:04:24.282817,2022-06-15 20:05:00.856430,0 days 00:00:36.573613,manhattan,12,COMPLETE
6,0.43196542079837275,2022-06-15 20:05:38.177802,2022-06-15 20:06:14.767511,0 days 00:00:36.589709,minkowski,12,COMPLETE
60,0.42806779254761357,2022-06-15 20:38:40.977561,2022-06-15 20:39:17.744034,0 days 00:00:36.766473,euclidean,14,COMPLETE
29,0.4245680966755489,2022-06-15 20:19:44.870244,2022-06-15 20:20:21.625688,0 days 00:00:36.755444,chebyshev,16,COMPLETE
