iteration,f1_weighted,datetime_start,datetime_complete,duration,metric,n_neighbors,state
9,0.8629177061332236,2022-06-15 03:46:31.670323,2022-06-15 03:47:08.168520,0 days 00:00:36.498197,minkowski,10.0,COMPLETE
84,0.8629177061332236,2022-06-15 04:32:09.111723,2022-06-15 04:32:45.555430,0 days 00:00:36.443707,manhattan,10.0,COMPLETE
34,0.8629177061332236,2022-06-15 04:01:47.128692,2022-06-15 04:02:23.671847,0 days 00:00:36.543155,chebyshev,10.0,COMPLETE
74,0.8615440085601886,2022-06-15 04:26:06.125678,2022-06-15 04:26:42.456923,0 days 00:00:36.331245,manhattan,5.0,COMPLETE
82,0.8615440085601886,2022-06-15 04:30:56.608586,2022-06-15 04:31:32.897772,0 days 00:00:36.289186,manhattan,5.0,COMPLETE
97,0.8615440085601886,2022-06-15 04:40:00.867635,2022-06-15 04:40:37.166930,0 days 00:00:36.299295,minkowski,5.0,COMPLETE
91,0.8615440085601886,2022-06-15 04:36:23.456078,2022-06-15 04:36:59.658487,0 days 00:00:36.202409,manhattan,5.0,COMPLETE
32,0.8615440085601886,2022-06-15 04:00:34.670683,2022-06-15 04:01:10.900631,0 days 00:00:36.229948,chebyshev,5.0,COMPLETE
78,0.8615440085601886,2022-06-15 04:28:31.313225,2022-06-15 04:29:07.520453,0 days 00:00:36.207228,manhattan,5.0,COMPLETE
37,0.8615440085601886,2022-06-15 04:03:36.886295,2022-06-15 04:04:13.071607,0 days 00:00:36.185312,chebyshev,5.0,COMPLETE
45,0.8615440085601886,2022-06-15 04:08:28.210271,2022-06-15 04:09:04.424739,0 days 00:00:36.214468,chebyshev,5.0,COMPLETE
42,0.8615440085601886,2022-06-15 04:06:39.165143,2022-06-15 04:07:15.439646,0 days 00:00:36.274503,chebyshev,5.0,COMPLETE
30,0.8603934232030688,2022-06-15 03:59:21.902415,2022-06-15 03:59:58.375382,0 days 00:00:36.472967,euclidean,12.0,COMPLETE
90,0.8603934232030688,2022-06-15 04:35:46.962363,2022-06-15 04:36:23.455921,0 days 00:00:36.493558,manhattan,12.0,COMPLETE
35,0.8587364928479639,2022-06-15 04:02:23.672027,2022-06-15 04:03:00.224854,0 days 00:00:36.552827,manhattan,14.0,COMPLETE
39,0.8546850260852006,2022-06-15 04:04:49.485740,2022-06-15 04:05:26.250625,0 days 00:00:36.764885,minkowski,20.0,COMPLETE
17,0.8546850260852006,2022-06-15 03:51:25.303161,2022-06-15 03:52:02.130019,0 days 00:00:36.826858,euclidean,20.0,COMPLETE
72,0.853141410762725,2022-06-15 04:24:53.575188,2022-06-15 04:25:29.943732,0 days 00:00:36.368544,manhattan,7.0,COMPLETE
86,0.853141410762725,2022-06-15 04:33:21.693244,2022-06-15 04:33:58.035851,0 days 00:00:36.342607,manhattan,7.0,COMPLETE
75,0.853141410762725,2022-06-15 04:26:42.457076,2022-06-15 04:27:18.739021,0 days 00:00:36.281945,manhattan,7.0,COMPLETE
80,0.853141410762725,2022-06-15 04:29:44.091395,2022-06-15 04:30:20.369734,0 days 00:00:36.278339,manhattan,7.0,COMPLETE
98,0.853141410762725,2022-06-15 04:40:37.167097,2022-06-15 04:41:13.517808,0 days 00:00:36.350711,manhattan,7.0,COMPLETE
19,0.853141410762725,2022-06-15 03:52:39.341161,2022-06-15 03:53:15.665370,0 days 00:00:36.324209,euclidean,7.0,COMPLETE
31,0.853141410762725,2022-06-15 03:59:58.375490,2022-06-15 04:00:34.670563,0 days 00:00:36.295073,chebyshev,7.0,COMPLETE
7,0.853141410762725,2022-06-15 03:45:18.040760,2022-06-15 03:45:54.528340,0 days 00:00:36.487580,minkowski,7.0,COMPLETE
8,0.8519771445717934,2022-06-15 03:45:54.528431,2022-06-15 03:46:31.670225,0 days 00:00:37.141794,manhattan,24.0,COMPLETE
27,0.8485096554180344,2022-06-15 03:57:30.633397,2022-06-15 03:58:07.871633,0 days 00:00:37.238236,manhattan,30.0,COMPLETE
77,0.8480416698060846,2022-06-15 04:27:54.935989,2022-06-15 04:28:31.313097,0 days 00:00:36.377108,manhattan,9.0,COMPLETE
38,0.8480416698060846,2022-06-15 04:04:13.071730,2022-06-15 04:04:49.485625,0 days 00:00:36.413895,chebyshev,9.0,COMPLETE
