iteration,roc_weighted,datetime_start,datetime_complete,duration,metric,n_neighbors,state
31,0.8217075895592173,2022-06-15 11:31:17.719770,2022-06-15 11:32:53.068772,0 days 00:01:35.349002,manhattan,42,COMPLETE
82,0.8217075895592173,2022-06-15 12:51:43.905532,2022-06-15 12:53:18.468557,0 days 00:01:34.563025,chebyshev,42,COMPLETE
64,0.8217075895592173,2022-06-15 12:23:23.186703,2022-06-15 12:24:58.185676,0 days 00:01:34.998973,chebyshev,42,COMPLETE
57,0.8217075895592173,2022-06-15 12:12:22.620830,2022-06-15 12:13:58.051477,0 days 00:01:35.430647,chebyshev,42,COMPLETE
55,0.8217075895592173,2022-06-15 12:09:15.684258,2022-06-15 12:10:50.493129,0 days 00:01:34.808871,chebyshev,42,COMPLETE
66,0.8217075895592173,2022-06-15 12:26:32.766362,2022-06-15 12:28:07.678887,0 days 00:01:34.912525,chebyshev,42,COMPLETE
52,0.8217075895592173,2022-06-15 12:04:30.963402,2022-06-15 12:06:06.099601,0 days 00:01:35.136199,chebyshev,42,COMPLETE
49,0.8217075895592173,2022-06-15 11:59:46.166364,2022-06-15 12:01:21.584179,0 days 00:01:35.417815,chebyshev,42,COMPLETE
69,0.8217075895592173,2022-06-15 12:31:18.391051,2022-06-15 12:32:53.029424,0 days 00:01:34.638373,minkowski,42,COMPLETE
71,0.8217075895592173,2022-06-15 12:34:27.538144,2022-06-15 12:36:02.101605,0 days 00:01:34.563461,minkowski,42,COMPLETE
75,0.8217075895592173,2022-06-15 12:40:43.116361,2022-06-15 12:42:17.747865,0 days 00:01:34.631504,minkowski,42,COMPLETE
81,0.8217075895592173,2022-06-15 12:50:09.354099,2022-06-15 12:51:43.905388,0 days 00:01:34.551289,chebyshev,42,COMPLETE
61,0.8217075895592173,2022-06-15 12:18:38.130519,2022-06-15 12:20:13.470622,0 days 00:01:35.340103,chebyshev,42,COMPLETE
98,0.8217075895592173,2022-06-15 13:17:04.458221,2022-06-15 13:18:39.283730,0 days 00:01:34.825509,chebyshev,42,COMPLETE
88,0.8217075895592173,2022-06-15 13:01:13.523444,2022-06-15 13:02:48.676577,0 days 00:01:35.153133,minkowski,42,COMPLETE
91,0.8217075895592173,2022-06-15 13:05:59.478720,2022-06-15 13:07:34.342512,0 days 00:01:34.863792,minkowski,42,COMPLETE
45,0.8216597323142351,2022-06-15 11:53:29.539666,2022-06-15 11:55:04.095483,0 days 00:01:34.555817,chebyshev,38,COMPLETE
24,0.8216597323142351,2022-06-15 11:20:08.265115,2022-06-15 11:21:42.899731,0 days 00:01:34.634616,manhattan,38,COMPLETE
43,0.8216597323142351,2022-06-15 11:50:19.976352,2022-06-15 11:51:54.997910,0 days 00:01:35.021558,chebyshev,38,COMPLETE
53,0.8216597323142351,2022-06-15 12:06:06.099726,2022-06-15 12:07:40.883684,0 days 00:01:34.783958,chebyshev,38,COMPLETE
28,0.8216165533758396,2022-06-15 11:26:29.779384,2022-06-15 11:28:05.502598,0 days 00:01:35.723214,manhattan,44,COMPLETE
79,0.8216165533758396,2022-06-15 12:46:59.380245,2022-06-15 12:48:34.771337,0 days 00:01:35.391092,minkowski,44,COMPLETE
39,0.8216165533758396,2022-06-15 11:44:00.860871,2022-06-15 11:45:36.351759,0 days 00:01:35.490888,chebyshev,44,COMPLETE
25,0.8216165533758396,2022-06-15 11:21:42.899862,2022-06-15 11:23:18.621153,0 days 00:01:35.721291,manhattan,44,COMPLETE
83,0.8216165533758396,2022-06-15 12:53:18.468703,2022-06-15 12:54:53.098236,0 days 00:01:34.629533,chebyshev,44,COMPLETE
97,0.8216165533758396,2022-06-15 13:15:29.064568,2022-06-15 13:17:04.458061,0 days 00:01:35.393493,chebyshev,44,COMPLETE
6,0.8215751888800877,2022-06-15 10:52:09.956184,2022-06-15 10:53:42.296737,0 days 00:01:32.340553,minkowski,32,COMPLETE
56,0.8215751888800877,2022-06-15 12:10:50.493251,2022-06-15 12:12:22.620707,0 days 00:01:32.127456,chebyshev,32,COMPLETE
42,0.821455149254986,2022-06-15 11:48:44.154258,2022-06-15 11:50:19.976199,0 days 00:01:35.821941,chebyshev,46,COMPLETE
67,0.821455149254986,2022-06-15 12:28:07.679030,2022-06-15 12:29:43.546642,0 days 00:01:35.867612,chebyshev,46,COMPLETE
78,0.821455149254986,2022-06-15 12:45:24.508313,2022-06-15 12:46:59.380106,0 days 00:01:34.871793,chebyshev,46,COMPLETE
89,0.821455149254986,2022-06-15 13:02:48.676730,2022-06-15 13:04:24.277863,0 days 00:01:35.601133,chebyshev,46,COMPLETE
13,0.8214260959342579,2022-06-15 11:02:57.684887,2022-06-15 11:04:32.774461,0 days 00:01:35.089574,manhattan,40,COMPLETE
92,0.8214260959342579,2022-06-15 13:07:34.342663,2022-06-15 13:09:08.917000,0 days 00:01:34.574337,minkowski,40,COMPLETE
68,0.8214260959342579,2022-06-15 12:29:43.546772,2022-06-15 12:31:18.390924,0 days 00:01:34.844152,chebyshev,40,COMPLETE
80,0.8214260959342579,2022-06-15 12:48:34.771474,2022-06-15 12:50:09.353950,0 days 00:01:34.582476,minkowski,40,COMPLETE
15,0.8214260959342579,2022-06-15 11:06:07.597641,2022-06-15 11:07:42.401963,0 days 00:01:34.804322,manhattan,40,COMPLETE
74,0.8214260959342579,2022-06-15 12:39:08.152348,2022-06-15 12:40:43.116223,0 days 00:01:34.963875,minkowski,40,COMPLETE
37,0.8214216063393962,2022-06-15 11:40:49.904779,2022-06-15 11:42:26.097201,0 days 00:01:36.192422,euclidean,50,COMPLETE
0,0.8214216063393962,2022-06-15 10:42:53.327605,2022-06-15 10:44:28.983216,0 days 00:01:35.655611,euclidean,50,COMPLETE
29,0.8214216063393962,2022-06-15 11:28:05.502711,2022-06-15 11:29:41.852128,0 days 00:01:36.349417,manhattan,50,COMPLETE
