iteration,recall,datetime_start,datetime_complete,duration,colsample_bylevel,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,state
16,0.9929518843828894,2022-09-17 13:40:44.266320,2022-09-17 13:40:54.458737,0 days 00:00:10.192417,0.4952412391666561,0.9210788190122454,0.5707076893835881,0.20883678824012197,7.0,5.0,340.0,1.3172643399483037,1.7247340410049576,0.7499459072330141,COMPLETE
17,0.9929469210946779,2022-09-17 13:40:54.458961,2022-09-17 13:41:07.350796,0 days 00:00:12.891835,0.4806708238315181,0.9146076978965003,0.5580411758039949,0.21219846646697046,6.0,2.0,500.0,1.416106453653814,1.8055672300120942,0.7257159166361107,COMPLETE
84,0.9929386481648091,2022-09-17 13:51:48.821359,2022-09-17 13:52:00.623995,0 days 00:00:11.802636,0.4450499061228774,0.8665626355337983,0.2500623693948524,0.20150789181073792,7.0,1.0,384.0,2.2670463678466874,2.1905556105993456,0.7180527034716625,COMPLETE
90,0.992938647803494,2022-09-17 13:52:51.922340,2022-09-17 13:53:00.520002,0 days 00:00:08.597662,0.4845193479994226,0.9077334922813174,0.004047326271618593,0.24523567180582945,6.0,2.0,325.0,1.4791564620120894,1.6503297657659026,0.6629274962644447,COMPLETE
54,0.992933687405804,2022-09-17 13:46:50.715572,2022-09-17 13:47:01.053991,0 days 00:00:10.338419,0.44596859848242715,0.9302623733167441,0.1356804455483217,0.2988301438595229,7.0,1.0,339.0,1.1785665631864954,1.7012218073800707,0.7493912602949659,COMPLETE
61,0.9929320306880707,2022-09-17 13:47:53.649401,2022-09-17 13:48:03.810761,0 days 00:00:10.161360,0.46935882255430245,0.9316398350488345,0.13183532825763308,0.23258084092187864,7.0,1.0,335.0,1.3433856970570965,1.6700020977175138,0.7305756637268951,COMPLETE
71,0.9929287244186885,2022-09-17 13:49:34.217312,2022-09-17 13:49:44.346781,0 days 00:00:10.129469,0.47986721500177065,0.9265742773184108,0.13662242939764094,0.25553882046353266,7.0,1.0,330.0,1.3559228192659987,1.6273866312292082,0.7280806489459076,COMPLETE
22,0.9929254092970841,2022-09-17 13:41:52.062967,2022-09-17 13:42:00.631212,0 days 00:00:08.568245,0.4800050696557474,0.9052985819234199,0.48717056678463844,0.20487631752117558,6.0,5.0,312.0,2.161908169941685,1.9524572246698535,0.73697926529225,COMPLETE
56,0.9929237616122304,2022-09-17 13:47:10.550226,2022-09-17 13:47:19.941546,0 days 00:00:09.391320,0.437803313613514,0.9384980524599565,0.507499408278035,0.2957522791892115,7.0,1.0,312.0,1.1065877427062152,1.421525914452393,0.7302927794258443,COMPLETE
41,0.9929204470928181,2022-09-17 13:44:46.707267,2022-09-17 13:44:56.330979,0 days 00:00:09.623712,0.4689924371857441,0.8834253940112129,0.04413740129007837,0.1965050237646273,6.0,3.0,372.0,1.5920205897109516,1.9583496633847952,0.7464524693875328,COMPLETE
74,0.9929171404621209,2022-09-17 13:50:03.385605,2022-09-17 13:50:14.625516,0 days 00:00:11.239911,0.42800977831279396,0.842670633630166,0.3932055187810245,0.22831588890119558,7.0,1.0,374.0,1.6966352211342586,1.9882193763099203,0.7489534585098122,COMPLETE
